CAMPUS,YEAR,CPEMALLC,CPEMALLP
'001902001,1997,24,10.9
'001902041,1997,29,17
'001902103,1997,60,22.1
'001903001,1997,79,15.5
'001903041,1997,.,.
'001903101,1997,119,21.4
'001904001,1997,49,19.9
'001904041,1997,31,14
'001904102,1997,64,19.9
'001906002,1997,31,19
'001906102,1997,28,19.3
'001907001,1997,196,17.2
'001907002,1997,128,96.2
'001907041,1997,99,15.8
'001907042,1997,41,12
'001907101,1997,53,19.3
'001907104,1997,13,15.3
'001907107,1997,67,35.4
'001907108,1997,46,36.2
'001907110,1997,166,16.8
'001908002,1997,159,28.9
'001908041,1997,50,15.9
'001908101,1997,130,20
'001908102,1997,90,25.7
'001909001,1997,40,19.6
'001909101,1997,43,27.7
'002901001,1997,159,15.1
'002901041,1997,115,11.8
'002901101,1997,32,10.7
'002901102,1997,33,17.8
'002901103,1997,56,20.9
'002901104,1997,60,19.8
'002901105,1997,106,21.4
'003902001,1997,119,19.1
'003902004,1997,.,.
'003902041,1997,85,16.1
'003902102,1997,61,12.2
'003903002,1997,411,22.5
'003903004,1997,.,.
'003903041,1997,132,19.5
'003903042,1997,91,13.3
'003903043,1997,140,18.5
'003903103,1997,92,21.8
'003903104,1997,80,26.1
'003903105,1997,3,13.6
'003903106,1997,103,27.6
'003903107,1997,127,27.4
'003903109,1997,140,18.6
'003903110,1997,85,19.5
'003903112,1997,91,20.1
'003903114,1997,4,80
'003903115,1997,80,21
'003903116,1997,154,22.4
'003903117,1997,3,33.3
'003903201,1997,192,100
'003904001,1997,79,16.5
'003904005,1997,165,92.7
'003904041,1997,71,17
'003904101,1997,68,16.5
'003904102,1997,40,14.9
'003905001,1997,105,17.9
'003905041,1997,86,17.6
'003905101,1997,109,17.2
'003905102,1997,32,18.3
'003906001,1997,64,25
'003906101,1997,37,23
'003907001,1997,68,16.4
'003907004,1997,.,.
'003907041,1997,52,13.8
'003907101,1997,59,22.6
'003907102,1997,81,20.8
'004901001,1997,215,21.1
'004901041,1997,127,20
'004901042,1997,107,16.9
'004901101,1997,91,20.1
'004901102,1997,61,22.3
'004901103,1997,93,21.6
'005901001,1997,64,18.2
'005901101,1997,44,17.5
'005902001,1997,30,10.4
'005902041,1997,34,13.3
'005902101,1997,62,15.6
'005903001,1997,21,37.5
'005903101,1997,12,33.3
'005904001,1997,12,7.3
'005904101,1997,20,10.6
'006902001,1997,27,10.5
'006902101,1997,19,12.3
'007901001,1997,11,6.9
'007901041,1997,13,10.7
'007901101,1997,37,18.5
'007902001,1997,72,20
'007902002,1997,13,86.7
'007902041,1997,50,15.9
'007902101,1997,77,14.9
'007904001,1997,53,15.2
'007904002,1997,.,.
'007904041,1997,72,16.7
'007904101,1997,68,17.7
'007905001,1997,219,19.7
'007905003,1997,46,100
'007905041,1997,127,14.9
'007905042,1997,.,.
'007905101,1997,4,20
'007905102,1997,18,18
'007905103,1997,104,12.2
'007905104,1997,54,13.8
'007906001,1997,87,17.3
'007906002,1997,52,88.1
'007906003,1997,.,.
'007906041,1997,37,9.8
'007906101,1997,77,11.9
'008901001,1997,79,13.1
'008901041,1997,53,9.2
'008901101,1997,55,13.5
'008901102,1997,22,8.2
'008901105,1997,23,14
'008902001,1997,77,11.8
'008902041,1997,38,10.4
'008902102,1997,79,14.5
'008902103,1997,58,11
'008903001,1997,48,16.6
'008903041,1997,31,12.8
'008903101,1997,16,9.6
'008903102,1997,21,11.5
'009901001,1997,62,15.2
'009901041,1997,98,22.2
'009901101,1997,110,25.1
'009901103,1997,72,28.1
'009903001,1997,8,7.2
'010901001,1997,112,28.1
'010901101,1997,.,.
'010902001,1997,124,20.7
'010902041,1997,93,16.4
'010902101,1997,127,21.6
'010902102,1997,52,14.3
'011901001,1997,386,25.7
'011901022,1997,150,84.3
'011901033,1997,109,98.2
'011901038,1997,32,62.7
'011901041,1997,189,19.6
'011901101,1997,117,17.8
'011901102,1997,97,17.8
'011901103,1997,99,14.8
'011901104,1997,135,14.4
'011901105,1997,.,.
'011902001,1997,176,22.7
'011902002,1997,53,89.8
'011902041,1997,106,16.4
'011902101,1997,62,14.2
'011902102,1997,84,13.4
'011904002,1997,118,24.5
'011904039,1997,23,63.9
'011904041,1997,56,20.4
'011904101,1997,94,16.9
'011904102,1997,46,16.8
'011905101,1997,18,16.2
'012901001,1997,58,15.5
'012901101,1997,70,16.8
'013901001,1997,253,18.5
'013901002,1997,41,65.1
'013901041,1997,154,18.7
'013901101,1997,110,21.4
'013901102,1997,123,23.3
'013901104,1997,44,10.9
'013901105,1997,.,.
'013901106,1997,105,14.8
'013902101,1997,10,9.3
'013903001,1997,63,21.7
'013903101,1997,58,24.6
'013905001,1997,34,15.5
'013905041,1997,27,12.9
'013905101,1997,57,20.6
'014901001,1997,40,13.5
'014901041,1997,49,13.8
'014901101,1997,38,11.7
'014902001,1997,47,19.1
'014902041,1997,.,.
'014902101,1997,46,15.9
'014903001,1997,417,22.5
'014903041,1997,233,20.5
'014903102,1997,20,7.3
'014903103,1997,137,34.4
'014903104,1997,83,22
'014903107,1997,121,26.4
'014903108,1997,82,18
'014903109,1997,53,17.7
'014903110,1997,197,18.1
'014905001,1997,33,18.2
'014905041,1997,21,14.7
'014905101,1997,28,17.6
'014906001,1997,688,29.6
'014906002,1997,646,28.2
'014906004,1997,241,99.2
'014906006,1997,368,88
'014906009,1997,289,100
'014906011,1997,282,26.7
'014906012,1997,261,25.9
'014906022,1997,158,100
'014906023,1997,.,.
'014906041,1997,467,41.4
'014906042,1997,317,33.1
'014906043,1997,382,33
'014906044,1997,277,25.4
'014906045,1997,323,34.2
'014906046,1997,253,23.6
'014906048,1997,208,25.2
'014906102,1997,104,24.8
'014906103,1997,214,43.4
'014906104,1997,141,40.3
'014906105,1997,247,34.6
'014906106,1997,154,37.2
'014906108,1997,441,47.4
'014906109,1997,223,38.8
'014906110,1997,178,33.3
'014906111,1997,198,30.9
'014906112,1997,302,48.9
'014906113,1997,204,34.2
'014906114,1997,130,35.8
'014906115,1997,124,17.9
'014906116,1997,244,39.2
'014906117,1997,255,29.2
'014906119,1997,283,39.9
'014906120,1997,297,36.6
'014906121,1997,233,30.3
'014906122,1997,304,37.3
'014906123,1997,341,48
'014906124,1997,227,27.5
'014906125,1997,243,33.2
'014906126,1997,301,39.2
'014907001,1997,31,11.8
'014907041,1997,26,11.9
'014907102,1997,37,10.6
'014908001,1997,46,12
'014908101,1997,55,15.1
'014909002,1997,472,20
'014909004,1997,32,91.4
'014909041,1997,124,18.3
'014909042,1997,146,17.2
'014909044,1997,161,21.9
'014909101,1997,30,16.5
'014909102,1997,89,23.5
'014909104,1997,63,26.3
'014909105,1997,46,28
'014909106,1997,45,32.6
'014909107,1997,166,29.3
'014909108,1997,40,23.5
'014909109,1997,51,19.8
'014909110,1997,86,26.5
'014909111,1997,142,25.5
'014909113,1997,51,37
'014909114,1997,195,40
'014909115,1997,87,13.3
'014909200,1997,.,.
'014910001,1997,59,15.9
'014910041,1997,25,11.9
'014910101,1997,61,15.2
'014910102,1997,26,12.4
'015801001,1997,.,.
'015802001,1997,.,.
'015901001,1997,163,12.1
'015901041,1997,110,10.8
'015901101,1997,91,10.8
'015901102,1997,.,.
'015901104,1997,111,14.7
'015904001,1997,549,25.5
'015904002,1997,504,27.3
'015904003,1997,295,92.5
'015904004,1997,49,44.5
'015904006,1997,51,98.1
'015904007,1997,.,.
'015904041,1997,286,25.2
'015904042,1997,286,29.2
'015904043,1997,260,25.6
'015904044,1997,212,25
'015904101,1997,160,30.2
'015904102,1997,110,19
'015904103,1997,97,21.9
'015904104,1997,104,20.5
'015904105,1997,154,25.8
'015904106,1997,188,25.9
'015904107,1997,140,28.2
'015904108,1997,120,20.2
'015904109,1997,122,25.4
'015904110,1997,98,23.3
'015904111,1997,125,33.7
'015904113,1997,102,22
'015904114,1997,69,19.5
'015904115,1997,16,36.4
'015904116,1997,183,32.7
'015905002,1997,470,28.9
'015905003,1997,347,26.9
'015905006,1997,250,89
'015905010,1997,.,.
'015905041,1997,220,26.8
'015905044,1997,202,32.5
'015905045,1997,165,27.1
'015905046,1997,221,30
'015905047,1997,21,14.4
'015905101,1997,102,22.6
'015905102,1997,129,26.6
'015905104,1997,179,37.1
'015905105,1997,158,24.4
'015905106,1997,225,31.6
'015905107,1997,172,28.7
'015905108,1997,96,18
'015905109,1997,104,21.3
'015905110,1997,166,35.5
'015905112,1997,222,28.4
'015905113,1997,105,28.5
'015905114,1997,150,25
'015905115,1997,158,25.7
'015905116,1997,191,29.8
'015905117,1997,128,29
'015905118,1997,.,.
'015906001,1997,59,22.3
'015906041,1997,61,23.8
'015906101,1997,139,28.4
'015907001,1997,620,25.8
'015907002,1997,457,27.4
'015907003,1997,649,31.8
'015907004,1997,631,34.7
'015907005,1997,662,27.6
'015907006,1997,488,32.2
'015907007,1997,671,28.3
'015907008,1997,603,32.6
'015907009,1997,451,100
'015907010,1997,92,72.4
'015907014,1997,88,75.9
'015907015,1997,36,100
'015907020,1997,.,.
'015907041,1997,296,33.2
'015907042,1997,243,35.7
'015907043,1997,243,19.1
'015907046,1997,268,33.5
'015907047,1997,225,28.4
'015907049,1997,270,22.7
'015907050,1997,300,26.8
'015907051,1997,173,24.2
'015907052,1997,234,27.1
'015907053,1997,357,35.3
'015907054,1997,301,32.2
'015907055,1997,224,32
'015907056,1997,206,33.8
'015907057,1997,245,22.9
'015907058,1997,375,32.4
'015907059,1997,252,25.5
'015907061,1997,288,20.4
'015907101,1997,87,24.8
'015907102,1997,73,35.6
'015907103,1997,146,34.8
'015907104,1997,76,24.8
'015907105,1997,143,39
'015907106,1997,168,32.5
'015907107,1997,148,40.1
'015907108,1997,90,24.4
'015907109,1997,134,40.9
'015907110,1997,257,34.4
'015907111,1997,237,40.8
'015907112,1997,66,17.6
'015907113,1997,224,42.7
'015907114,1997,47,20.9
'015907115,1997,128,29.5
'015907116,1997,135,19.7
'015907117,1997,144,31.4
'015907118,1997,193,23.9
'015907119,1997,174,37.7
'015907121,1997,179,29.7
'015907123,1997,76,21.7
'015907124,1997,84,25.5
'015907125,1997,187,33
'015907126,1997,123,26.5
'015907127,1997,212,34.2
'015907129,1997,179,24.8
'015907131,1997,112,34.9
'015907132,1997,142,38.4
'015907134,1997,170,23.5
'015907135,1997,150,22.1
'015907136,1997,166,27.9
'015907137,1997,104,25.9
'015907139,1997,116,27.5
'015907140,1997,100,28
'015907141,1997,122,25.2
'015907143,1997,44,17
'015907144,1997,130,26.7
'015907145,1997,53,23.2
'015907146,1997,132,41.5
'015907147,1997,286,43.2
'015907148,1997,144,25.7
'015907149,1997,116,26.4
'015907150,1997,131,25.5
'015907153,1997,195,41.5
'015907155,1997,119,23.2
'015907156,1997,137,29.3
'015907157,1997,188,28.8
'015907158,1997,154,38.4
'015907159,1997,71,25.5
'015907160,1997,211,35.9
'015907161,1997,122,18.6
'015907162,1997,64,30.5
'015907164,1997,146,21.8
'015907165,1997,219,35.6
'015907167,1997,82,20.2
'015907168,1997,123,22.7
'015907169,1997,180,33.1
'015907170,1997,69,21.7
'015907171,1997,91,30.1
'015907172,1997,209,39.7
'015907173,1997,144,28.2
'015907174,1997,131,25.2
'015907175,1997,161,25
'015907176,1997,179,36.5
'015907179,1997,216,42.4
'015907180,1997,49,79
'015907182,1997,152,71.7
'015907183,1997,62,87.3
'015907184,1997,47,100
'015907185,1997,76,90.5
'015907186,1997,81,96.4
'015907191,1997,175,100
'015907193,1997,18,90
'015907194,1997,340,100
'015907195,1997,1332,100
'015907196,1997,.,.
'015907200,1997,136,100
'015907201,1997,97,100
'015907202,1997,91,100
'015908001,1997,480,23
'015908002,1997,163,19.3
'015908037,1997,.,.
'015908038,1997,154,87
'015908039,1997,96,97
'015908041,1997,299,27.1
'015908042,1997,194,27.2
'015908043,1997,186,21.5
'015908101,1997,189,34.7
'015908104,1997,116,20.8
'015908105,1997,92,20.1
'015908106,1997,103,17.8
'015908107,1997,137,30.5
'015908108,1997,143,27.8
'015908109,1997,128,32.9
'015908110,1997,148,28.6
'015908111,1997,92,21.6
'015908112,1997,190,33.4
'015909001,1997,155,24.8
'015909002,1997,.,.
'015909003,1997,.,.
'015909041,1997,134,20.8
'015909101,1997,228,21.4
'015910001,1997,559,21.1
'015910002,1997,615,20.3
'015910003,1997,405,13.6
'015910004,1997,524,24.2
