DISTRICT,DPEMALLC,DPEMALLP,YEAR
'001902,76,12.8,2012
'001903,178,14.3,2012
'001904,134,17.6,2012
'001906,47,12.8,2012
'001907,646,20.2,2012
'001908,321,18.7,2012
'001909,56,14.7,2012
'002901,476,15.5,2012
'003801,55,12.9,2012
'003902,347,13.6,2012
'003903,1260,15.9,2012
'003904,311,17.7,2012
'003905,256,14.4,2012
'003906,80,17.3,2012
'003907,229,14.9,2012
'004901,513,16.9,2012
'005901,66,13.4,2012
'005902,72,8.4,2012
'005904,32,7.2,2012
'006902,41,12.1,2012
'007901,111,20.6,2012
'007902,399,26.4,2012
'007904,246,14.7,2012
'007905,616,17.9,2012
'007906,224,13.4,2012
'008901,195,9.5,2012
'008902,300,11.7,2012
'008903,115,14.4,2012
'009901,214,15.5,2012
'010901,65,20.8,2012
'010902,346,14.5,2012
'011901,1703,18.8,2012
'011902,587,15.4,2012
'011904,219,13.3,2012
'011905,45,25.3,2012
'012901,91,16.6,2012
'013801,26,8.3,2012
'013901,576,16.8,2012
'013902,14,10.1,2012
'013903,99,23.3,2012
'013905,114,14.2,2012
'014801,222,73.3,2012
'014802,120,81.1,2012
'014803,78,42.4,2012
'014804,662,74.4,2012
'014901,125,11.7,2012
'014902,60,17.4,2012
'014903,1346,15.1,2012
'014905,53,9.8,2012
'014906,12771,30.9,2012
'014907,88,10.6,2012
'014908,129,9.8,2012
'014909,2286,26.3,2012
'014910,216,16.7,2012
'015801,544,76.7,2012
'015802,307,53.7,2012
'015803,63,18.9,2012
'015805,142,22.5,2012
'015806,315,21.2,2012
'015807,784,67,2012
'015808,1763,94,2012
'015809,51,20.2,2012
'015814,136,63,2012
'015815,177,22,2012
'015816,85,40.3,2012
'015817,629,80.8,2012
'015819,300,29.3,2012
'015820,162,36.3,2012
'015822,859,58.9,2012
'015823,100,70.9,2012
'015825,43,23.1,2012
'015826,94,12.1,2012
'015827,173,21.4,2012
'015828,269,27.1,2012
'015830,272,32,2012
'015831,61,16.4,2012
'015832,39,25.7,2012
'015833,47,27.2,2012
'015901,309,6.8,2012
'015904,3311,22.8,2012
'015905,2723,23.8,2012
'015906,148,13,2012
