DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,YEAR
'001902,,,,,,,0,,,1997
'001903,,,,,,,0,,,1997
'001904,,,,,,,0,,,1997
'001906,,,,,,,13.6,,,1997
'001907,,,,,,,3.7,,,1997
'001908,,,,,,,1.8,,,1997
'001909,,,,,,,4.3,,,1997
'002901,,,,,,,0.4,,,1997
'003902,,,,,,,1.6,,,1997
'003903,,,,,,,0.2,,,1997
'003904,,,,,,,3.3,,,1997
'003905,,,,,,,0,,,1997
'003906,,,,,,,4.3,,,1997
'003907,,,,,,,1.1,,,1997
'004901,,,,,,,4.7,,,1997
'005901,,,,,,,0,,,1997
'005902,,,,,,,2.7,,,1997
'005903,,,,,,,0,,,1997
'005904,,,,,,,0,,,1997
'006902,,,,,,,2.7,,,1997
'007901,,,,,,,0,,,1997
'007902,,,,,,,4.1,,,1997
'007904,,,,,,,0,,,1997
'007905,,,,,,,0,,,1997
'007906,,,,,,,3.6,,,1997
'008901,,,,,,,0.6,,,1997
'008902,,,,,,,5.8,,,1997
'008903,,,,,,,6.3,,,1997
'009901,,,,,,,0,,,1997
'009903,,,,,,,0,,,1997
'010901,,,,,,,0,,,1997
'010902,,,,,,,0.9,,,1997
'011901,,,,,,,6.5,,,1997
'011902,,,,,,,0,,,1997
'011904,,,,,,,5,,,1997
'011905,,,,,,,.,,,1997
'012901,,,,,,,4.9,,,1997
'013901,,,,,,,2.7,,,1997
'013902,,,,,,,0,,,1997
'013903,,,,,,,0,,,1997
'013905,,,,,,,0,,,1997
'014901,,,,,,,1.5,,,1997
'014902,,,,,,,5.4,,,1997
'014903,,,,,,,1.5,,,1997
'014905,,,,,,,3.3,,,1997
'014906,,,,,,,2.8,,,1997
'014907,,,,,,,0,,,1997
'014908,,,,,,,1.8,,,1997
'014909,,,,,,,1.1,,,1997
'014910,,,,,,,5.9,,,1997
'015801,,,,,,,.,,,1997
'015802,,,,,,,.,,,1997
'015901,,,,,,,1.1,,,1997
'015904,,,,,,,1.7,,,1997
'015905,,,,,,,7.5,,,1997
'015906,,,,,,,0,,,1997
'015907,,,,,,,4.5,,,1997
'015908,,,,,,,2.4,,,1997
'015909,,,,,,,17.9,,,1997
'015910,,,,,,,2.9,,,1997
'015911,,,,,,,1.1,,,1997
'015912,,,,,,,4.5,,,1997
'015913,,,,,,,2.6,,,1997
'015914,,,,,,,7.9,,,1997
'015915,,,,,,,2.6,,,1997
'015916,,,,,,,4.1,,,1997
'015917,,,,,,,6.8,,,1997
'016901,,,,,,,0,,,1997
'016902,,,,,,,3.5,,,1997
'017901,,,,,,,0,,,1997
'018901,,,,,,,5.5,,,1997
'018902,,,,,,,6.7,,,1997
'018903,,,,,,,25,,,1997
'018904,,,,,,,2.8,,,1997
'018905,,,,,,,0,,,1997
'018906,,,,,,,0,,,1997
'018907,,,,,,,10.5,,,1997
'018908,,,,,,,0,,,1997
'019901,,,,,,,0,,,1997
'019902,,,,,,,0,,,1997
'019903,,,,,,,3.1,,,1997
'019905,,,,,,,1.1,,,1997
'019906,,,,,,,2.8,,,1997
'019907,,,,,,,3.2,,,1997
'019908,,,,,,,3.1,,,1997
'019909,,,,,,,0,,,1997
'019910,,,,,,,0,,,1997
'019911,,,,,,,0,,,1997
'019912,,,,,,,0,,,1997
'019913,,,,,,,0,,,1997
'019914,,,,,,,0,,,1997
'020901,,,,,,,1.3,,,1997
'020902,,,,,,,1.1,,,1997
'020904,,,,,,,2,,,1997
'020905,,,,,,,1.4,,,1997
'020906,,,,,,,1.8,,,1997
'020907,,,,,,,0.8,,,1997
'020908,,,,,,,3.5,,,1997
'020910,,,,,,,0,,,1997
'021901,,,,,,,0.4,,,1997
'021902,,,,,,,3.2,,,1997
'022004,,,,,,,0,,,1997
'022901,,,,,,,1.3,,,1997
'022902,,,,,,,0,,,1997
'022903,,,,,,,0,,,1997
'023902,,,,,,,0,,,1997
'024901,,,,,,,4.2,,,1997
'025901,,,,,,,2,,,1997
'025902,,,,,,,1.7,,,1997
'025904,,,,,,,0,,,1997
'025905,,,,,,,4.8,,,1997
'025906,,,,,,,0,,,1997
'025908,,,,,,,0,,,1997
'025909,,,,,,,1.5,,,1997
'026901,,,,,,,2.4,,,1997
'026902,,,,,,,0,,,1997
'026903,,,,,,,0,,,1997
'027903,,,,,,,0,,,1997
'027904,,,,,,,0.5,,,1997
'028902,,,,,,,1.2,,,1997
'028903,,,,,,,1.9,,,1997
'028906,,,,,,,0,,,1997
'029901,,,,,,,0.7,,,1997
'030901,,,,,,,2.9,,,1997
'030902,,,,,,,1,,,1997
'030903,,,,,,,0,,,1997
'030906,,,,,,,0,,,1997
'031901,,,,,,,4.4,,,1997
'031903,,,,,,,2,,,1997
'031905,,,,,,,2.7,,,1997
'031906,,,,,,,5.5,,,1997
'031909,,,,,,,3.4,,,1997
'031911,,,,,,,0.7,,,1997
'031912,,,,,,,1.2,,,1997
'031913,,,,,,,11.8,,,1997
'031914,,,,,,,0,,,1997
'031916,,,,,,,9.1,,,1997
'032902,,,,,,,0,,,1997
'033901,,,,,,,0,,,1997
'033902,,,,,,,0,,,1997
'033904,,,,,,,0,,,1997
'034901,,,,,,,0,,,1997
'034902,,,,,,,0,,,1997
'034903,,,,,,,0,,,1997
'034905,,,,,,,0,,,1997
'034906,,,,,,,0,,,1997
'034907,,,,,,,0,,,1997
'034908,,,,,,,.,,,1997
'034909,,,,,,,7.7,,,1997
'035901,,,,,,,1.7,,,1997
'035902,,,,,,,2.7,,,1997
'035903,,,,,,,0,,,1997
'036901,,,,,,,6.1,,,1997
'036902,,,,,,,2.7,,,1997
'036903,,,,,,,1.3,,,1997
'037901,,,,,,,0,,,1997
'037904,,,,,,,0,,,1997
'037907,,,,,,,0,,,1997
'037908,,,,,,,0,,,1997
'037909,,,,,,,7.1,,,1997
'038901,,,,,,,2.6,,,1997
'039901,,,,,,,0,,,1997
'039902,,,,,,,5.3,,,1997
'039903,,,,,,,0,,,1997
'039904,,,,,,,0,,,1997
'039905,,,,,,,0,,,1997
'040901,,,,,,,0,,,1997
'040902,,,,,,,3.6,,,1997
'041901,,,,,,,10.3,,,1997
'041902,,,,,,,0,,,1997
'042901,,,,,,,1.4,,,1997
'042903,,,,,,,0,,,1997
'042905,,,,,,,0,,,1997
'042906,,,,,,,0,,,1997
'043901,,,,,,,0.6,,,1997
'043902,,,,,,,4.3,,,1997
'043903,,,,,,,1.7,,,1997
'043904,,,,,,,1.8,,,1997
'043905,,,,,,,0,,,1997
'043907,,,,,,,1.1,,,1997
'043908,,,,,,,0,,,1997
'043910,,,,,,,0.6,,,1997
'043911,,,,,,,3.3,,,1997
'043912,,,,,,,1.7,,,1997
'043914,,,,,,,3.5,,,1997
'043917,,,,,,,0,,,1997
'043918,,,,,,,0,,,1997
'043919,,,,,,,.,,,1997
'044902,,,,,,,0,,,1997
'044904,,,,,,,0,,,1997
'045902,,,,,,,6.8,,,1997
'045903,,,,,,,1.1,,,1997
'045905,,,,,,,0,,,1997
'046901,,,,,,,1.3,,,1997
'046902,,,,,,,2.1,,,1997
'047901,,,,,,,4.4,,,1997
'047902,,,,,,,2.4,,,1997
'047903,,,,,,,0,,,1997
'047905,,,,,,,6.7,,,1997
'048901,,,,,,,3.3,,,1997
'048903,,,,,,,0,,,1997
'049901,,,,,,,0.6,,,1997
'049902,,,,,,,4.5,,,1997
'049903,,,,,,,19.1,,,1997
'049905,,,,,,,0,,,1997
'049906,,,,,,,2.9,,,1997
'049907,,,,,,,2.3,,,1997
'049908,,,,,,,.,,,1997
'049909,,,,,,,0,,,1997
'050901,,,,,,,0,,,1997
'050902,,,,,,,1.3,,,1997
'050904,,,,,,,0,,,1997
'050909,,,,,,,0,,,1997
'050910,,,,,,,4.3,,,1997
'051901,,,,,,,0,,,1997
'052901,,,,,,,2.9,,,1997
'053001,,,,,,,0,,,1997
'054901,,,,,,,0,,,1997
'054902,,,,,,,3.3,,,1997
'054903,,,,,,,0,,,1997
'055901,,,,,,,9.8,,,1997
'056901,,,,,,,1.1,,,1997
'056902,,,,,,,0,,,1997
'057801,,,,,,,.,,,1997
'057804,,,,,,,.,,,1997
'057903,,,,,,,0.9,,,1997
'057904,,,,,,,1.3,,,1997
'057905,,,,,,,4.3,,,1997
'057906,,,,,,,5.3,,,1997
'057907,,,,,,,3.8,,,1997
'057909,,,,,,,1.5,,,1997
'057910,,,,,,,6.1,,,1997
'057911,,,,,,,0.3,,,1997
'057912,,,,,,,3.9,,,1997
'057913,,,,,,,3.5,,,1997
'057914,,,,,,,2.2,,,1997
'057916,,,,,,,5.4,,,1997
'057919,,,,,,,0,,,1997
'057920,,,,,,,5.8,,,1997
'057922,,,,,,,1.8,,,1997
'058902,,,,,,,0,,,1997
'058905,,,,,,,0,,,1997
'058906,,,,,,,2.8,,,1997
'058909,,,,,,,0,,,1997
'059901,,,,,,,2.1,,,1997
'059902,,,,,,,.,,,1997
'060902,,,,,,,7.5,,,1997
'060914,,,,,,,0,,,1997
'061901,,,,,,,4.7,,,1997
'061902,,,,,,,0.9,,,1997
'061903,,,,,,,3,,,1997
'061905,,,,,,,0,,,1997
'061906,,,,,,,3.2,,,1997
'061907,,,,,,,0,,,1997
'061908,,,,,,,0.9,,,1997
'061910,,,,,,,0,,,1997
'061911,,,,,,,2.4,,,1997
'061912,,,,,,,2.1,,,1997
'061914,,,,,,,0,,,1997
'062901,,,,,,,4.5,,,1997
'062902,,,,,,,0,,,1997
'062903,,,,,,,0.9,,,1997
'062904,,,,,,,4,,,1997
'062905,,,,,,,0,,,1997
'062906,,,,,,,0,,,1997
'063903,,,,,,,4.8,,,1997
'063906,,,,,,,0,,,1997
