CA0CAA12R,CA0CAA13R,CA0CC12R,CA0CC13R,CA0CSA12R,CA0CSA13R,CA0CT12R,CA0CT13R,CAMPUS,CB0CAA12R,CB0CAA13R,CB0CC12R,CB0CC13R,CB0CSA12R,CB0CSA13R,CB0CT12R,CB0CT13R,CE0CAA12R,CE0CAA13R,CE0CC12R,CE0CC13R,CE0CSA12R,CE0CSA13R,CE0CT12R,CE0CT13R,CF0CAA12R,CF0CAA13R,CF0CC12R,CF0CC13R,CF0CSA12R,CF0CSA13R,CF0CT12R,CF0CT13R,CH0CAA12R,CH0CAA13R,CH0CC12R,CH0CC13R,CH0CSA12R,CH0CSA13R,CH0CT12R,CH0CT13R,CM0CAA12R,CM0CAA13R,CM0CC12R,CM0CC13R,CM0CSA12R,CM0CSA13R,CM0CT12R,CM0CT13R,CW0CAA12R,CW0CAA13R,CW0CC12R,CW0CC13R,CW0CSA12R,CW0CSA13R,CW0CT12R,CW0CT13R,YEAR
20.2,,19,,1483,,56.8,,'001902001,.,,-1,,-1,,60,,-1,,14.3,,1478,,53.8,,.,,12.5,,1490,,50,,.,,-1,,-1,,-1,,20.2,,23.1,,1477,,61.9,,20.2,,23.5,,1484,,54.8,,2013
.,,.,,.,,.,,'001902041,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
.,,.,,.,,.,,'001902103,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
-1,,16.2,,1417,,50,,'001903001,.,,-1,,-1,,-1,,.,,8.3,,1270,,36.4,,-1,,10.5,,1329,,57.6,,.,,-1,,-1,,-1,,-1,,22.2,,1504,,43.9,,-1,,18.2,,1417,,48.5,,2013
.,,.,,.,,.,,'001903041,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
.,,.,,.,,.,,'001903101,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
.,,.,,.,,.,,'001903102,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
18.3,,25,,1312,,50,,'001904001,-1,,0,,1056,,66.7,,-1,,7.7,,1127,,44.8,,17.8,,18.8,,1276,,59.3,,.,,-1,,-1,,-1,,-1,,33.3,,1352,,41.4,,-1,,37.5,,1440,,39,,2013
.,,.,,.,,.,,'001904041,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
.,,.,,.,,.,,'001904102,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,.,,2013
