DISTRICT,YEAR,DM0CAA*R,DE0CAA*R,DH0CAA*R,DH0CC*R,DF0CSA*R,DM0CSA*R,DM0CT*R,DE0CC*R,DF0CC*R,DA0CAA*R,DF0CAA*R,DW0CSA*R,DB0CAA*R,DA0CT*R,DA0CSA*R,DE0CSA*R,DB0CSA*R,DW0CAA*R,DB0CT*R,DE0CT*R,DB0CC*R,DH0CT*R,DH0CSA*R,DM0CC*R,DA0CC*R,DW0CC*R,DW0CT*R,DF0CT*R
'001902,2003,,,,.,,,38.5,,11.8,,,,,61.1,,,,,14.3,,.,.,,0,9.1,9.5,75,73.9
'001903,2003,,,,.,,,50,,53.3,,,,,52.6,,,,,.,,.,.,,33.3,43.3,44.8,52.7,55.6
'001904,2003,,,,.,,,46.2,,11.1,,,,,55.3,,,,,.,,.,.,,8.3,9.5,10,58.8,75
'001906,2003,,,,.,,,33.3,,40,,,,,44.4,,,,,.,,.,.,,.,50,42.9,43.8,55.6
'001907,2003,,,,12.5,,,51.3,,19.4,,,,,56,,,,,35.8,,0,40,,19.5,19.4,25,66.7,59.6
'001908,2003,,,,.,,,32.3,,23.8,,,,,42.5,,,,,75,,0,.,,10,19.4,25,40,50
'001909,2003,,,,.,,,50,,.,,,,,35.3,,,,,.,,.,.,,40,33.3,33.3,37.5,14.3
'002901,2003,,,,0,,,52.3,,6.8,,,,,46.4,,,,,.,,.,30.5,,17.4,12.2,19,53.7,41.5
'003801,2003,,,,.,,,.,,.,,,,,.,,,,,.,,.,.,,.,.,.,.,.
'003902,2003,,,,0,,,32.7,,19,,,,,50.4,,,,,.,,.,42.9,,41.2,25.4,27.5,50.5,64.6
'003903,2003,,,,10,,,57.4,,20,,,,,57.1,,,,,54.5,,3,14.5,,22.4,21.2,31,65.7,56.9
'003904,2003,,,,.,,,37.8,,7.1,,,,,48.8,,,,,.,,.,.,,0,4.8,5.4,45.7,57.1
'003905,2003,,,,4.2,,,58.1,,5.4,,,,,67.4,,,,,94.7,,0,61.5,,8,6.5,15,58.8,75.5
