DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'001902,11.9,10.7,6.2,29611,1997
'001903,11.8,14.0,6.5,29001,1997
'001904,16.2,12.7,9.2,32593,1997
'001906,9.8,11.5,5.4,26785,1997
'001907,12.8,13.7,8.7,30100,1997
'001908,13.1,15.6,7.7,29599,1997
'001909,10.6,13.0,4.5,29554,1997
'002901,13.5,14.4,9.5,34486,1997
'003902,11.8,15.4,7.2,29584,1997
'003903,13.3,15.1,9.9,30778,1997
'003904,9.2,14.1,5.9,28649,1997
'003905,12.1,13.8,7.2,30182,1997
'003906,7.8,13.2,5.4,27197,1997
'003907,10.5,15.1,5.7,31418,1997
'004901,11.6,14.1,5.8,30988,1997
'005901,14.3,11.2,7.5,30618,1997
'005902,12.3,15.5,6.9,32010,1997
'005903,5.3,10.0,3.3,25533,1997
'005904,11.3,11.4,7.1,29385,1997
'006902,11.9,10.9,6.3,30389,1997
'007901,12.8,12.5,7.8,33214,1997
'007902,14.0,13.7,8.3,32585,1997
'007904,11.1,13.8,5.8,31845,1997
'007905,12.0,13.7,7.5,30728,1997
'007906,11.9,14.8,6.7,30945,1997
'008901,13.2,15.6,8.7,31658,1997
'008902,13.6,15.9,8.5,34328,1997
'008903,11.7,13.2,8.4,32528,1997
'009901,10.8,12.7,7.6,29001,1997
'009903,7.8,7.1,3.6,27624,1997
'010901,15.1,10.0,9.1,30984,1997
'010902,10.6,13.5,4.7,28588,1997
'011901,9.2,13.4,5.2,29425,1997
'011902,10.9,13.5,6.3,29739,1997
'011904,10.4,12.5,6.2,29973,1997
'011905,6.1,13.9,3.4,26459,1997
'012901,15.1,11.7,10.5,30443,1997
'013901,11.1,15.8,8.0,31668,1997
'013902,10.4,10.4,7.1,29396,1997
'013903,12.3,12.1,7.8,30312,1997
'013905,10.4,13.7,5.1,29526,1997
'014901,11.7,14.3,6.9,30460,1997
'014902,12.2,13.8,8.5,29811,1997
'014903,13.0,15.6,7.8,30707,1997
