DISTRICT,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,YEAR
'001902,6.9,32.9,13.9,24.3,22.0,1997
'001903,7.5,31.2,11.2,27.7,22.4,1997
'001904,5.0,16.8,13.4,35.3,29.4,1997
'001906,3.5,37.7,10.4,34.6,13.9,1997
'001907,2.9,22.8,20.0,33.6,20.7,1997
'001908,5.7,21.1,15.5,35.5,22.1,1997
'001909,7.1,39.3,21.4,12.5,19.6,1997
'002901,3.3,22.6,18.5,31.9,23.7,1997
'003902,5.3,24.0,19.0,35.0,16.7,1997
'003903,3.9,25.2,13.5,33.8,23.6,1997
'003904,20.2,26.6,15.7,23.7,13.7,1997
'003905,5.7,31.1,14.2,24.3,24.8,1997
'003906,12.7,35.0,28.7,10.8,12.7,1997
'003907,6.7,22.4,27.3,31.1,12.6,1997
'004901,3.6,24.7,23.6,29.2,18.8,1997
'005901,3.9,21.1,11.8,37.5,25.7,1997
'005902,0.0,22.2,25.4,36.5,15.9,1997
'005903,22.6,43.4,11.3,22.6,0.0,1997
'005904,11.8,29.4,14.7,26.5,17.6,1997
'006902,5.1,18.0,30.9,25.7,20.2,1997
'007901,4.9,21.9,17.0,33.2,22.9,1997
'007902,2.2,20.0,17.7,31.0,29.1,1997
'007904,7.7,30.0,15.9,28.3,18.1,1997
'007905,6.7,26.6,19.4,27.1,20.2,1997
'007906,6.3,26.7,17.8,30.7,18.5,1997
'008901,3.8,26.3,19.6,23.3,27.0,1997
'008902,2.8,19.2,16.0,41.9,20.0,1997
'008903,5.7,28.8,14.4,31.2,19.9,1997
'009901,5.1,35.2,17.8,25.4,16.5,1997
'009903,17.6,41.2,5.9,29.4,5.9,1997
'010901,3.1,21.9,3.1,37.5,34.4,1997
'010902,6.0,32.7,19.8,24.2,17.3,1997
'011901,10.1,36.4,18.2,25.0,10.3,1997
'011902,7.3,24.8,22.6,30.1,15.3,1997
'011904,10.4,24.7,17.9,32.1,14.9,1997
'011905,16.7,16.7,58.3,8.3,0.0,1997
'012901,2.9,20.3,17.3,29.0,30.5,1997
'013901,8.2,28.6,14.9,31.2,17.1,1997
'013902,8.0,31.9,15.9,24.8,19.4,1997
'013903,13.1,23.5,16.0,18.6,28.8,1997
'013905,5.5,37.5,14.6,27.1,15.3,1997
'014901,1.5,38.7,8.0,33.9,17.9,1997
'014902,7.2,29.0,21.7,19.3,22.7,1997
'014903,3.1,20.9,21.7,34.5,19.8,1997
'014905,8.0,16.0,16.3,34.0,25.7,1997
'014906,11.2,34.6,17.9,24.0,12.2,1997
'014907,16.0,30.3,13.0,28.7,12.0,1997
'014908,1.8,21.4,30.4,26.8,19.6,1997
'014909,9.6,26.5,15.6,28.4,19.9,1997
'014910,10.7,27.2,16.0,34.2,11.9,1997
'015801,11.2,67.1,0.0,10.5,11.2,1997
'015802,0.0,66.7,0.0,33.3,0.0,1997
'015901,2.1,12.9,14.6,36.1,34.3,1997
'015904,4.7,26.9,18.4,28.1,21.9,1997
'015905,8.7,32.1,17.3,24.4,17.4,1997
'015906,2.4,16.6,15.4,39.5,26.1,1997
'015907,3.2,20.4,13.5,32.9,30.0,1997
'015908,5.5,27.0,14.9,29.5,23.1,1997
'015909,9.0,33.1,18.2,30.3,9.3,1997
'015910,4.8,25.9,18.1,30.8,20.4,1997
'015911,4.8,31.0,19.3,29.2,15.6,1997
'015912,9.9,41.4,18.2,19.8,10.8,1997
'015913,1.4,27.6,13.8,30.2,27.0,1997
'015914,9.7,14.6,19.5,32.9,23.3,1997
'015915,5.9,26.0,16.8,31.0,20.2,1997
'015916,5.7,24.6,17.6,32.5,19.5,1997
'015917,8.1,27.5,24.5,24.9,14.9,1997
'016901,1.8,21.8,21.8,30.9,23.6,1997
'016902,0.0,31.9,30.5,20.2,17.4,1997
'017901,0.0,19.9,10.0,49.5,20.7,1997
'018901,10.7,28.9,16.6,23.5,20.3,1997
'018902,11.0,16.4,11.0,35.9,25.7,1997
'018903,11.4,11.4,28.6,34.3,14.3,1997
'018904,14.1,11.7,14.0,42.4,17.8,1997
'018905,5.8,11.7,11.7,35.0,35.8,1997
'018906,13.1,26.3,14.6,13.1,32.9,1997
'018907,14.6,44.6,12.6,19.8,8.4,1997
'018908,5.7,37.9,16.7,39.7,0.0,1997
'019901,8.4,28.0,18.9,28.1,16.6,1997
'019902,1.3,17.5,20.0,33.7,27.5,1997
'019903,6.1,12.1,18.2,48.5,15.2,1997
'019905,5.3,18.7,24.6,31.5,19.9,1997
'019906,4.7,23.7,16.1,30.6,24.9,1997
'019907,6.5,22.9,13.9,30.8,25.8,1997
'019908,2.0,22.8,20.3,30.5,24.4,1997
'019909,7.7,24.8,18.0,31.5,18.0,1997
'019910,0.0,59.2,31.0,9.9,0.0,1997
'019911,0.0,20.5,41.1,28.2,10.3,1997
'019912,6.7,23.9,15.9,34.8,18.7,1997
'019913,12.5,0.0,50.0,37.5,0.0,1997
'019914,0.0,29.7,9.9,39.6,20.8,1997
'020901,9.4,33.1,17.7,23.3,16.4,1997
'020902,6.3,25.2,18.8,31.2,18.6,1997
'020904,1.7,34.0,30.2,19.2,15.0,1997
'020905,5.2,24.4,14.2,32.2,24.0,1997
'020906,4.4,18.9,23.4,31.4,21.9,1997
'020907,5.8,19.7,14.6,29.4,30.5,1997
'020908,9.1,25.2,16.1,30.4,19.3,1997
'020910,16.5,43.5,19.5,16.5,4.1,1997
'021901,3.4,25.5,22.0,31.7,17.4,1997
'021902,8.0,34.9,16.2,24.5,16.4,1997
'022004,19.6,63.8,6.6,10.0,0.0,1997
