DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'001902,ANDERSON,'001,N,N,CAYUGA ISD,NQ,R,'07,REGION 07: KILGORE
'001903,ANDERSON,'001,N,N,ELKHART ISD,NQ,R,'07,REGION 07: KILGORE
'001904,ANDERSON,'001,N,N,FRANKSTON ISD,NQ,A,'07,REGION 07: KILGORE
'001906,ANDERSON,'001,N,N,NECHES ISD,NQ,R,'07,REGION 07: KILGORE
'001907,ANDERSON,'001,N,N,PALESTINE ISD,NQ,A,'07,REGION 07: KILGORE
'001908,ANDERSON,'001,N,N,WESTWOOD ISD,NQ,A,'07,REGION 07: KILGORE
'001909,ANDERSON,'001,N,N,SLOCUM ISD,NQ,E,'07,REGION 07: KILGORE
'002901,ANDREWS,'002,N,N,ANDREWS ISD,NQ,A,'18,REGION 18: MIDLAND
'003902,ANGELINA,'003,N,N,HUDSON ISD,NQ,R,'07,REGION 07: KILGORE
'003903,ANGELINA,'003,N,N,LUFKIN ISD,NQ,A,'07,REGION 07: KILGORE
'003904,ANGELINA,'003,N,N,HUNTINGTON ISD,NQ,A,'07,REGION 07: KILGORE
'003905,ANGELINA,'003,N,N,DIBOLL ISD,NQ,A,'07,REGION 07: KILGORE
'003906,ANGELINA,'003,N,N,ZAVALLA ISD,NQ,E,'07,REGION 07: KILGORE
'003907,ANGELINA,'003,N,N,CENTRAL ISD,NQ,R,'07,REGION 07: KILGORE
'004901,ARANSAS,'004,N,N,ARANSAS COUNTY ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'005901,ARCHER,'005,N,N,ARCHER CITY ISD,NQ,R,'09,REGION 09: WICHITA FALLS
'005902,ARCHER,'005,N,N,HOLLIDAY ISD,NQ,A,'09,REGION 09: WICHITA FALLS
'005903,ARCHER,'005,N,N,MEGARGEL ISD,NQ,A,'09,REGION 09: WICHITA FALLS
'005904,ARCHER,'005,N,N,WINDTHORST ISD,NQ,E,'09,REGION 09: WICHITA FALLS
'006902,ARMSTRONG,'006,N,N,CLAUDE ISD,NQ,A,'16,REGION 16: AMARILLO
'007901,ATASCOSA,'007,N,N,CHARLOTTE ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'007902,ATASCOSA,'007,N,N,JOURDANTON ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'007904,ATASCOSA,'007,N,N,LYTLE ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'007905,ATASCOSA,'007,N,N,PLEASANTON ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'007906,ATASCOSA,'007,N,N,POTEET ISD,NQ,A,'20,REGION 20: SAN ANTONIO
'008901,AUSTIN,'008,N,N,BELLVILLE ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'008902,AUSTIN,'008,N,N,SEALY ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'008903,AUSTIN,'008,N,N,BRAZOS ISD,NQ,A,'06,REGION 06: HUNTSVILLE
'009901,BAILEY,'009,N,N,MULESHOE ISD,NQ,A,'17,REGION 17: LUBBOCK
'009903,BAILEY,'009,N,N,THREE WAY ISD,NQ,A,'17,REGION 17: LUBBOCK
'010901,BANDERA,'010,N,N,MEDINA ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'010902,BANDERA,'010,N,N,BANDERA ISD,NQ,R,'20,REGION 20: SAN ANTONIO
'011901,BASTROP,'011,N,N,BASTROP ISD,NQ,A,'13,REGION 13: AUSTIN
'011902,BASTROP,'011,N,N,ELGIN ISD,NQ,A,'13,REGION 13: AUSTIN
'011904,BASTROP,'011,N,N,SMITHVILLE ISD,NQ,A,'13,REGION 13: AUSTIN
'011905,BASTROP,'011,N,N,MCDADE ISD,NA,R,'13,REGION 13: AUSTIN
'012901,BAYLOR,'012,N,N,SEYMOUR ISD,NQ,R,'09,REGION 09: WICHITA FALLS
'013901,BEE,'013,N,N,BEEVILLE ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'013902,BEE,'013,N,N,PAWNEE ISD,NA,R,'02,REGION 02: CORPUS CHRISTI
'013903,BEE,'013,N,N,PETTUS ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'013905,BEE,'013,N,N,SKIDMORE-TYNAN ISD,NQ,A,'02,REGION 02: CORPUS CHRISTI
'014802,BELL,'014,Y,N,TRANSFORMATIVE CHARTER ACADEMY,CS,C,'12,REGION 12: WACO
'014901,BELL,'014,N,N,ACADEMY ISD,NQ,R,'12,REGION 12: WACO
'014902,BELL,'014,N,N,BARTLETT ISD,NQ,A,'12,REGION 12: WACO
'014903,BELL,'014,N,N,BELTON ISD,NQ,R,'12,REGION 12: WACO
'014905,BELL,'014,N,N,HOLLAND ISD,NQ,R,'12,REGION 12: WACO
'014906,BELL,'014,N,N,KILLEEN ISD,NQ,A,'12,REGION 12: WACO
'014907,BELL,'014,N,N,ROGERS ISD,NQ,R,'12,REGION 12: WACO
'014908,BELL,'014,N,N,SALADO ISD,NQ,A,'12,REGION 12: WACO
'014909,BELL,'014,N,N,TEMPLE ISD,NQ,A,'12,REGION 12: WACO
