DISTRICT,YEAR,DA0GH05N,DA0GH05P,DA0GM05N,DA0GM05P,DA0GR05N,DA0GR05P,DA0LV05R,DAPID06N,DAPID06R,DAUND05C,DB0GR05N,DB0GR05P,DH0GR05N,DH0GR05P,DI0GR05N,DI0GR05P,DP0GR05N,DP0GR05P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR05N,DS0GR05P,DW0GR05N,DW0GR05P
'001902,2006,25,67.6,12,32.4,37,100,0,0,0,0,2,5.4,3,8.1,0,0,0,0,7.1,3,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,9.1,582,6,1,79,13.6,8,1.2,234,40.2,50,8.6,34,5.8,44,7.6,45,7.7,41,7,43,7.4,52,8.9,55,9.5,43,7.4,34,5.8,50,8.6,31,5.3,3,0.5,67,11.5,38,6.5,19,3.3,23,4,0,0,6,1,6,1,150,25.8,90,15.5,104,17.9,474,81.4,9,24.3,32,86.5
'001903,2006,36,48,39,52,75,100,0,0,0,0,7,9.3,4,5.3,0,0,0,0,7.6,0,0,2.5,0,1.5,1.5,1.5,11.1,0,0,0,0,10.5,0,0,0,13.3,1294,8,0.6,119,9.2,20,1.4,616,47.6,109,8.4,83,6.4,76,5.9,85,6.6,107,8.3,85,6.6,83,6.4,96,7.4,113,8.7,92,7.1,86,6.6,85,6.6,1,0.1,52,4,106,8.2,87,6.7,61,4.7,3,0.2,9,0.7,2,0.2,413,31.9,217,16.8,309,23.9,1109,85.7,17,22.7,64,85.3
'001904,2006,45,71.4,18,28.6,63,100,0.2,5,0.5,1,10,15.9,4,6.3,0,0,0,0,7,2.1,1.9,2.4,0,3.5,0,2.1,0,0,14.3,0,0,0,0,0,0,33.3,797,27,3.4,109,13.7,1,0.1,400,50.2,47,5.9,56,7,50,6.3,55,6.9,54,6.8,66,8.3,67,8.4,78,9.8,60,7.5,61,7.7,52,6.5,60,7.5,3,0.4,59,7.4,62,7.8,26,3.3,55,6.9,1,0.1,27,3.4,1,0.1,326,40.9,115,14.4,259,32.5,631,79.2,10,15.9,49,77.8
'001906,2006,8,53.3,7,46.7,15,100,0,0,0,0,3,20,0,0,0,0,0,0,7.7,0,0,7.1,7.1,0,4.2,0,7.1,20,0,0,0,0,0,0,0,66.7,329,0,0,27,8.2,6,1.7,125,38,26,7.9,24,7.3,26,7.9,27,8.2,22,6.7,19,5.8,24,7.3,33,10,38,11.6,14,4.3,18,5.5,21,6.4,3,0.9,19,5.8,34,10.3,0,0,14,4.3,0,0,0,0,2,0.6,100,30.4,70,21.3,133,40.4,286,86.9,3,20,12,80
'001907,2006,144,78.7,39,21.3,183,100,0.3,24,0.6,6,56,30.6,35,19.1,0,0,4,2.2,12.6,3.4,4.8,5.8,17.1,4.6,11,11.4,1.2,19,4.2,0,6.3,0,8.6,5,4.8,0,3372,289,8.6,1004,29.8,48,1.3,2142,63.5,298,8.8,248,7.4,284,8.4,239,7.1,271,8,197,5.8,252,7.5,254,7.5,260,7.7,258,7.7,198,5.9,176,5.2,4,0.1,147,4.4,286,8.5,147,4.4,1000,29.7,7,0.2,305,9,25,0.7,1720,51,357,10.6,890,26.4,1336,39.6,26,14.2,88,48.1
'001908,2006,47,44.8,58,55.2,105,100,0,3,0.1,0,16,15.2,10,9.5,0,0,0,0,10.7,5.1,5.3,1,11.1,6.5,0,0,8.5,10,5.3,0,0,0,8.7,4.5,0,9.1,1789,42,2.3,302,16.9,42,2.1,782,43.7,152,8.5,142,7.9,141,7.9,110,6.1,141,7.9,142,7.9,131,7.3,115,6.4,151,8.4,121,6.8,135,7.5,115,6.4,3,0.2,85,4.8,145,8.1,45,2.5,213,11.9,4,0.2,44,2.5,9,0.5,781,43.7,244,13.6,449,25.1,1261,70.5,20,19,79,75.2
'001909,2006,9,50,9,50,18,100,0,4,0.9,0,0,0,0,0,0,0,0,0,8,0,3.8,5.9,0,16,0,0,8,0,33.3,0,0,0,0,0,0,0,389,1,0.3,8,2.1,0,0,226,58.1,32,8.2,28,7.2,30,7.7,31,8,28,7.2,27,6.9,24,6.2,27,6.9,31,8,26,6.7,31,8,23,5.9,1,0.3,39,10,25,6.4,25,6.4,19,4.9,0,0,1,0.3,1,0.3,65,16.7,85,21.9,92,23.7,361,92.8,3,16.7,18,100
'002901,2006,126,63.6,72,36.4,198,100,0.1,0,0,1,5,2.5,96,48.5,0,0,3,1.5,1.3,1.9,0.7,0,1.9,0,0,0,1.2,0,0,0,0,0,0,0,0,7,2898,159,5.5,46,1.6,58,1.9,1371,47.3,218,7.5,209,7.2,213,7.3,184,6.3,185,6.4,216,7.5,210,7.2,211,7.3,219,7.6,238,8.2,246,8.5,201,6.9,24,0.8,191,6.6,208,7.2,116,4,1673,57.7,9,0.3,246,8.5,16,0.6,1252,43.2,470,16.2,533,18.4,1154,39.8,24,12.1,94,47.5
'003801,2006,0,.,0,.,.,.,0,1,0.4,0,0,.,0,.,0,.,0,.,4.3,0,0,25,6.3,8.3,0,0,10,50,0,0,0,0,0,0,0,0,220,1,0.5,45,20.5,0,0,132,60,33,15,35,15.9,34,15.5,20,9.1,19,8.6,20,9.1,16,7.3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,32,14.5,0,0,18,8.2,0,0,3,1.4,5,2.3,52,23.6,26,11.8,0,0,152,69.1,0,.,0,.
'003902,2006,93,60.4,61,39.6,154,100,0,1,0,0,6,3.9,29,18.8,0,0,0,0,7.7,5.4,1.9,5.2,3,1.8,2.5,3.5,1.4,7.1,0,4.8,0,3.4,0,0,4,0,2429,141,5.8,107,4.4,53,2,1319,54.3,188,7.7,190,7.8,184,7.6,196,8.1,169,7,178,7.3,192,7.9,184,7.6,184,7.6,178,7.3,155,6.4,141,5.8,4,0.2,125,5.1,190,7.8,96,4,485,20,10,0.4,152,6.3,14,0.6,815,33.6,277,11.4,596,24.5,1813,74.6,17,11,119,77.3
