DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION,secs
'057816,DALLAS,'057,Y,A W BROWN-FELLOWSHIP LEADERSHIP AC,'10,
'057829,DALLAS,'057,Y,A+ ACADEMY,'10,D
'109901,HILL,'109,N,ABBOTT ISD,'12,D
'095901,HALE,'095,N,ABERNATHY ISD,'17,
'221901,TAYLOR,'221,N,ABILENE ISD,'14,B
'014901,BELL,'014,N,ACADEMY ISD,'12,D
'101810,HARRIS,'101,Y,ACADEMY OF ACCELERATED LEARNING IN,'04,B
'015816,BEXAR,'015,Y,ACADEMY OF CAREERS AND TECHNOLOGIE,'20,B
'057810,DALLAS,'057,Y,ACADEMY OF DALLAS,'10,
'101849,HARRIS,'101,Y,ACCELERATED INTERMEDIATE ACADEMY,'04,B
'180903,OLDHAM,'180,N,ADRIAN ISD,'16,D
'057806,DALLAS,'057,Y,ADVANTAGE ACADEMY,'10,
'178901,NUECES,'178,N,AGUA DULCE ISD,'02,
'015901,BEXAR,'015,N,ALAMO HEIGHTS ISD,'20,D
'250906,WOOD,'250,N,ALBA-GOLDEN ISD,'07,B
'209901,SHACKELFORD,'209,N,ALBANY ISD,'14,
'101902,HARRIS,'101,N,ALDINE ISD,'04,
'184907,PARKER,'184,N,ALEDO ISD,'11,
'125901,JIM WELLS,'125,N,ALICE ISD,'02,C
'101903,HARRIS,'101,N,ALIEF ISD,'04,B
'101815,HARRIS,'101,Y,ALIEF MONTESSORI COMMUNITY SCHOOL,'04,
'043901,COLLIN,'043,N,ALLEN ISD,'10,
'057832,DALLAS,'057,Y,ALPHA CHARTER SCHOOL,'10,L
'022901,BREWSTER,'022,N,ALPINE ISD,'18,
'037901,CHEROKEE,'037,N,ALTO ISD,'07,D
'126901,JOHNSON,'126,N,ALVARADO ISD,'11,
'020901,BRAZORIA,'020,N,ALVIN ISD,'04,
'249901,WISE,'249,N,ALVORD ISD,'11,
'188901,POTTER,'188,N,AMARILLO ISD,'16,
'084804,GALVESTON,'084,Y,AMBASSADORS PREPARATORY ACADEMY,'04,B
'227801,TRAVIS,'227,Y,AMERICAN YOUTHWORKS CHARTER SCHOOL,'13,L
'140901,LAMB,'140,N,AMHERST ISD,'17,
'101819,HARRIS,'101,Y,AMIGOS POR VIDA-FRIENDS FOR LIFE P,'04,B
'036901,CHAMBERS,'036,N,ANAHUAC ISD,'04,D
'093901,GRIMES,'093,N,ANDERSON-SHIRO CISD,'06,
'002901,ANDREWS,'002,N,ANDREWS ISD,'18,D
'020902,BRAZORIA,'020,N,ANGLETON ISD,'04,
'043902,COLLIN,'043,N,ANNA ISD,'10,
'127901,JONES,'127,N,ANSON ISD,'14,D
'071906,EL PASO,'071,N,ANTHONY ISD,'19,
'110901,HOCKLEY,'110,N,ANTON ISD,'17,
'228905,TRINITY,'228,N,APPLE SPRINGS ISD,'06,D
'109912,HILL,'109,N,AQUILLA ISD,'12,
'004901,ARANSAS,'004,N,ARANSAS COUNTY ISD,'02,
'205901,SAN PATRICIO,'205,N,ARANSAS PASS ISD,'02,B
'005901,ARCHER,'005,N,ARCHER CITY ISD,'09,
'061910,DENTON,'061,N,ARGYLE ISD,'11,
'101803,HARRIS,'101,Y,ARISTOI CLASSICAL ACADEMY,'04,
'220802,TARRANT,'220,Y,ARLINGTON CLASSICS ACADEMY,'11,
'220901,TARRANT,'220,N,ARLINGTON ISD,'11,B
'212901,SMITH,'212,N,ARP ISD,'07,
