DISTRICT,YEAR,D20708DR11R,D20708DR12R,D20912DR11R,D20912DR12R,D20AD11R,D20AD12R,D20AT11R,D20AT12R,D20BK11R,D20BKA12R,D20BTA12R,D20GH11R,D20GH12R,D30708DR11R,D30708DR12R,D30912DR11R,D30912DR12R,D30AD11R,D30AD12R,D30AT11R,D30AT12R,D30BK11R,D30BKA12R,D30BTA12R,D30GH11R,D30GH12R,D40708DR11R,D40708DR12R,D40912DR11R,D40912DR12R,D40AD11R,D40AD12R,D40AT11R,D40AT12R,D40BK11R,D40BKA12R,D40BTA12R,D40GH11R,D40GH12R,DA0708DR11R,DA0708DR12R,DA0912DR11R,DA0912DR12R,DA0AD11R,DA0AD12R,DA0AT11R,DA0AT12R,DA0BK11R,DA0BKA12R,DA0BTA12R,DA0GH11R,DA0GH12R,DAHEC12R,DAHEE12R,DB0708DR11R,DB0708DR12R,DB0912DR11R,DB0912DR12R,DB0AD11R,DB0AD12R,DB0AT11R,DB0AT12R,DB0BK11R,DB0BKA12R,DB0BTA12R,DB0GH11R,DB0GH12R,DE0708DR11R,DE0708DR12R,DE0912DR11R,DE0912DR12R,DE0AD11R,DE0AD12R,DE0AT11R,DE0AT12R,DE0BKA12R,DE0BTA12R,DE0GH11R,DE0GH12R,DF0708DR11R,DF0708DR12R,DF0912DR11R,DF0912DR12R,DF0AD11R,DF0AD12R,DF0AT11R,DF0AT12R,DF0BK11R,DF0BKA12R,DF0BTA12R,DF0GH11R,DF0GH12R,DH0708DR11R,DH0708DR12R,DH0912DR11R,DH0912DR12R,DH0AD11R,DH0AD12R,DH0AT11R,DH0AT12R,DH0BK11R,DH0BKA12R,DH0BTA12R,DH0GH11R,DH0GH12R,DI0708DR11R,DI0708DR12R,DI0912DR11R,DI0912DR12R,DI0AD11R,DI0AD12R,DI0AT11R,DI0AT12R,DI0BK11R,DI0BKA12R,DI0BTA12R,DI0GH11R,DI0GH12R,DL0708DR11R,DL0708DR12R,DL0912DR11R,DL0912DR12R,DL0AD11R,DL0AD12R,DL0AT11R,DL0AT12R,DL0GH11R,DL0GH12R,DM0708DR11R,DM0708DR12R,DM0912DR11R,DM0912DR12R,DM0AD11R,DM0AD12R,DM0AT11R,DM0AT12R,DM0BK11R,DM0BKA12R,DM0BTA12R,DM0GH11R,DM0GH12R,DR0708DR11R,DR0708DR12R,DR0912DR11R,DR0912DR12R,DR0AD11R,DR0AD12R,DR0AT11R,DR0AT12R,DR0GH11R,DR0GH12R,DS0708DR11R,DS0708DR12R,DS0912DR11R,DS0912DR12R,DS0AD11R,DS0AD12R,DS0AT11R,DS0AT12R,DS0GH11R,DS0GH12R,DW0708DR11R,DW0708DR12R,DW0912DR11R,DW0912DR12R,DW0AD11R,DW0AD12R,DW0AT11R,DW0AT12R,DW0BK11R,DW0BKA12R,DW0BTA12R,DW0GH11R,DW0GH12R
'001902,2013,-1,-1,0,0,12.5,33.3,95,95.8,.,.,.,-1,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.5,0.5,18.4,23.1,96.5,96.6,.,.,.,68.9,81.1,83.3,57.8,0,0,0,0,25,38.9,96.8,97.8,.,.,.,83.3,60,0,0,1.6,1.5,17.2,25.5,95.7,95.7,.,.,56.3,78.6,0,0,1.3,1.1,19.2,23.8,96.4,96.6,.,.,.,82.4,100,0,-1,0,0,33.3,21.4,96.3,96.1,.,.,.,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,-1,.,.,0,0,0,0,17.9,22.6,96.5,96.7,.,.,.,60.7,66.7,0,0,1.8,0,16.7,28.1,96,96.1,31.3,33.3,0,0,0,0,3.8,24,96.1,96.3,0,-1,0,0,0.7,0.6,16.7,21.1,96.5,96.6,.,.,.,75,83.9
'001903,2013,0,0,0,0,0,0,97.1,97.3,.,.,-1,.,.,.,-1,-1,-1,-1,-1,97.9,98.6,.,.,-1,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,1.5,0,0.5,0.3,12.8,13.5,96.4,96.6,66.7,61.1,11.4,69.3,73,87.9,46.7,11.1,0,0,0,7.1,0,96.1,96.9,.,.,0,60,-1,0,0,1.2,0,8.1,7.8,95.9,96.2,-1,6.5,53.3,63.3,3.1,0,0.6,0,12.4,15.2,96.2,96.4,66.7,53.8,19.1,84.6,84.8,0,0,0,0,26.3,16.7,96.6,96.7,-1,-1,33.3,-1,-1,.,.,-1,.,-1,.,-1,-1,.,.,.,-1,.,.,-1,.,.,.,.,97.7,98.3,.,.,0,0,0.5,0.5,13.1,11.9,96.5,96.8,66.7,80,5.6,61.2,63.4,1.4,0,1.6,0,4.2,1.6,95.9,96.1,33.3,52.9,0,0,0,0,0,2.7,95.6,95.9,9.1,0,1.1,0,0.6,0.3,12.6,14.1,96.3,96.5,72.7,71.4,10.1,70.8,73.5
'001904,2013,-1,-1,0,0,25,36.4,95.2,94.5,.,-1,20,-1,-1,-1,.,0,-1,-1,-1,98.6,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.4,0,24.8,25.7,95.6,96.1,31.3,0,6.8,85.7,89.3,62.5,62.5,0,0,2.6,0,14.3,10.3,96.4,96.9,-1,.,0,87.5,55.6,0,0,0.7,0,15.4,18.7,95.2,95.6,-1,5.5,74.1,78.6,0,0,0,0,22.3,25,95.1,95.7,40,-1,7.7,90.5,100,0,0,0,0,43.8,29.4,95.8,97.1,.,-1,12.5,83.3,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,-1,0,-1,75,-1,97.8,98,-1,-1,0,0,0.7,0,26.8,26.4,96,96.4,27.3,-1,6.3,82.9,79.3,0,0,0,0,13,8.6,94.9,95.4,72,72.2,0,0,0,0,0,5.6,94.3,94.8,0,16.7,0,0,0,0,23.5,27.8,95.4,95.9,38.5,0,6.9,86.8,95.1
'001906,2013,-1,-1,-1,-1,-1,-1,96.3,97.6,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,47.7,18.8,96.6,97.1,.,.,.,70,77.8,72.7,65,0,0,0,0,50,33.3,98.2,97.3,.,.,.,.,-1,0,0,0,0,41.7,14.6,95.9,96.6,.,.,42.9,-1,0,0,0,0,48.8,24.1,96.4,97,.,.,.,71.4,75,0,0,0,0,16.7,28.6,95.7,97,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,0,0,0,0,46.7,13.8,96.9,97.2,.,.,.,69.2,83.3,0,0,0,0,47.4,8.1,95.5,96.4,42.9,60,0,0,0,0,41.2,0,96.1,96.2,0,-1,0,0,0,0,50.7,16.1,96.6,97.1,.,.,.,70,75
'001907,2013,0,0,0,0,-1,100,95.9,96.5,.,-1,-1,.,-1,-1,-1,0,0,28.6,35.7,96.7,98,.,-1,33.3,-1,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,0,0.8,0.1,1.4,28.3,21.6,96.1,96.4,56.8,33.3,17.3,93.8,89.2,72.5,47.2,0,0.7,0,0.8,21.1,10.7,96.3,96.6,-1,16.7,6.3,93.3,74.3,0,1,0,0.6,23.6,17.1,96.1,96.4,34.5,12.6,91,87,0,0.8,0,1.9,31.5,22.7,96.1,96.5,68.4,36.8,24.2,95.7,98.2,0,0.6,0,2.4,25,24.7,96.7,97,71.4,31.4,23.2,93.1,96.8,-1,0,-1,-1,.,.,96.7,96.3,.,.,.,.,.,-1,-1,0,12.5,3.8,27.3,96.7,97.6,-1,-1,0,0.7,0.2,0.9,25.5,20.6,96,96.4,48,28,12,91.6,83.3,0,0.8,0.2,1.9,15.9,17,96.1,96.3,90.8,87.2,0,0,0,1.1,3.6,3.4,94.2,95.4,18.2,0,0,1,0.3,0.9,36.9,24.6,95.1,95.6,45.5,42.1,17.6,94.4,89.2
'001908,2013,0,0,0,0,15.4,20,96,95.9,.,-1,20,-1,-1,-1,-1,0,0,33.3,50,98.2,98.2,-1,-1,16.7,-1,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,0,0.4,0.4,0.6,20,23.8,95.7,95.9,0,40,7.1,75.5,76.5,70.2,51.1,0,2.1,0,2,9.9,16.5,96.7,96.6,.,-1,4.7,80,65,0,0.6,0.9,0.8,14.4,16.9,95.5,95.7,-1,4.3,75,66.7,0,0,0,0,22.3,25.9,95.8,95.9,0,50,7.6,90.7,80.8,0,0,0,0,25.5,26.4,96,96.4,-1,-1,13.3,90.9,61.5,-1,.,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,-1,-1,-1,-1,-1,-1,96.7,97.6,.,.,0,0.7,0.8,1.2,17.8,21.7,95.7,95.9,0,28.6,6.6,62.7,72,0,0.9,0,1.7,6.2,8.1,95.3,95.6,48.4,72.7,0,0,0,1.6,0,5.8,94.8,95.1,33.3,28,0,0,0.6,0.3,22.3,24.6,95.3,95.6,0,42.9,5.6,72.3,82.1
'001909,2013,.,.,-1,-1,-1,-1,97,97.7,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.9,0.8,18.1,17.6,96.3,97.3,.,.,.,65,71.4,100,55,-1,-1,.,.,.,.,97.8,-1,.,.,.,.,.,0,0,0,0,13.5,12.5,95.7,96.9,.,.,50,81.8,0,0,0,0,16.4,12.9,96.6,97.4,.,.,.,76.9,64.3,-1,0,-1,-1,-1,-1,95.4,97.5,.,.,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,0,0,1.8,1.7,20,22.8,96,97.3,.,.,.,42.9,78.6,0,0,0,0,0,6.7,95.7,96.8,0,25,0,0,0,0,0,0,95,96.5,-1,16.7,0,0,0.9,0.9,18.6,17.3,96.3,97.3,.,.,.,72.2,68
'002901,2013,0,0,0,0,14.3,33.3,94.4,95.1,.,.,0,-1,-1,-1,-1,0,-1,40,-1,97.3,97.2,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.4,1.7,22.5,19.8,94.9,95.6,-1,20.5,11,72.3,67.5,63.9,39.5,0,0,0,5,40,0,95,95.7,.,.,0,40,-1,0,0,1,3.9,15.7,10.4,94.5,95.1,50,8,61.4,55.6,0,0,0.2,1.4,22.7,21.3,95,95.6,100,24.1,14.6,83.1,69.2,0,0,0.4,2.2,18.7,16.5,95,95.7,-1,31.8,9.1,65.1,64.6,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,0,0,0,8.6,18.9,11.4,95.4,96,16.7,62.5,0,0,0.6,1.9,22.2,18.3,94.7,95.6,.,13.3,7.5,64.3,65.8,0,0,0,2.6,16.3,7.9,94.4,94.9,50,41.5,0,0,0.8,0,17.2,7,93.4,94.2,10,9.1,0,0,0.6,0.8,27.4,25.2,94.5,95.5,.,4.8,15.1,84.1,69.7
'003801,2013,-1,-1,.,.,.,.,96.4,96.5,.,.,.,.,.,-1,-1,.,-1,.,-1,97.3,97,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,0,0,0,1.1,100,90.5,95.9,95.2,.,.,.,.,.,.,.,0,0,0,0,100,100,97,95.6,.,.,.,.,.,0,0,0,0,100,96.7,95.9,95.3,.,.,.,.,0,0,0,0,100,95.1,95.9,95.2,.,.,.,.,.,0,0,0,0,100,100,96,95,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,2.2,100,86,96,95.1,.,.,.,.,.,0,0,-1,0,-1,94.4,95.4,95.2,.,.,0,0,0,0,100,100,95.7,95.1,.,.,0,0,0,1.5,100,87.1,95.6,95,.,.,.,.,.
'003902,2013,0,0,0,0,28.6,38.9,94.5,95.7,-1,-1,11.1,58.3,100,-1,-1,0,0,42.9,54.5,97.6,98.8,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,0.2,0.2,1.3,1,27.4,31,96.6,96.7,57.1,72.2,11.1,84.9,79.2,83.5,64.9,0,0,0,3.1,11.1,13.3,97.1,96.7,.,.,0,66.7,33.3,0.4,0.4,1.9,1.4,18.2,23,96.1,96.4,70,7.4,75.4,71.9,0.5,0,1,1,31.3,35.3,96.5,96.8,57.1,57.9,12.4,88.7,82.9,0,0,1.5,0.7,24.6,22.5,96.4,97,55.6,83.3,13.6,82.1,63,0,-1,0,0,22.2,33.3,95.1,92.9,-1,.,-1,-1,-1,0,0,16.7,16.7,0,0,97.5,97.5,.,.,0,0.5,1.5,1,23.5,27,96.7,96.7,57.1,88.2,10,80.7,75.6,1.1,0.8,2.3,2.1,6.7,10.4,95.5,95.9,55.6,53.3,2.4,0,1.3,3.2,0,0,95.4,95.3,12.5,25,0.3,0.3,1.4,1.1,28.6,33.6,96.7,96.7,55.2,66.7,10.8,88.5,85
