DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,REGION,SECS
'001902,ANDERSON,'001,N,N,CAYUGA ISD,M,'07,
'001903,ANDERSON,'001,N,N,ELKHART ISD,M,'07,
'001904,ANDERSON,'001,N,N,FRANKSTON ISD,M,'07,D
'001906,ANDERSON,'001,N,N,NECHES ISD,M,'07,
'001907,ANDERSON,'001,N,N,PALESTINE ISD,M,'07,
'001908,ANDERSON,'001,N,N,WESTWOOD ISD,M,'07,
'001909,ANDERSON,'001,N,N,SLOCUM ISD,M,'07,D
'002901,ANDREWS,'002,N,N,ANDREWS ISD,M,'18,
'003801,ANGELINA,'003,N,Y,PINEYWOODS COMMUNITY ACADEMY,M,'07,D
'003902,ANGELINA,'003,N,N,HUDSON ISD,M,'07,B
'003903,ANGELINA,'003,N,N,LUFKIN ISD,M,'07,L
'003904,ANGELINA,'003,N,N,HUNTINGTON ISD,M,'07,
'003905,ANGELINA,'003,N,N,DIBOLL ISD,M,'07,D
'003906,ANGELINA,'003,N,N,ZAVALLA ISD,M,'07,
'003907,ANGELINA,'003,N,N,CENTRAL ISD,M,'07,
'004901,ARANSAS,'004,N,N,ARANSAS COUNTY ISD,M,'02,B
'005901,ARCHER,'005,N,N,ARCHER CITY ISD,I,'09,D
'005902,ARCHER,'005,N,N,HOLLIDAY ISD,M,'09,
'005904,ARCHER,'005,N,N,WINDTHORST ISD,M,'09,D
'006902,ARMSTRONG,'006,N,N,CLAUDE ISD,M,'16,
'007901,ATASCOSA,'007,N,N,CHARLOTTE ISD,I,'20,
'007902,ATASCOSA,'007,N,N,JOURDANTON ISD,M,'20,
'007904,ATASCOSA,'007,N,N,LYTLE ISD,M,'20,
'007905,ATASCOSA,'007,N,N,PLEASANTON ISD,M,'20,
'007906,ATASCOSA,'007,N,N,POTEET ISD,M,'20,B
'008901,AUSTIN,'008,N,N,BELLVILLE ISD,M,'06,B
'008902,AUSTIN,'008,N,N,SEALY ISD,M,'06,
'008903,AUSTIN,'008,N,N,BRAZOS ISD,M,'06,D
'009901,BAILEY,'009,N,N,MULESHOE ISD,M,'17,
'010901,BANDERA,'010,N,N,MEDINA ISD,M,'20,D
'010902,BANDERA,'010,N,N,BANDERA ISD,M,'20,B
'011901,BASTROP,'011,N,N,BASTROP ISD,M,'13,
'011902,BASTROP,'011,N,N,ELGIN ISD,M,'13,L
'011904,BASTROP,'011,N,N,SMITHVILLE ISD,M,'13,
'011905,BASTROP,'011,N,N,MCDADE ISD,M,'13,
'012901,BAYLOR,'012,N,N,SEYMOUR ISD,M,'09,
'013801,BEE,'013,N,Y,ST MARY'S ACADEMY CHARTER SCHOOL,M,'02,D
'013901,BEE,'013,N,N,BEEVILLE ISD,M,'02,
'013902,BEE,'013,N,N,PAWNEE ISD,M,'02,
'013903,BEE,'013,N,N,PETTUS ISD,I,'02,
'013905,BEE,'013,N,N,SKIDMORE-TYNAN ISD,M,'02,D
'014801,BELL,'014,Y,Y,RICHARD MILBURN ALTER HIGH SCHOOL,A,'12,B
'014802,BELL,'014,Y,Y,TRANSFORMATIVE CHARTER ACADEMY,A,'12,
'014803,BELL,'014,N,Y,PRIORITY CHARTER SCHOOLS,M,'12,
'014804,BELL,'014,N,Y,ORENDA CHARTER SCHOOL,I,'12,
'014901,BELL,'014,N,N,ACADEMY ISD,M,'12,
'014902,BELL,'014,N,N,BARTLETT ISD,M,'13,D
'014903,BELL,'014,N,N,BELTON ISD,M,'12,
'014905,BELL,'014,N,N,HOLLAND ISD,M,'12,
'014906,BELL,'014,N,N,KILLEEN ISD,M,'12,
'014907,BELL,'014,N,N,ROGERS ISD,M,'12,
'014908,BELL,'014,N,N,SALADO ISD,M,'12,
'014909,BELL,'014,N,N,TEMPLE ISD,M,'12,B
'014910,BELL,'014,N,N,TROY ISD,M,'12,D
'015801,BEXAR,'015,Y,Y,POR VIDA ACADEMY,A,'20,L
'015802,BEXAR,'015,N,Y,GEORGE GERVIN ACADEMY,M,'20,B
'015803,BEXAR,'015,N,Y,HIGGS CARTER KING GIFTED & TALENTE,I,'20,
'015805,BEXAR,'015,N,Y,NEW FRONTIERS CHARTER SCHOOL,M,'20,D
'015806,BEXAR,'015,N,Y,SCHOOL OF EXCELLENCE IN EDUCATION,M,'20,
'015807,BEXAR,'015,Y,Y,SOUTHWEST PREPARATORY SCHOOL,A,'20,L
'015808,BEXAR,'015,Y,Y,JOHN H WOOD JR PUBLIC CHARTER DIST,X,'20,L
'015809,BEXAR,'015,N,Y,BEXAR COUNTY ACADEMY,M,'20,D
'015814,BEXAR,'015,Y,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,A,'20,
'015815,BEXAR,'015,Y,Y,RADIANCE ACADEMY OF LEARNING,A,'20,
'015816,BEXAR,'015,Y,Y,ACADEMY OF CAREERS AND TECHNOLOGIE,A,'20,
'015817,BEXAR,'015,Y,Y,SAN ANTONIO CAN HIGH SCHOOL,A,'20,L
'015819,BEXAR,'015,N,Y,SHEKINAH RADIANCE ACADEMY,I,'20,
'015820,BEXAR,'015,Y,Y,SAN ANTONIO SCHOOL FOR INQUIRY & C,A,'20,
'015822,BEXAR,'015,N,Y,JUBILEE ACADEMIC CENTER,M,'20,
'015823,BEXAR,'015,N,Y,SAN ANTONIO TECHNOLOGY ACADEMY,I,'20,
'015825,BEXAR,'015,N,Y,LIGHTHOUSE CHARTER SCHOOL,M,'20,
'015826,BEXAR,'015,N,Y,KIPP SAN ANTONIO,M,'20,
'015827,BEXAR,'015,N,Y,SCHOOL OF SCIENCE AND TECHNOLOGY,M,'20,
'015828,BEXAR,'015,N,Y,HARMONY SCIENCE ACAD (SAN ANTONIO),M,'20,D
'015830,BEXAR,'015,N,Y,BROOKS ACADEMY OF SCIENCE AND ENGI,M,'20,D
'015831,BEXAR,'015,N,Y,SCHOOL OF SCIENCE AND TECHNOLOGY D,M,'20,
'015832,BEXAR,'015,N,Y,CITY CENTER HEALTH CAREERS,I,'20,
'015833,BEXAR,'015,N,Y,HENRY FORD ACADEMY ALAMEDA SCHOOL,I,'20,D
'015901,BEXAR,'015,N,N,ALAMO HEIGHTS ISD,M,'20,D
'015904,BEXAR,'015,N,N,HARLANDALE ISD,M,'20,B
'015905,BEXAR,'015,N,N,EDGEWOOD ISD,M,'20,
'015906,BEXAR,'015,N,N,RANDOLPH FIELD ISD,M,'20,
'015907,BEXAR,'015,N,N,SAN ANTONIO ISD,M,'20,
'015908,BEXAR,'015,N,N,SOUTH SAN ANTONIO ISD,M,'20,L
'015909,BEXAR,'015,N,N,SOMERSET ISD,M,'20,
'015910,BEXAR,'015,N,N,NORTH EAST ISD,M,'20,
'015911,BEXAR,'015,N,N,EAST CENTRAL ISD,M,'20,
'015912,BEXAR,'015,N,N,SOUTHWEST ISD,M,'20,J
'015913,BEXAR,'015,N,N,LACKLAND ISD,M,'20,
'015914,BEXAR,'015,N,N,FT SAM HOUSTON ISD,M,'20,
'015915,BEXAR,'015,N,N,NORTHSIDE ISD,M,'20,
'015916,BEXAR,'015,N,N,JUDSON ISD,M,'20,
'015917,BEXAR,'015,N,N,SOUTHSIDE ISD,M,'20,B
'016901,BLANCO,'016,N,N,JOHNSON CITY ISD,M,'13,
'016902,BLANCO,'016,N,N,BLANCO ISD,M,'13,
'017901,BORDEN,'017,N,N,BORDEN COUNTY ISD,M,'17,
'018901,BOSQUE,'018,N,N,CLIFTON ISD,M,'12,D
'018902,BOSQUE,'018,N,N,MERIDIAN ISD,M,'12,D
'018903,BOSQUE,'018,N,N,MORGAN ISD,M,'12,D
'018904,BOSQUE,'018,N,N,VALLEY MILLS ISD,M,'12,
'018905,BOSQUE,'018,N,N,WALNUT SPRINGS ISD,I,'12,
'018906,BOSQUE,'018,N,N,IREDELL ISD,M,'12,
'018907,BOSQUE,'018,N,N,KOPPERL ISD,M,'12,
'018908,BOSQUE,'018,N,N,CRANFILLS GAP ISD,M,'12,
'019901,BOWIE,'019,N,N,DEKALB ISD,M,'08,D
'019902,BOWIE,'019,N,N,HOOKS ISD,M,'08,B
'019903,BOWIE,'019,N,N,MAUD ISD,M,'08,D
'019905,BOWIE,'019,N,N,NEW BOSTON ISD,M,'08,
'019906,BOWIE,'019,N,N,REDWATER ISD,M,'08,B
'019907,BOWIE,'019,N,N,TEXARKANA ISD,M,'08,B
'019908,BOWIE,'019,N,N,LIBERTY-EYLAU ISD,M,'08,B
'019909,BOWIE,'019,N,N,SIMMS ISD,M,'08,D
'019910,BOWIE,'019,N,N,MALTA ISD,M,'08,
'019911,BOWIE,'019,N,N,RED LICK ISD,M,'08,
'019912,BOWIE,'019,N,N,PLEASANT GROVE ISD,M,'08,D
'019913,BOWIE,'019,N,N,HUBBARD ISD,M,'08,
'019914,BOWIE,'019,N,N,LEARY ISD,M,'08,
'020901,BRAZORIA,'020,N,N,ALVIN ISD,M,'04,
'020902,BRAZORIA,'020,N,N,ANGLETON ISD,M,'04,
'020904,BRAZORIA,'020,N,N,DANBURY ISD,M,'04,
'020905,BRAZORIA,'020,N,N,BRAZOSPORT ISD,M,'04,B
'020906,BRAZORIA,'020,N,N,SWEENY ISD,M,'04,D
'020907,BRAZORIA,'020,N,N,COLUMBIA-BRAZORIA ISD,M,'04,B
'020908,BRAZORIA,'020,N,N,PEARLAND ISD,M,'04,
'020910,BRAZORIA,'020,N,N,DAMON ISD,M,'04,B
'021803,BRAZOS,'021,N,Y,BRAZOS SCHOOL FOR INQUIRY & CREATI,M,'06,
'021805,BRAZOS,'021,N,Y,ARROW ACADEMY,I,'06,
'021901,BRAZOS,'021,N,N,COLLEGE STATION ISD,M,'06,D
'021902,BRAZOS,'021,N,N,BRYAN ISD,I,'06,B
'022004,BREWSTER,'022,N,N,TERLINGUA CSD,I,'18,
'022901,BREWSTER,'022,N,N,ALPINE ISD,M,'18,D
'022902,BREWSTER,'022,N,N,MARATHON ISD,M,'18,
'022903,BREWSTER,'022,N,N,SAN VICENTE ISD,M,'18,
'023902,BRISCOE,'023,N,N,SILVERTON ISD,M,'16,
'024901,BROOKS,'024,N,N,BROOKS COUNTY ISD,M,'02,B
'025901,BROWN,'025,N,N,BANGS ISD,M,'15,
'025902,BROWN,'025,N,N,BROWNWOOD ISD,M,'15,
'025904,BROWN,'025,N,N,BLANKET ISD,M,'15,D
'025905,BROWN,'025,N,N,MAY ISD,M,'15,
'025906,BROWN,'025,N,N,ZEPHYR ISD,M,'15,
'025908,BROWN,'025,N,N,BROOKESMITH ISD,M,'15,
'025909,BROWN,'025,N,N,EARLY ISD,M,'15,
'026901,BURLESON,'026,N,N,CALDWELL ISD,M,'06,B
'026902,BURLESON,'026,N,N,SOMERVILLE ISD,M,'06,B
'026903,BURLESON,'026,N,N,SNOOK ISD,I,'06,D
'027903,BURNET,'027,N,N,BURNET CISD,M,'13,B
'027904,BURNET,'027,N,N,MARBLE FALLS ISD,M,'13,D
'028902,CALDWELL,'028,N,N,LOCKHART ISD,M,'13,B
'028903,CALDWELL,'028,N,N,LULING ISD,I,'13,B
'028906,CALDWELL,'028,N,N,PRAIRIE LEA ISD,M,'13,
'029901,CALHOUN,'029,N,N,CALHOUN COUNTY ISD,M,'03,D
'030901,CALLAHAN,'030,N,N,CROSS PLAINS ISD,M,'14,
'030902,CALLAHAN,'030,N,N,CLYDE CISD,M,'14,
'030903,CALLAHAN,'030,N,N,BAIRD ISD,M,'14,
'030906,CALLAHAN,'030,N,N,EULA ISD,M,'14,
'031803,CAMERON,'031,N,Y,HARMONY SCIENCE ACADEMY - BROWNSVI,M,'01,D
'031901,CAMERON,'031,N,N,BROWNSVILLE ISD,M,'01,
'031903,CAMERON,'031,N,N,HARLINGEN CISD,M,'01,H
'031905,CAMERON,'031,N,N,LA FERIA ISD,M,'01,L
'031906,CAMERON,'031,N,N,LOS FRESNOS CISD,M,'01,D
'031909,CAMERON,'031,N,N,POINT ISABEL ISD,M,'01,D
'031911,CAMERON,'031,N,N,RIO HONDO ISD,M,'01,
'031912,CAMERON,'031,N,N,SAN BENITO CISD,M,'01,
'031913,CAMERON,'031,N,N,SANTA MARIA ISD,M,'01,
'031914,CAMERON,'031,N,N,SANTA ROSA ISD,M,'01,D
'031916,CAMERON,'031,N,N,SOUTH TEXAS ISD,M,'01,
'032902,CAMP,'032,N,N,PITTSBURG ISD,M,'08,D
'033901,CARSON,'033,N,N,GROOM ISD,M,'16,
'033902,CARSON,'033,N,N,PANHANDLE ISD,M,'16,
'033904,CARSON,'033,N,N,WHITE DEER ISD,M,'16,
'034901,CASS,'034,N,N,ATLANTA ISD,M,'08,D
'034902,CASS,'034,N,N,AVINGER ISD,M,'08,
'034903,CASS,'034,N,N,HUGHES SPRINGS ISD,M,'08,
'034905,CASS,'034,N,N,LINDEN-KILDARE CISD,M,'08,
'034906,CASS,'034,N,N,MCLEOD ISD,M,'08,
'034907,CASS,'034,N,N,QUEEN CITY ISD,M,'08,
'034909,CASS,'034,N,N,BLOOMBURG ISD,M,'08,
'035901,CASTRO,'035,N,N,DIMMITT ISD,M,'16,
'035902,CASTRO,'035,N,N,HART ISD,M,'16,
'035903,CASTRO,'035,N,N,NAZARETH ISD,M,'16,
'036901,CHAMBERS,'036,N,N,ANAHUAC ISD,M,'04,
'036902,CHAMBERS,'036,N,N,BARBERS HILL ISD,M,'04,A
'036903,CHAMBERS,'036,N,N,EAST CHAMBERS ISD,M,'05,B
'037901,CHEROKEE,'037,N,N,ALTO ISD,M,'07,D
'037904,CHEROKEE,'037,N,N,JACKSONVILLE ISD,M,'07,B
'037907,CHEROKEE,'037,N,N,RUSK ISD,M,'07,B
'037908,CHEROKEE,'037,N,N,NEW SUMMERFIELD ISD,M,'07,D
'037909,CHEROKEE,'037,N,N,WELLS ISD,M,'07,
'038901,CHILDRESS,'038,N,N,CHILDRESS ISD,M,'16,B
'039902,CLAY,'039,N,N,HENRIETTA ISD,M,'09,
'039903,CLAY,'039,N,N,PETROLIA ISD,M,'09,
'039904,CLAY,'039,N,N,BELLEVUE ISD,M,'09,
'039905,CLAY,'039,N,N,MIDWAY ISD,M,'09,D
'040901,COCHRAN,'040,N,N,MORTON ISD,M,'17,D
'040902,COCHRAN,'040,N,N,WHITEFACE CISD,M,'17,
'041901,COKE,'041,N,N,BRONTE ISD,M,'15,
'041902,COKE,'041,N,N,ROBERT LEE ISD,M,'15,
'042901,COLEMAN,'042,N,N,COLEMAN ISD,M,'15,
'042903,COLEMAN,'042,N,N,SANTA ANNA ISD,M,'15,
'042905,COLEMAN,'042,N,N,PANTHER CREEK CISD,M,'15,
'043801,COLLIN,'043,N,Y,IMAGINE INTERNATIONAL ACADEMY OF N,M,'10,
'043901,COLLIN,'043,N,N,ALLEN ISD,M,'10,
'043902,COLLIN,'043,N,N,ANNA ISD,M,'10,B
'043903,COLLIN,'043,N,N,CELINA ISD,M,'10,B
'043904,COLLIN,'043,N,N,FARMERSVILLE ISD,M,'10,
'043905,COLLIN,'043,N,N,FRISCO ISD,M,'10,
'043907,COLLIN,'043,N,N,MCKINNEY ISD,M,'10,
'043908,COLLIN,'043,N,N,MELISSA ISD,M,'10,D
'043910,COLLIN,'043,N,N,PLANO ISD,M,'10,
'043911,COLLIN,'043,N,N,PRINCETON ISD,M,'10,D
'043912,COLLIN,'043,N,N,PROSPER ISD,M,'10,
'043914,COLLIN,'043,N,N,WYLIE ISD,M,'10,
'043917,COLLIN,'043,N,N,BLUE RIDGE ISD,M,'10,
'043918,COLLIN,'043,N,N,COMMUNITY ISD,M,'10,
'043919,COLLIN,'043,N,N,LOVEJOY ISD,M,'10,
'044902,COLLINGSWORTH,'044,N,N,WELLINGTON ISD,M,'16,
'045902,COLORADO,'045,N,N,COLUMBUS ISD,M,'03,D
'045903,COLORADO,'045,N,N,RICE CISD,M,'03,B
'045905,COLORADO,'045,N,N,WEIMAR ISD,M,'03,D
'046802,COMAL,'046,Y,Y,TRINITY CHARTER SCHOOL,X,'13,
'046901,COMAL,'046,N,N,NEW BRAUNFELS ISD,M,'13,
'046902,COMAL,'046,N,N,COMAL ISD,M,'13,
'047901,COMANCHE,'047,N,N,COMANCHE ISD,M,'14,
'047902,COMANCHE,'047,N,N,DE LEON ISD,M,'14,
'047903,COMANCHE,'047,N,N,GUSTINE ISD,M,'14,
'047905,COMANCHE,'047,N,N,SIDNEY ISD,M,'14,
'048901,CONCHO,'048,N,N,EDEN CISD,M,'15,
