DISTRICT,DISTNAME,REGION,DFLCHART,D_RATING,DSUPRATE,DFLYRE,COUNTY,CNTYNAME
'031901,BROWNSVILLE ISD,'01,N,A,NQ,P,'031,CAMERON
'108902,DONNA ISD,'01,N,A,NQ,N,'108,HIDALGO
'108903,EDCOUCH-ELSA ISD,'01,N,R,NQ,N,'108,HIDALGO
'108904,EDINBURG CISD,'01,N,A,NQ,N,'108,HIDALGO
'031903,HARLINGEN CONS ISD,'01,N,R,NQ,N,'031,CAMERON
'108905,HIDALGO ISD,'01,N,R,NQ,N,'108,HIDALGO
'108801,INFORMATION REFERRAL RESOURCE ASST,'01,Y,C,CS,N,'108,HIDALGO
'124901,JIM HOGG COUNTY ISD,'01,N,R,NQ,N,'124,JIM HOGG
'031905,LA FERIA ISD,'01,N,R,NQ,N,'031,CAMERON
'108912,LA JOYA ISD,'01,N,A,NQ,N,'108,HIDALGO
'108914,LA VILLA ISD,'01,N,A,NQ,N,'108,HIDALGO
'240901,LAREDO ISD,'01,N,A,NQ,N,'240,WEBB
'245901,LASARA ISD,'01,N,R,NA,N,'245,WILLACY
'031906,LOS FRESNOS CONS ISD,'01,N,E,NQ,N,'031,CAMERON
'245902,LYFORD CISD,'01,N,A,NQ,N,'245,WILLACY
'108906,MCALLEN ISD,'01,N,R,NQ,P,'108,HIDALGO
'108907,MERCEDES ISD,'01,N,A,NQ,N,'108,HIDALGO
'240902,MIRANDO CITY ISD,'01,N,A,NA,N,'240,WEBB
'108908,MISSION CONS ISD,'01,N,R,NQ,N,'108,HIDALGO
'108915,MONTE ALTO ISD,'01,N,R,NA,N,'108,HIDALGO
'108909,PHARR-SAN JUAN-ALAMO ISD,'01,N,A,NQ,N,'108,HIDALGO
'031909,POINT ISABEL ISD,'01,N,R,NQ,N,'031,CAMERON
'108910,PROGRESO ISD,'01,N,A,NQ,N,'108,HIDALGO
'245903,RAYMONDVILLE ISD,'01,N,A,NQ,N,'245,WILLACY
'214901,RIO GRANDE CITY ISD,'01,N,A,NQ,N,'214,STARR
'031911,RIO HONDO ISD,'01,N,A,NQ,N,'031,CAMERON
'214903,ROMA ISD,'01,N,A,NQ,N,'214,STARR
'031912,SAN BENITO CONS ISD,'01,N,R,NQ,N,'031,CAMERON
'214902,SAN ISIDRO ISD,'01,N,R,NQ,N,'214,STARR
'245904,SAN PERLITA ISD,'01,N,R,NQ,N,'245,WILLACY
'031913,SANTA MARIA ISD,'01,N,A,NQ,N,'031,CAMERON
'031914,SANTA ROSA ISD,'01,N,A,NQ,N,'031,CAMERON
'108911,SHARYLAND ISD,'01,N,R,NQ,N,'108,HIDALGO
'031916,SOUTH TEXAS ISD,'01,N,E,NQ,N,'031,CAMERON
'240903,UNITED ISD,'01,N,A,NQ,N,'240,WEBB
'108916,VALLEY VIEW ISD,'01,N,R,NQ,N,'108,HIDALGO
'240904,WEBB CONS ISD,'01,N,R,NQ,N,'240,WEBB
'108913,WESLACO ISD,'01,N,R,NQ,N,'108,HIDALGO
'253901,ZAPATA COUNTY ISD,'01,N,A,NQ,N,'253,ZAPATA
'178801,ACADEMY OF TRANSITIONAL STUDIES,'02,Y,C,CS,N,'178,NUECES
'178901,AGUA DULCE ISD,'02,N,A,NQ,N,'178,NUECES
'125901,ALICE ISD,'02,N,A,NQ,N,'125,JIM WELLS
'004901,ARANSAS COUNTY ISD,'02,N,R,NQ,N,'004,ARANSAS
'205901,ARANSAS PASS ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
'178913,BANQUETE ISD,'02,N,A,NQ,N,'178,NUECES
'013901,BEEVILLE ISD,'02,N,A,NQ,N,'013,BEE
'125902,BEN BOLT-PALITO BLANCO ISD,'02,N,A,NQ,N,'125,JIM WELLS
'066901,BENAVIDES ISD,'02,N,A,NQ,N,'066,DUVAL
'178902,BISHOP CONS ISD,'02,N,A,NQ,N,'178,NUECES
'024901,BROOKS ISD,'02,N,A,NQ,N,'024,BROOKS
'178903,CALALLEN ISD,'02,N,R,NQ,N,'178,NUECES
'178904,CORPUS CHRISTI ISD,'02,N,A,NQ,N,'178,NUECES
'178905,DRISCOLL ISD,'02,N,A,NA,C,'178,NUECES
'178914,FLOUR BLUFF ISD,'02,N,R,NQ,N,'178,NUECES
'066903,FREER ISD,'02,N,R,NQ,N,'066,DUVAL
'149901,GEORGE WEST ISD,'02,N,A,NQ,N,'149,LIVE OAK
'205902,GREGORY-PORTLAND ISD,'02,N,R,NQ,N,'205,SAN PATRICIO
'205903,INGLESIDE ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
'131001,KENEDY COUNTY WIDE CSD,'02,N,E,NA,N,'131,KENEDY
'137901,KINGSVILLE ISD,'02,N,A,NQ,N,'137,KLEBERG
'125906,LA GLORIA ISD,'02,N,A,NA,N,'125,JIM WELLS
'178906,LONDON ISD,'02,N,E,NA,N,'178,NUECES
'205904,MATHIS ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
'162904,MCMULLEN COUNTY ISD,'02,N,E,NQ,N,'162,MCMULLEN
'205905,ODEM-EDROY ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
'125903,ORANGE GROVE ISD,'02,N,A,NQ,N,'125,JIM WELLS
'013902,PAWNEE ISD,'02,N,A,NA,N,'013,BEE
'013903,PETTUS ISD,'02,N,A,NQ,N,'013,BEE
'178908,PORT ARANSAS ISD,'02,N,E,NQ,N,'178,NUECES
'125905,PREMONT ISD,'02,N,A,NQ,N,'125,JIM WELLS
'066005,RAMIREZ CSD,'02,N,E,NA,N,'066,DUVAL
'137902,RICARDO ISD,'02,N,A,NA,N,'137,KLEBERG
'137903,RIVIERA ISD,'02,N,A,NQ,N,'137,KLEBERG
'178909,ROBSTOWN ISD,'02,N,A,NQ,C,'178,NUECES
'066902,SAN DIEGO ISD,'02,N,A,NQ,N,'066,DUVAL
'137904,SANTA GERTRUDIS ISD,'02,N,A,NA,C,'137,KLEBERG
'178802,SEASHORE LEARNING CENTER CHARTER,'02,Y,C,CS,N,'178,NUECES
'205906,SINTON ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
'013905,SKIDMORE-TYNAN ISD,'02,N,A,NQ,N,'013,BEE
'205907,TAFT ISD,'02,N,A,NQ,N,'205,SAN PATRICIO
