DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'001902,2001,0,41,0.6,1,0.1,2,1,1,1,0,4.3,0,0,0,0,0,4.1,0,2.8,0,0,0,0,0,0,0,0,0,635,5,0.8,81,12.8,154,24.3,45,7.1,53,8.3,47,7.4,50,7.9,38,6,53,8.3,47,7.4,54,8.5,52,8.2,61,9.6,53,8.3,33,5.2,3,0.5,59,9.3,34,5.4,12,1.9,24,3.8,2,0.3,5,0.8,1,0.2,102,16.1,166,26.1,527,83,6,38
'001903,2001,0,63,0,10,0.8,0,2,1,0,0,3.4,1.8,1.5,1.9,0,1.5,2,0,3.3,10,0,0,5.6,0,0,0,0,30,1147,0,0,87,7.6,503,43.9,73,6.4,71,6.2,75,6.5,97,8.5,77,6.7,80,7,102,8.9,87,7.6,102,8.9,81,7.1,68,5.9,77,6.7,5,0.4,65,5.7,83,7.2,69,6,42,3.7,0,0,0,0,0,0,235,20.5,135,11.8,1018,88.8,9,60
'001904,2001,0,44,4.8,4,0.5,20,9,0,0,0,5.8,0,0,0,0,1.8,2,1.7,1.8,12.5,0,0,0,0,7.7,0,0,16.7,788,12,1.5,104,13.2,322,40.9,66,8.4,55,7,69,8.8,45,5.7,51,6.5,47,6,65,8.2,69,8.8,74,9.4,62,7.9,52,6.6,60,7.6,2,0.3,68,8.6,50,6.3,21,2.7,32,4.1,1,0.1,12,1.5,2,0.3,124,15.7,235,29.8,649,82.4,11,35
'001906,2001,0,20,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,318,0,0,41,12.9,109,34.3,16,5,22,6.9,14,4.4,29,9.1,26,8.2,26,8.2,39,12.3,15,4.7,29,9.1,29,9.1,20,6.3,17,5.3,0,0,21,6.6,19,6,17,5.3,9,2.8,0,0,0,0,1,0.3,63,19.8,0,0,267,84,3,20
'001907,2001,0,183,0.4,10,0.3,7,62,20,0,0,3.6,1.8,2.4,3.8,1.8,0.5,7.5,0.5,3,5.9,0,2.5,3.4,0,0,2.7,12.1,12,3374,253,7.5,1130,33.5,1988,58.9,244,7.2,249,7.4,254,7.5,244,7.2,266,7.9,241,7.1,245,7.3,255,7.6,288,8.5,237,7,256,7.6,188,5.6,8,0.2,168,5,274,8.1,125,3.7,766,22.7,2,0.1,290,8.6,28,0.8,363,10.8,1032,30.6,1448,42.9,23,101
'001908,2001,0,106,0,5,0.2,0,14,4,0,0,6.7,4,3.4,1.6,4.2,0,0,3.1,6.3,10,0,0,0,0,0,0,0,6.3,1846,5,0.3,312,16.9,728,39.4,146,7.9,132,7.2,128,6.9,139,7.5,151,8.2,152,8.2,143,7.7,138,7.5,175,9.5,141,7.6,105,5.7,103,5.6,3,0.2,102,5.5,151,8.2,39,2.1,170,9.2,5,0.3,7,0.4,8,0.4,263,14.2,489,26.5,1351,73.2,10,88
'001909,2001,0,27,0,16,3.6,0,0,0,0,0,0,4.2,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,383,0,0,17,4.4,205,53.5,31,8.1,19,5,39,10.2,25,6.5,24,6.3,34,8.9,29,7.6,27,7,31,8.1,26,6.8,23,6,21,5.5,0,0,34,8.9,31,8.1,23,6,15,3.9,0,0,0,0,0,0,82,21.4,78,20.4,351,91.6,5,27
'002901,2001,0,226,0.1,0,0,1,4,101,0,3,4.9,0,0,0,0,0.6,1.1,0,2.1,13.1,0,1.8,1.6,0,0,0,0,2.6,3166,186,5.9,48,1.5,1236,39,200,6.3,208,6.6,214,6.8,212,6.7,234,7.4,258,8.1,247,7.8,249,7.9,267,8.4,263,8.3,253,8,238,7.5,19,0.6,292,9.2,197,6.2,107,3.4,1654,52.2,6,0.2,316,10,22,0.7,680,21.5,1128,35.6,1436,45.4,35,118
'003801,2001,.,.,17.1,28,8.6,13,.,.,.,.,0,0,0,0,0,4,0,10,7.1,0,.,.,.,0,0,0,.,50,275,0,0,12,4.4,12,4.4,28,10.2,33,12,25,9.1,30,10.9,30,10.9,27,9.8,23,8.4,31,11.3,8,2.9,0,0,0,0,0,0,0,0,0,0,40,14.5,0,0,18,6.5,1,0.4,0,0,15,5.5,20,7.3,0,0,229,83.3,.,.
'003902,2001,0,136,0,18,0.7,0,3,11,0,0,6.8,1.4,0.7,0.7,0,2.2,1.9,1.4,5,11.8,0,5.9,11.1,5.6,0,0,0,10,2251,90,4,91,4,1078,47.9,154,6.8,197,8.8,172,7.6,163,7.2,171,7.6,168,7.5,169,7.5,195,8.7,171,7.6,167,7.4,148,6.6,139,6.2,2,0.1,112,5,157,7,78,3.5,409,18.2,6,0.3,114,5.1,6,0.3,261,11.6,593,26.3,1739,77.3,17,122
'003903,2001,0,428,0.7,124,1.3,26,130,51,0,15,9.3,4.7,1.7,0.8,0.2,0.4,1.1,0.5,3.3,2.2,1.7,0,0,0,0,0.9,1.2,5.6,8019,994,12.4,2584,32.2,4512,56.3,577,7.2,577,7.2,533,6.6,570,7.1,617,7.7,566,7.1,609,7.6,585,7.3,608,7.6,613,7.6,553,6.9,509,6.3,5,0.1,724,9,529,6.6,568,7.1,1928,24,11,0.1,1005,12.5,87,1.1,1051,13.1,1748,21.8,3409,42.5,62,232
'003904,2001,0,168,1.3,33,1.6,12,11,5,0,0,3.3,0,0,0,0,1,0,1.9,0,11.1,0,0,0,0,0,3.7,4,0,1616,16,1,68,4.2,731,45.2,122,7.5,113,7,132,8.2,128,7.9,123,7.6,118,7.3,127,7.9,117,7.2,159,9.8,150,9.3,93,5.8,103,6.4,4,0.2,120,7.4,88,5.4,39,2.4,38,2.4,3,0.2,16,1,2,0.1,300,18.6,491,30.4,1505,93.1,40,152
'003905,2001,0,122,1.5,64,3,13,25,35,0,1,3,0.9,2.3,0,0,1,0,0,5.3,8.3,7.1,0,0,0,5,11.1,0,0,1873,212,11.3,332,17.7,1165,62.2,151,8.1,148,7.9,131,7,149,8,137,7.3,146,7.8,134,7.2,135,7.2,145,7.7,138,7.4,118,6.3,96,5.1,6,0.3,84,4.5,143,7.6,96,5.1,747,39.9,0,0,283,15.1,1,0.1,254,13.6,285,15.2,793,42.3,18,61
'003906,2001,0,24,2.9,1,0.2,6,0,1,0,0,4.2,2.9,0,0,0,0,14.3,6.3,2.8,11.1,0,0,0,0,16.7,0,0,0,484,0,0,0,0,238,49.2,44,9.1,29,6,45,9.3,36,7.4,33,6.8,39,8.1,42,8.7,39,8.1,31,6.4,37,7.6,27,5.6,16,3.3,0,0,15,3.1,37,7.6,29,6,4,0.8,1,0.2,0,0,0,0,101,20.9,60,12.4,479,99,10,23
