DISTRICT,YEAR,DA0CA01R,DA0CA02R,DA0CC01R,DA0CC02R,DA0CS01R,DA0CS02R,DA0CT01R,DA0CT02R,DADC401R,DADC402R,DAEC401R,DAEC402R,DAGC401R,DAGC402R,DANC401R,DANC402R,DB0CA01R,DB0CA02R,DB0CC01R,DB0CC02R,DB0CS01R,DB0CS02R,DB0CT01R,DB0CT02R,DBDC401R,DBDC402R,DBEC401R,DBEC402R,DBGC401R,DBGC402R,DBNC401R,DBNC402R,DEDC401R,DEDC402R,DEEC401R,DEEC402R,DEGC401R,DEGC402R,DENC401R,DENC402R,DF0CA01R,DF0CA02R,DF0CC01R,DF0CC02R,DF0CS01R,DF0CS02R,DF0CT01R,DF0CT02R,DFDC401R,DFDC402R,DFEC401R,DFEC402R,DFGC401R,DFGC402R,DFNC401R,DFNC402R,DH0CA01R,DH0CA02R,DH0CC01R,DH0CC02R,DH0CS01R,DH0CS02R,DH0CT01R,DH0CT02R,DHDC401R,DHDC402R,DHEC401R,DHEC402R,DHGC401R,DHGC402R,DHNC401R,DHNC402R,DI0CA01R,DI0CA02R,DI0CC01R,DI0CC02R,DI0CS01R,DI0CS02R,DI0CT01R,DI0CT02R,DIDC401R,DIDC402R,DIEC401R,DIEC402R,DIGC401R,DIGC402R,DINC401R,DINC402R,DLDC402R,DLEC402R,DLGC402R,DLNC402R,DM0CA01R,DM0CA02R,DM0CC01R,DM0CC02R,DM0CS01R,DM0CS02R,DM0CT01R,DM0CT02R,DMDC401R,DMDC402R,DMEC401R,DMEC402R,DMGC401R,DMGC402R,DMNC401R,DMNC402R,DP0CA01R,DP0CA02R,DP0CC01R,DP0CC02R,DP0CS01R,DP0CS02R,DP0CT01R,DP0CT02R,DPDC401R,DPDC402R,DPEC401R,DPEC402R,DPGC401R,DPGC402R,DPNC401R,DPNC402R,DSDC401R,DSDC402R,DSEC401R,DSEC402R,DSGC401R,DSGC402R,DSNC401R,DSNC402R,DW0CA01R,DW0CA02R,DW0CC01R,DW0CC02R,DW0CS01R,DW0CS02R,DW0CT01R,DW0CT02R,DWDC401R,DWDC402R,DWEC401R,DWEC402R,DWGC401R,DWGC402R,DWNC401R,DWNC402R
'001902,2003,19.8,19.6,35.3,9.1,981,903,54.8,61.1,5.9,1.9,5.9,5.8,85.3,90.4,2.9,1.9,.,.,.,.,.,.,.,14.3,.,0,.,0,.,100,.,0,.,20,.,0,.,80,.,0,20.3,21.1,40,11.8,940,903,55.6,73.9,6.3,3.3,6.3,3.3,87.5,93.3,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.6,0,1028,.,53.8,38.5,5.6,0,5.6,9.1,83.3,86.4,5.6,4.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.7,.,7.7,.,84.6,.,0,19.8,19.6,40,9.5,1015,903,53.6,75,6.5,2.3,6.5,6.8,83.9,88.6,3.2,2.3
'001903,2003,21.4,20.9,30,43.3,1032,1059,46.9,52.6,5.3,2.8,0,2.8,92.1,90.1,2.6,4.2,.,.,.,.,.,.,.,.,0,.,0,.,100,.,0,.,4.2,4.5,0,4.5,95.8,81.8,0,9.1,20.5,22.2,11.1,53.3,975,1056,51.4,55.6,2.8,3,0,6.1,94.4,90.9,2.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58.3,33.3,1095,1061,41.4,50,7.5,2.6,0,0,90,89.5,2.5,7.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.2,15.4,0,0,72.7,76.9,9.1,7.7,21.8,20.9,32.1,44.8,1043,1073,47.5,52.7,5.7,2.9,0,2.9,91.4,89.7,2.9,4.4
'001904,2003,21.8,19.4,29.2,9.5,1004,962,48,55.3,1.6,2.1,3.2,0,90.3,91.5,4.8,6.4,.,.,.,.,.,.,.,.,.,0,.,0,.,85.7,.,14.3,0,0,9.1,0,72.7,83.3,18.2,16.7,22.4,20,16.7,11.1,988,.,54.5,75,3.6,0,0,0,92.9,93.8,3.6,6.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.9,41.7,8.3,1023,.,42.9,46.2,0,3.2,5.9,0,88.2,90.3,5.9,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,11.1,0,0,75,77.8,25,11.1,23,19.5,30.4,10,1005,962,50,58.8,1.8,2.6,3.5,0,89.5,92.3,5.3,5.1
'001906,2003,19,25.4,0,50,.,986,50,44.4,0,12,5.3,0,89.5,88,5.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.1,.,0,.,90.9,.,0,.,.,.,40,.,966,42.9,55.6,0,10,0,0,100,90,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,33.3,0,13.3,8.3,0,83.3,86.7,8.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,20,0,0,83.3,80,16.7,0,18.2,.,0,42.9,.,973,50,43.8,0,9.1,6.3,0,87.5,90.9,6.3,0
'001907,2003,19.7,20.1,19.6,19.4,940,936,58,56,1.4,2.8,3.8,1.4,91.4,90.1,3.3,5.7,16.1,17.4,7.4,0,812,806,47.4,35.8,2.7,4.3,1.4,0,91.8,87.1,4.1,8.6,1.5,4,0,0,93.9,86.7,4.5,9.3,18.4,20.2,17.2,19.4,936,940,57.4,59.6,1.7,3.5,2.6,1.7,93,91.3,2.6,3.5,.,.,12.5,12.5,938,773,33.3,40,3.7,7.4,0,0,88.9,74.1,7.4,18.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.9,20.1,22.7,19.5,945,930,58.7,51.3,1.1,2.1,5.3,1,89.4,88.7,4.3,8.2,.,.,.,.,.,.,66.7,.,0,.,0,.,100,.,0,.,0,0,0,0,88.2,100,11.8,0,20.8,20.8,23.8,25,985,989,70.8,66.7,0,0.9,6.8,2.7,91.3,95.5,1.9,0.9
'001908,2003,19.9,19.8,21.6,19.4,1036,1009,44.6,42.5,8.4,6,9.2,2,81.5,89,0.8,3,.,16.5,.,0,.,.,36.4,75,18.8,14.3,6.3,7.1,75,78.6,0,0,29.4,17.9,5.9,3.6,64.7,78.6,0,0,20.3,20,27.8,23.8,987,1045,46.2,50,13.1,5.9,8.2,2,78.7,90.2,0,2,.,.,.,.,.,.,.,.,16.7,28.6,0,0,83.3,71.4,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.5,19.2,15.8,10,1093,973,43.2,32.3,3.4,6.1,10.3,2,84.5,87.8,1.7,4.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.3,5,0,0,86.7,90,0,5,20.5,21,23.3,25,1038,1032,45.5,40,5.3,2.6,10.6,1.3,83,92.3,1.1,3.8
'001909,2003,.,24.6,40,33.3,.,.,27.8,35.3,4.2,6.5,8.3,12.9,79.2,74.2,8.3,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,10,11.1,90,66.7,0,22.2,.,.,.,.,.,.,.,14.3,14.3,14.3,28.6,7.1,57.1,78.6,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,.,.,28.6,50,0,0,0,17.6,88.2,70.6,11.8,11.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.1,.,11.1,.,55.6,.,22.2,.,24.6,40,33.3,.,.,33.3,37.5,4.8,7.1,9.5,14.3,76.2,71.4,9.5,7.1
'002901,2003,19.8,18.9,25,12.2,956,919,41.6,46.4,6.1,1.8,1.1,2.7,91.3,92.4,1.5,3.1,.,.,.,.,.,.,40,.,.,0,.,0,.,100,.,0,5,2.7,0,8.1,92.5,81.1,2.5,8.1,19.7,19.2,25.6,6.8,948,889,39.8,41.5,3.6,0.9,0,2.8,92.9,93.5,3.6,2.8,16.9,17.3,0,0,822,854,19.6,30.5,7.4,1,1.6,2,88.5,91.9,2.5,5.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,87.5,12.5,19.9,18.6,24.5,17.4,961,949,43.1,52.3,7.9,2.6,2,2.6,90.1,91.5,0,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.3,5.3,0,0,90.7,84.2,0,10.5,21.1,19.6,32.9,19,975,956,59.3,53.7,3.6,2.5,0.7,3.4,94.9,92.4,0.7,1.7
'003801,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2003,19.1,21,13.5,25.4,930,1014,43.3,50.4,2.7,6,4.8,1.3,87,84.6,5.5,8.1,.,.,.,.,.,.,.,.,20,0,0,0,80,80,0,20,3.2,12.5,6.5,2.1,87.1,70.8,3.2,14.6,19.3,20.7,13.2,19,907,997,63.3,64.6,1.4,7.6,4.2,0,91.5,86.1,2.8,6.3,.,.,0,0,.,1002,30.4,42.9,3.8,17.4,3.8,4.3,88.5,65.2,3.8,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.3,22.2,14.3,41.2,989,1045,23.3,32.7,4,4.3,5.3,2.9,82.7,82.9,8,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.6,0,0,0,88.9,86.7,5.6,13.3,19.3,21,16.3,27.5,935,1016,46.7,50.5,1.8,4.1,5.3,0.8,86.8,88.4,6.1,6.6
'003903,2003,19.4,17.3,24.1,21.2,977,947,50.1,57.1,5.5,5.7,2.5,1.4,83.6,85.9,8.4,7.1,15.8,14.1,2.2,3,800,793,41.8,54.5,7.8,7,0,0,85.1,86.6,7.1,6.4,9.6,12.2,2.9,2.3,74.3,74.4,13.2,11,20.4,18.3,20.5,20,961,933,49,56.9,3.9,5.2,2.1,0.4,88.2,87.6,5.7,6.8,16.8,.,6.7,10,882,915,30,14.5,6.8,6.8,4.1,1.4,68.9,77,20.3,14.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.2,0,44.4,33.3,18.6,16.4,28.2,22.4,995,962,51.4,57.4,7.1,6.2,2.8,2.3,79.1,84.2,11,7.3,.,.,33.3,42.9,1082,1040,85.7,.,6.3,0,0,0,87.5,80,6.3,20,12.9,10,2.9,0,62.9,71.4,21.4,18.6,22.5,20.6,32.2,31,1030,1016,52.6,65.7,4.2,4.7,3.3,2.3,86.1,87.9,6.3,5.1
'003904,2003,17.4,17.8,7.4,4.8,897,921,27,48.8,0.7,0.9,4.2,4.5,89.6,88.3,5.6,6.3,.,.,.,.,.,.,40,.,0,0,14.3,0,71.4,100,14.3,0,0,0,4.1,5.8,85.7,88.5,10.2,5.8,17.4,17.8,0,7.1,854,922,29.1,57.1,0,1.5,4.4,1.5,94.1,87.7,1.5,9.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.2,0,958,920,24.4,37.8,1.3,0,3.9,8.7,85.5,89.1,9.2,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,3,5.3,81.8,84.2,12.1,10.5,.,18,8.3,5.4,895,934,26.1,45.7,0.8,1,3.8,4.9,91.7,87.4,3.8,6.8
'003905,2003,18.8,16.9,11.5,6.5,875,818,.,67.4,89.9,6.3,0,0,8.3,86.6,1.8,7.1,15.8,16.2,0,0,704,728,.,94.7,90.5,8.3,0,0,9.5,87.5,0,4.2,97.4,7.3,0,0,2.6,87.3,0,5.5,19,16.8,10.5,5.4,873,788,.,75.5,89.5,7.4,0,0,7,87,3.5,5.6,17.1,16.4,0,4.2,819,774,.,61.5,92.1,4.3,0,0,5.3,87,2.6,8.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,100,0,18.4,17.2,13,8,878,859,.,58.1,90.4,5.2,0,0,9.6,86.2,0,8.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.7,5.3,0,0,14.3,68.4,0,26.3,20.7,18.4,25,15,961,921,.,58.8,88,7.1,0,0,10,85.7,2,7.1
