DISTRICT,YEAR,DA0AD01R,DA0AD02R,DA0AT01R,DA0AT02R,DA0BK01R,DA0BK02R,DA0BS01R,DA0BS02R,DA0BT01R,DA0BT02R,DA0DR01R,DA0DR02R,DA0GH01R,DA0GH02R,DA0SA02R,DA0SA03R,DB0AD01R,DB0AD02R,DB0AT01R,DB0AT02R,DB0BK01R,DB0BK02R,DB0BS01R,DB0BS02R,DB0BT01R,DB0BT02R,DB0DR01R,DB0DR02R,DB0GH01R,DB0GH02R,DB0SA02R,DB0SA03R,DE0AD01R,DE0AD02R,DE0AT01R,DE0AT02R,DE0DR01R,DE0DR02R,DE0GH01R,DE0GH02R,DE0SA02R,DE0SA03R,DF0AD01R,DF0AD02R,DF0AT01R,DF0AT02R,DF0BK01R,DF0BK02R,DF0BS01R,DF0BS02R,DF0BT01R,DF0BT02R,DF0DR01R,DF0DR02R,DF0GH01R,DF0GH02R,DF0SA02R,DF0SA03R,DH0AD01R,DH0AD02R,DH0AT01R,DH0AT02R,DH0BK01R,DH0BK02R,DH0BS01R,DH0BS02R,DH0BT01R,DH0BT02R,DH0DR01R,DH0DR02R,DH0GH01R,DH0GH02R,DH0SA02R,DH0SA03R,DI0AD01R,DI0AD02R,DI0AT01R,DI0AT02R,DI0BK01R,DI0BK02R,DI0BS01R,DI0BS02R,DI0BT01R,DI0BT02R,DI0DR01R,DI0DR02R,DI0GH01R,DI0GH02R,DI0SA02R,DI0SA03R,DL0AD02R,DL0AT02R,DL0DR02R,DL0GH02R,DL0SA03R,DM0AD01R,DM0AD02R,DM0AT01R,DM0AT02R,DM0BK01R,DM0BK02R,DM0BS01R,DM0BS02R,DM0BT01R,DM0BT02R,DM0DR01R,DM0DR02R,DM0GH01R,DM0GH02R,DM0SA02R,DM0SA03R,DP0AD01R,DP0AD02R,DP0AT01R,DP0AT02R,DP0BK01R,DP0BK02R,DP0BS01R,DP0BS02R,DP0BT01R,DP0BT02R,DP0DR01R,DP0DR02R,DP0GH01R,DP0GH02R,DP0SA02R,DP0SA03R,DS0AD01R,DS0AD02R,DS0AT01R,DS0AT02R,DS0DR01R,DS0DR02R,DS0GH01R,DS0GH02R,DS0SA02R,DS0SA03R,DW0AD01R,DW0AD02R,DW0AT01R,DW0AT02R,DW0BK01R,DW0BK02R,DW0BS01R,DW0BS02R,DW0BT01R,DW0BT02R,DW0DR01R,DW0DR02R,DW0GH01R,DW0GH02R,DW0SA02R,DW0SA03R
'001902,2003,28.9,28.6,97.1,97,.,.,.,.,0,0,0.9,0.3,43.8,27.7,81,58.3,19.4,18.5,97.8,97.6,.,.,.,.,0,0,2.3,0,.,28.6,.,.,12.1,11.8,96.3,96.4,2.6,0,.,.,91.7,44.4,39.6,41.6,97.3,97.1,.,.,.,.,0,0,1.1,0.6,44.4,37,83.3,57.1,.,42.9,97.4,97,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.6,12.9,96.9,96.9,.,.,.,.,0,0,0.6,0,42.9,15,80,58.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,2.1,96.5,96.4,3.1,0,.,0,81,58.3,30.3,29.7,96.9,96.9,.,.,.,.,0,0,0.7,0.4,44.8,28.2,82.4,60
'001903,2003,17.1,15.9,96.1,96.7,91.7,55.6,85.7,57.9,9.8,13.7,0.5,0.4,43.7,49.3,82.6,85.9,12,0,97.1,96.7,.,.,.,.,0,0,0,0,40,.,100,88.9,14,4.1,95.6,96.3,0,0.6,34.8,26.3,90.2,87.8,15.4,17.6,95.9,96.6,80,66.7,80,66.7,8.1,10.5,0.3,0.7,55.6,60,85.2,75,16.7,12.5,95.8,96.8,.,.,.,.,.,.,0,0,.,.,.,88.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.8,14.3,96.3,96.7,100,50,88.9,53.9,11.5,16.2,0.7,0,31.4,40.5,81,93.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.3,0,95.5,96.1,1.5,1.5,14.3,0,82.6,85.9,17.5,16.9,96,96.7,91.7,52.9,85.7,52.9,10.4,14,0.6,0.4,43.1,50,80,85
'001904,2003,13.6,23.4,96,96.2,.,27.3,.,26.1,2.1,25.3,0.7,0,0,55.6,75.8,74.2,0,13.3,96.4,96.4,.,.,.,.,0,0,2.3,0,.,33.3,66.7,60,1.7,10.6,95.3,95.8,2.3,0,0,18.2,75,70.8,18.8,24.8,95.9,95.8,.,23.5,.,22.2,4.8,41.5,1,0,0,68.8,75,85.7,.,.,96.6,97.1,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.6,.,.,.,9.4,22.3,96.2,96.6,.,40,.,40,0,10.9,0.4,0,0,48.3,76,70.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,7,95.1,94.8,1.3,0,0,0,75.8,74.2,15.5,25.2,96,96.2,.,27.3,.,26.1,2.3,27.5,0.5,0,0,60.5,77.3,84.2
'001906,2003,16.7,12.5,96,95.5,.,.,.,.,0,0,0.7,0.6,35.3,20.8,85,44.4,27.3,16.7,97.5,97.2,.,.,.,.,.,.,0,0,.,.,.,.,9.1,3.1,95.5,94.7,0,0,.,0,88.9,54.5,15.9,19,96,95.5,.,.,.,.,0,0,0,0,57.1,30,88.9,55.6,.,.,96.8,95.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.4,6.5,96,95.5,.,.,.,.,0,0,1.3,1.2,20,14.3,81.8,33.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.5,0,95.6,94.3,0,2.3,0,0,85,44.4,14.5,11,95.7,95.2,.,.,.,.,0,0,0.8,0.7,35.7,18.2,80,30.8
'001907,2003,14.3,13,96.4,96.6,65.1,56.8,57.4,63.2,10.7,9.7,0.1,0.5,77.1,69.2,79.1,74.3,6.9,7.4,96.4,96.6,20,.,20,.,4.1,0.9,0.2,0.9,66.7,46,80,70,5.6,6,96.3,96.5,0.1,0.5,67.7,47,78.6,74.1,17.8,17.1,96.4,96.6,66.7,60,54.6,65.8,10.4,12.3,0.3,0.4,84,83.2,89.3,82.1,7.1,6.5,96.6,97,.,.,.,.,5.2,3.1,0,0,80.8,65.2,70,83.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.4,97.6,0,.,.,10.8,9.2,96.3,96.7,63.2,50,60.7,57.9,11,6.7,0,0.5,68.6,53.2,74.6,71.2,63.6,57.1,98.1,98.4,100,.,87.5,.,55.6,.,0,0,100,.,.,.,1,2.1,95.1,95.4,0,0,0,0,79.1,74.3,21.3,18.8,96.2,96.4,63.3,54.8,53.3,63.3,14,15.2,0.1,0.4,81.9,83,80.8,79.3
'001908,2003,7.4,13.1,95.3,95.7,.,.,.,.,0,0.6,0.9,0.7,34,34.1,82.4,72,2.4,4.9,95.7,95.4,.,.,.,.,0,0,0,2,23.1,36.4,78.3,71.4,4.6,9.4,95,95.4,1.7,1.5,8.3,26.1,82.6,68.2,7.9,16.1,95.2,95.6,.,.,.,.,0,1.1,0.9,0.6,51.1,42.9,89.3,68.2,0,6.7,95.1,96.4,.,.,.,.,0,0,2.9,0,14.3,.,100,80,.,.,93.7,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,97,.,.,.,7,9.8,95.5,95.9,.,.,.,.,0,0,1,0.7,19.2,23.8,78.3,73.6,.,.,97.1,98.4,.,.,.,.,.,.,.,.,.,.,.,.,3.3,3.1,94.3,94.9,1.9,1.7,0,0,82.4,72,9,15.3,95.3,95.7,.,.,.,.,0,0.7,0.9,0.4,36,34.7,82.2,71.4
'001909,2003,4.1,2.8,96.2,96.2,.,.,.,.,0,0,1.1,2.1,30,40,88.9,92.6,0,0,96.4,96,.,.,.,.,.,.,0,0,.,.,.,.,5,3.2,96,96.4,0,0,33.3,33.3,87,91.3,0,0,95.9,96,.,.,.,.,0,0,2.6,1.1,.,44.4,85.7,88.9,.,20,97.3,96.9,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.6,5,96.4,96.4,.,.,.,.,0,0,0,2.9,31.3,37.5,90,94.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,96,96,0,4.7,.,0,88.9,92.6,4.5,2,96.1,96.2,.,.,.,.,0,0,1.2,2.3,35.3,40.9,87,92.6
'002901,2003,18.3,18.9,96.2,96.3,.,80,.,77.8,1,1.3,0.9,0.3,99.2,71.5,42.3,62.3,10,9.5,95.6,96.8,.,.,.,.,0,0,3.4,0,100,.,.,.,11.3,5.7,96,96,0,0.5,100,74.1,44.4,57.1,19,20,96.1,96.2,.,.,.,80,1.6,1,0.3,0.1,100,68.1,45.7,65.9,11.8,12.4,95.9,96.1,.,.,.,.,1.8,0.6,1.1,0.3,99.2,66,46.7,62,.,.,93.9,95.2,.,.,.,.,.,.,.,.,.,.,.,.,7.9,96.4,0,60,58.5,17.6,17.7,96.2,96.4,.,.,.,.,0.5,1.6,1.5,0.4,98.7,75.2,41.2,60.5,28.6,33.3,98.8,98.7,.,.,.,.,.,.,0,0,.,.,.,.,2.5,1.1,94.8,95.1,0.8,0.6,95.2,48.1,42.3,62.3,23.8,24.7,96.4,96.5,.,.,.,75,0.4,1.8,0.6,0.3,99.3,75.2,35.7,62.5
'003801,2003,0,0,95.3,95.9,.,.,.,.,.,.,0,0,.,.,.,.,.,.,97.2,98.1,.,.,.,.,.,.,0,.,.,.,.,.,.,.,93.2,95.8,0,0,.,.,.,.,.,.,95.2,96.1,.,.,.,.,.,.,0,0,.,.,.,.,.,.,95.3,98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,.,.,.,.,0,95.5,95.7,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.5,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.1,94.5,0,0,.,.,.,.,0,0,95.2,95.5,.,.,.,.,.,.,0,0,.,.,.,.
'003902,2003,9.7,12.9,96.4,96.2,50,64.3,45.1,71.1,14.5,10.4,0.5,1.2,42.4,65.6,81.3,80.6,0,0,96.9,96.8,.,.,.,.,0,0,0,0,.,.,.,85.7,3.5,8.3,96.2,95.7,0,1.6,24.1,58.3,79.2,75.5,15.7,14.1,96.4,96.2,50,70,43.9,70,22.4,7.4,0.6,1.1,51.4,70.8,77.1,86.7,5.1,13.1,96.7,96.4,.,.,80,.,7.1,0,1.6,1.6,37.5,62.5,88.2,53.8,.,.,91,93.4,.,.,.,.,.,.,.,.,.,.,.,.,0,97.7,0,.,.,4,11.7,96.5,96.2,50,61.1,50,72,6.5,13.5,0.5,1.2,33.3,59.3,84.4,76.2,.,.,98.5,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1.1,94.7,94.2,0.6,0.6,5.3,0,81.3,80.6,11,13.2,96.3,96.1,45.5,64.3,41.3,71.1,16.5,12.3,0.3,1.1,44.5,67.6,79.7,86.3
