DISTRICT,YEAR,DA0GH02N,DA0GH02P,DA0GM02N,DA0GM02P,DA0GR02N,DA0GR02P,DA0LV02R,DAPID03N,DAPID03R,DAUND02C,DB0GR02N,DB0GR02P,DH0GR02N,DH0GR02P,DI0GR02N,DI0GR02P,DP0GR02N,DP0GR02P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR02N,DS0GR02P,DW0GR02N,DW0GR02P
'001902,2003,13,27.7,34,72.3,47,100,0,0,0,0,7,14.9,1,2.1,0,0,0,0,13.3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,562,2,0.4,63,11.2,5,0.8,168,29.9,33,5.9,37,6.6,41,7.3,47,8.4,49,8.7,44,7.8,39,6.9,47,8.4,39,6.9,50,8.9,33,5.9,52,9.3,3,0.5,53,9.4,48,8.5,0,0,28,5,1,0.2,2,0.4,0,0,104,18.5,159,28.3,470,83.6,11,23.4,39,83
'001903,2003,33,49.3,34,50.7,67,100,0,9,0.7,0,3,4.5,0,0,0,0,0,0,4,1.5,1.7,0,0,0,0,0,5.2,7.1,0,0,0,0,0,0,0,0,1194,6,0.5,89,7.5,10,0.9,487,40.8,69,5.8,90,7.5,74,6.2,79,6.6,86,7.2,102,8.5,88,7.4,89,7.5,109,9.1,88,7.4,85,7.1,71,5.9,1,0.1,61,5.1,82,6.9,81,6.8,54,4.5,1,0.1,6,0.5,1,0.1,229,19.2,331,27.7,1049,87.9,10,14.9,64,95.5
'001904,2003,25,55.6,20,44.4,45,100,0.3,4,0.4,1,6,13.3,1,2.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,797,13,1.6,112,14.1,8,1,372,46.7,60,7.5,47,5.9,70,8.8,51,6.4,68,8.5,52,6.5,52,6.5,59,7.4,65,8.2,74,9.3,55,6.9,57,7.2,2,0.3,56,7,57,7.2,28,3.5,36,4.5,1,0.1,13,1.6,2,0.3,116,14.6,161,20.2,646,81.1,7,15.6,38,84.4
'001906,2003,5,20.8,19,79.2,24,100,0,0,0,0,1,4.2,1,4.2,0,0,0,0,9.1,13.3,0,0,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,310,0,0,42,13.5,3,0.9,135,43.5,21,6.8,21,6.8,17,5.5,22,7.1,22,7.1,27,8.7,24,7.7,25,8.1,35,11.3,16,5.2,27,8.7,24,7.7,1,0.3,22,7.1,28,9,0,0,12,3.9,0,0,0,0,2,0.6,73,23.5,132,42.6,254,81.9,6,25,22,91.7
'001907,2003,139,69.2,62,30.8,201,100,0.1,17,0.4,1,63,31.3,23,11.4,0,0,3,1.5,5.1,1.8,5.5,2.4,2.4,1.7,2.2,5.1,6.1,0,0,0,0,0,3.6,0,0,0,3384,261,7.7,1084,32,69,2,1969,58.2,251,7.4,256,7.6,264,7.8,256,7.6,252,7.4,239,7.1,275,8.1,261,7.7,286,8.5,213,6.3,224,6.6,176,5.2,13,0.4,144,4.3,275,8.1,143,4.2,819,24.2,4,0.1,277,8.2,26,0.8,315,9.3,881,26,1451,42.9,17,8.5,112,55.7
'001908,2003,31,34.1,60,65.9,91,100,0,1,0,0,11,12.1,4,4.4,1,1.1,0,0,9.6,1,4.2,2.7,0.8,0,0.8,1.9,3.4,7.4,4,0,5.3,0,0,0,0,29.4,1825,29,1.6,308,16.9,26,1.4,795,43.6,142,7.8,126,6.9,135,7.4,132,7.2,128,7,139,7.6,148,8.1,157,8.6,146,8,130,7.1,125,6.8,120,6.6,10,0.5,92,5,145,7.9,42,2.3,179,9.8,4,0.2,29,1.6,9,0.5,268,14.7,570,31.2,1325,72.6,18,19.8,75,82.4
'001909,2003,10,40,15,60,25,100,0,11,2.4,0,2,8,1,4,0,0,0,0,27.3,5.6,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,382,2,0.5,11,2.9,0,0,212,55.5,33,8.6,29,7.6,24,6.3,20,5.2,38,9.9,26,6.8,29,7.6,39,10.2,29,7.6,19,5,22,5.8,19,5,0,0,30,7.9,27,7.1,28,7.3,11,2.9,1,0.3,2,0.5,0,0,79,20.7,72,18.8,359,94,8,32,22,88
'002901,2003,158,71.5,63,28.5,221,100,0,2,0.1,0,2,0.9,100,45.2,0,0,2,0.9,2.9,2.6,0.6,0,1.2,1.8,0,0,3.3,7.7,0,0,0,5.7,0,0,0,9.3,3032,259,8.5,55,1.8,69,2.4,1417,46.7,208,6.9,190,6.3,197,6.5,204,6.7,213,7,215,7.1,233,7.7,256,8.4,247,8.1,242,8,259,8.5,218,7.2,16,0.5,265,8.7,213,7,121,4,1648,54.4,5,0.2,325,10.7,19,0.6,553,18.2,1086,35.8,1305,43,27,12.2,117,52.9
'003801,2003,0,.,0,.,0,.,4.9,8,3.4,3,0,.,0,.,0,.,0,.,14.3,14.3,0,0,0,14.3,0,10,17.6,50,0,50,0,100,50,100,100,.,182,9,4.9,21,11.5,0,0,99,54.4,20,11,24,13.2,22,12.1,15,8.2,18,9.9,27,14.8,14,7.7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,31,17,0,0,15,8.2,0,0,11,6,9,4.9,25,13.7,0,0,137,75.3,0,.,0,.
'003902,2003,86,65.6,45,34.4,131,100,0.1,0,0,1,4,3.1,16,12.2,0,0,0,0,6.8,4.3,0.6,1.3,0,6.9,1.4,1.4,0.7,20,0,0,0,0,0,0,4.2,15.4,2336,128,5.5,105,4.5,39,1.7,1173,50.2,185,7.9,166,7.1,143,6.1,183,7.8,184,7.9,170,7.3,177,7.6,186,8,173,7.4,190,8.1,158,6.8,149,6.4,6,0.3,140,6,186,8,80,3.4,465,19.9,9,0.4,141,6,5,0.2,232,9.9,563,24.1,1752,75,14,10.7,111,84.7
'003903,2003,338,71,138,29,476,100,0.1,68,0.7,3,161,33.8,70,14.7,1,0.2,4,0.8,7.2,5.1,4.8,0.7,0.6,0.4,0.2,1,4.5,13.6,3.4,3.8,1,1,0,1.9,0,16.1,8216,1103,13.4,2611,31.8,231,3,4893,59.6,614,7.5,536,6.5,560,6.8,565,6.9,544,6.6,592,7.2,633,7.7,589,7.2,721,8.8,571,6.9,512,6.2,485,5.9,9,0.1,800,9.7,645,7.9,640,7.8,2168,26.4,16,0.2,915,11.1,76,0.9,1115,13.6,2492,30.3,3345,40.7,63,13.2,240,50.4
'003904,2003,55,50.9,53,49.1,108,100,0.1,2,0.1,1,8,7.4,3,2.8,0,0,0,0,9.1,1,1.1,0,0,4,1.1,2.2,1.8,16.7,5.3,0,0,3.6,0,0,0,20,1673,17,1,60,3.6,14,0.8,732,43.8,130,7.8,92,5.5,126,7.5,109,6.5,127,7.6,120,7.2,136,8.1,125,7.5,150,9,135,8.1,118,7.1,135,8.1,8,0.5,96,5.7,123,7.4,39,2.3,46,2.7,2,0.1,17,1,3,0.2,308,18.4,524,31.3,1562,93.4,22,20.4,97,89.8
'003905,2003,81,77.9,23,22.1,104,100,1.1,46,2.2,9,22,21.2,41,39.4,0,0,0,0,8.8,4.2,2.4,0,1.6,0.9,0.8,0,7.8,9.1,0,6.7,0,0,0,0,4.5,31.3,1898,261,13.8,281,14.8,22,1.3,1245,65.6,126,6.6,136,7.2,136,7.2,144,7.6,129,6.8,151,8,135,7.1,148,7.8,136,7.2,155,8.2,127,6.7,107,5.6,4,0.2,72,3.8,163,8.6,101,5.3,808,42.6,3,0.2,337,17.8,3,0.2,231,12.2,323,17,803,42.3,12,11.5,41,39.4
'003906,2003,0,0,23,100,23,100,6.3,4,0.8,13,0,0,1,4.3,0,0,0,0,5.1,2.6,0,0,4,9.1,10.3,6.9,0,0,0,0,0,0,33.3,0,20,0,450,0,0,0,0,5,1.1,197,43.8,36,8,41,9.1,39,8.7,27,6,35,7.8,37,8.2,28,6.2,39,8.7,29,6.4,31,6.9,16,3.6,30,6.7,1,0.2,17,3.8,30,6.7,31,6.9,1,0.2,0,0,0,0,0,0,79,17.6,99,22,449,99.8,6,26.1,22,95.7
'003907,2003,42,39.3,65,60.7,107,100,0,4,0.2,0,2,1.9,5,4.7,0,0,1,0.9,3.2,1.9,2.8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14.3,1621,32,2,53,3.3,1,0.1,655,40.4,115,7.1,122,7.5,133,8.2,134,8.3,113,7,144,8.9,139,8.6,129,8,144,8.9,124,7.6,100,6.2,82,5.1,1,0.1,73,4.5,108,6.7,33,2,168,10.4,4,0.2,46,2.8,6,0.4,267,16.5,273,16.8,1390,85.7,10,9.3,99,92.5
'004901,2003,125,59.5,85,40.5,210,100,0.2,8,0.2,3,4,1.9,52,24.8,0,0,14,6.7,8.7,0.5,1,1,0.5,2.1,1,0,4.8,14.3,2.9,5.3,1.8,2,0,0,0,25,3371,150,4.4,85,2.5,64,1.9,1776,52.7,224,6.6,228,6.8,249,7.4,276,8.2,281,8.3,266,7.9,254,7.5,245,7.3,298,8.8,293,8.7,239,7.1,198,5.9,7,0.2,192,5.7,239,7.1,74,2.2,1096,32.5,1,0,151,4.5,152,4.5,512,15.2,834,24.7,2037,60.4,17,8.1,140,66.7
'005901,2003,27,67.5,13,32.5,40,100,0,1,0.2,0,0,0,0,0,0,0,0,0,3.7,3.8,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,57.1,525,6,1.1,0,0,4,0.8,127,24.2,40,7.6,33,6.3,33,6.3,40,7.6,34,6.5,50,9.5,32,6.1,46,8.8,48,9.1,43,8.2,33,6.3,49,9.3,0,0,39,7.4,44,8.4,0,0,21,4,0,0,6,1.1,0,0,73,13.9,139,26.5,504,96,2,5,40,100
'005902,2003,48,70.6,20,29.4,68,100,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,1.7,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,889,3,0.3,1,0.1,19,2,189,21.3,56,6.3,64,7.2,73,8.2,60,6.7,67,7.5,69,7.8,81,9.1,70,7.9,69,7.8,87,9.8,68,7.6,76,8.5,0,0,63,7.1,49,5.5,0,0,29,3.3,2,0.2,3,0.3,0,0,62,7,264,29.7,857,96.4,6,8.8,66,97.1
'005903,2003,0,0,7,100,7,100,0,0,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,.,.,0,.,.,57,0,0,1,1.8,2,2.9,50,87.7,4,7,2,3.5,4,7,1,1.8,5,8.8,3,5.3,4,7,4,7,6,10.5,6,10.5,7,12.3,7,12.3,0,0,0,0,2,3.5,2,3.5,12,21.1,0,0,0,0,0,0,4,7,21,36.8,44,77.2,0,0,6,85.7
'005904,2003,22,78.6,6,21.4,28,100,0,1,0.2,0,0,0,1,3.6,0,0,0,0,0,5.6,0,0,0,0,3.2,0,3.2,0,0,0,0,0,0,0,0,20,458,57,12.4,0,0,3,0.7,188,41,37,8.1,33,7.2,39,8.5,23,5,36,7.9,45,9.8,39,8.5,34,7.4,34,7.4,32,7,24,5.2,36,7.9,2,0.4,43,9.4,30,6.6,14,3.1,94,20.5,0,0,57,12.4,0,0,39,8.5,102,22.3,364,79.5,3,10.7,27,96.4
'006902,2003,19,65.5,10,34.5,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,5.3,0,0,0,0,0,0,0,0,0,363,2,0.6,1,0.3,3,0.8,136,37.5,24,6.6,27,7.4,34,9.4,25,6.9,32,8.8,27,7.4,33,9.1,23,6.3,31,8.5,20,5.5,32,8.8,25,6.9,0,0,22,6.1,30,8.3,0,0,26,7.2,2,0.6,2,0.6,0,0,56,15.4,75,20.7,334,92,2,6.9,29,100
'007901,2003,16,57.1,12,42.9,28,100,0,3,0.5,0,0,0,24,85.7,0,0,0,0,3.6,9.5,5.7,0,0,0,0,0,2.6,0,0,11.1,0,0,0,0,0,66.7,529,24,4.5,0,0,0,0,385,72.8,42,7.9,36,6.8,50,9.5,43,8.1,44,8.3,38,7.2,38,7.2,32,6,37,7,39,7.4,26,4.9,35,6.6,0,0,43,8.1,55,10.4,14,2.6,437,82.6,0,0,28,5.3,0,0,78,14.7,117,22.1,92,17.4,5,17.9,4,14.3
'007902,2003,36,48.6,38,51.4,74,100,0,0,0,0,0,0,35,47.3,0,0,0,0,2.8,1.2,0,0,0,8.5,3.2,6,3.8,0,0,6.3,0,0,0,0,0,33.3,1290,53,4.1,3,0.2,25,1.8,771,59.8,91,7.1,80,6.2,87,6.7,92,7.1,91,7.1,116,9,103,8,110,8.5,118,9.1,100,7.8,97,7.5,77,6,1,0.1,94,7.3,102,7.9,25,1.9,743,57.6,1,0.1,63,4.9,3,0.2,176,13.6,395,30.6,540,41.9,17,23,39,52.7
'007904,2003,35,38.9,55,61.1,90,100,0.3,12,0.7,2,0,0,47,52.2,0,0,1,1.1,15.5,3.1,1,0.9,1.1,0,0,0,10,14.3,0,0,0,0,0,0,0,28.6,1540,140,9.1,5,0.3,56,3.6,1015,65.9,109,7.1,105,6.8,104,6.8,107,6.9,134,8.7,106,6.9,127,8.2,116,7.5,174,11.3,86,5.6,75,4.9,89,5.8,2,0.1,114,7.4,139,9,67,4.4,1087,70.6,3,0.2,156,10.1,3,0.2,188,12.2,578,37.5,442,28.7,15,16.7,42,46.7
'007905,2003,120,55.8,95,44.2,215,100,0,0,0,0,2,0.9,115,53.5,1,0.5,0,0,2,0,1.9,0,0,0,2.1,0,2.1,6.7,2.9,2.9,4.3,5.2,0,0,0,0,3489,95,2.7,28,0.8,123,3.7,2125,60.9,258,7.4,234,6.7,270,7.7,249,7.1,286,8.2,245,7,294,8.4,242,6.9,285,8.2,263,7.5,226,6.5,238,6.8,13,0.4,230,6.6,269,7.7,117,3.4,2209,63.3,1,0,95,2.7,16,0.5,594,17,641,18.4,1235,35.4,45,20.9,97,45.1
'007906,2003,18,18.2,81,81.8,99,100,0.4,4,0.2,3,0,0,77,77.8,0,0,0,0,7.5,9.8,1.9,1,0.9,1.9,2.2,1.9,1.9,25,8.3,0,0,0,4.5,0,0,0,1651,86,5.2,6,0.4,78,4.8,1225,74.2,127,7.7,143,8.7,121,7.3,128,7.8,119,7.2,130,7.9,126,7.6,116,7,143,8.7,132,8,125,7.6,82,5,6,0.4,73,4.4,117,7.1,36,2.2,1379,83.5,2,0.1,102,6.2,4,0.2,254,15.4,301,18.2,260,15.7,16,16.2,22,22.2
