DISTRICT,YEAR,DA0GH06N,DA0GH06P,DA0GM06N,DA0GM06P,DA0GR06N,DA0GR06P,DAPID07N,DAPID07R,DAUND06C,DAUND06R,DB0GR06N,DB0GR06P,DH0GR06N,DH0GR06P,DI0GR06N,DI0GR06P,DP0GR06N,DP0GR06P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR06N,DS0GR06P,DW0GR06N,DW0GR06P
'001902,2007,16,59.3,11,40.7,27,100,1,0.2,0,0,5,18.5,2,7.4,0,0,0,0,8.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,569,5,0.9,66,11.6,2,0.3,211,37.1,43,7.6,48,8.4,35,6.2,48,8.4,45,7.9,44,7.7,44,7.7,45,7.9,53,9.3,37,6.5,28,4.9,47,8.3,4,0.7,68,12,48,8.4,0,0,29,5.1,0,0,5,0.9,4,0.7,154,27.1,92,16.2,155,27.2,470,82.6,1,3.7,20,74.1
'001903,2007,44,54.3,37,45.7,81,100,0,0,3,0.5,5,6.2,1,1.2,0,0,0,0,8.1,6.3,0,1.5,0,2.7,1.5,0,3.5,8.3,0,0,0,0,0,0,0,23.1,1319,9,0.7,112,8.5,17,1.1,658,49.9,100,7.6,104,7.9,73,5.5,77,5.8,92,7,108,8.2,91,6.9,88,6.7,108,8.2,95,7.2,81,6.1,77,5.8,0,0,58,4.4,93,7.1,132,10,76,5.8,3,0.2,9,0.7,5,0.4,476,36.1,189,14.3,307,23.3,1123,85.1,15,18.5,75,92.6
'001904,2007,44,72.1,17,27.9,61,100,1,0.1,9,2.1,5,8.2,3,4.9,0,0,1,1.6,4.8,0,2.4,0,4.3,2.1,1.9,3.1,0,0,0,0,0,0,0,0,0,12.5,789,35,4.4,111,14.1,10,1.1,423,53.6,60,7.6,50,6.3,54,6.8,51,6.5,56,7.1,54,6.8,69,8.7,65,8.2,81,10.3,58,7.4,60,7.6,49,6.2,2,0.3,62,7.9,60,7.6,20,2.5,61,7.7,0,0,35,4.4,6,0.8,325,41.2,113,14.3,273,34.6,611,77.4,11,18,52,85.2
'001906,2007,17,77.3,5,22.7,22,100,0,0,0,0,1,4.5,0,0,0,0,0,0,12,0,0,0,5.9,0,0,0,7.4,25,0,0,0,20,0,0,0,0,352,0,0,34,9.7,9,2.4,127,36.1,36,10.2,26,7.4,32,9.1,28,8,34,9.7,23,6.5,20,5.7,22,6.3,35,9.9,30,8.5,16,4.5,15,4.3,1,0.3,17,4.8,34,9.7,0,0,17,4.8,0,0,0,0,3,0.9,125,35.5,64,18.2,120,34.1,298,84.7,4,18.2,21,95.5
'001907,2007,150,80.2,37,19.8,187,100,14,0.4,33,1.8,43,23,43,23,2,1.1,1,0.5,10.8,3.5,2.8,0.9,0.4,3.7,9.2,2.9,0.4,13.6,0,0,0,6.3,3.8,0,0,23.5,3405,317,9.3,996,29.3,89,2.2,2217,65.1,308,9,261,7.7,243,7.1,260,7.6,231,6.8,262,7.7,221,6.5,237,7,297,8.7,191,5.6,238,7,199,5.8,6,0.2,145,4.3,276,8.1,175,5.1,1062,31.2,6,0.2,331,9.7,30,0.9,1836,53.9,327,9.6,941,27.6,1311,38.5,24,12.8,98,52.4
'001908,2007,55,50.5,54,49.5,109,100,1,0.1,0,0,17,15.6,6,5.5,0,0,1,0.9,10,4.3,4,1.1,10.7,1.7,0,0,10,6.3,9.1,6.3,0,5.3,0,4.2,0,7.1,1759,51,2.9,309,17.6,38,1.9,882,50.1,152,8.6,143,8.1,121,6.9,135,7.7,111,6.3,130,7.4,154,8.8,118,6.7,122,6.9,146,8.3,118,6.7,119,6.8,5,0.3,86,4.9,139,7.9,46,2.6,247,14,3,0.2,56,3.2,12,0.7,758,43.1,247,14,545,31,1188,67.5,27,24.8,85,78
'001909,2007,10,45.5,12,54.5,22,100,4,0.9,1,0.5,1,4.5,0,0,0,0,0,0,0,0,4.3,0,0,7.4,5.3,0,0,42.9,0,0,0,0,0,25,0,0,402,2,0.5,2,0.5,4,0.9,237,59,32,8,33,8.2,32,8,29,7.2,34,8.5,30,7.5,30,7.5,22,5.5,28,7,26,6.5,22,5.5,25,6.2,0,0,34,8.5,28,7,31,7.7,21,5.2,1,0.2,2,0.5,0,0,42,10.4,70,17.4,130,32.3,378,94,6,27.3,21,95.5
'002901,2007,123,68,58,32,181,100,0,0,0,0,3,1.7,80,44.2,0,0,1,0.6,6.5,1.7,1.2,0,2.5,0,1.8,0.6,6.5,21.1,3.4,0,0,0,0,0,0,21.2,2973,189,6.4,64,2.2,81,2.6,1365,45.9,206,6.9,202,6.8,218,7.3,222,7.5,207,7,195,6.6,215,7.2,211,7.1,241,8.1,215,7.2,240,8.1,229,7.7,26,0.9,176,5.9,235,7.9,111,3.7,1759,59.2,9,0.3,250,8.4,19,0.6,1277,43,453,15.2,516,17.4,1122,37.7,21,11.6,97,53.6
'003801,2007,0,.,0,.,0,.,0,0,1,3.2,0,.,0,.,0,.,0,.,4.5,8.3,6.9,0,18.2,5.9,15.4,0,10.7,16.7,50,0,0,0,0,50,0,50,263,1,0.4,62,23.6,0,0,145,55.1,43,16.3,33,12.5,40,15.2,35,13.3,21,8,18,6.8,18,6.8,13,4.9,0,0,0,0,0,0,0,0,0,0,0,0,42,16,0,0,25,9.5,0,0,1,0.4,4,1.5,66,25.1,34,12.9,0,0,172,65.4,0,.,0,.
'003902,2007,98,71,40,29,138,100,0,0,0,0,4,2.9,24,17.4,0,0,1,0.7,8,4.3,1.8,0.6,1.4,4,0.6,1.3,3.8,47.6,5.3,6.3,3.2,4.8,3.1,9.5,11.5,37.5,2412,127,5.3,117,4.9,44,1.6,1282,53.2,208,8.6,189,7.8,176,7.3,180,7.5,191,7.9,175,7.3,177,7.3,192,8,190,7.9,169,7,174,7.2,132,5.5,5,0.2,130,5.4,180,7.5,74,3.1,475,19.7,11,0.5,140,5.8,19,0.8,730,30.3,260,10.8,576,23.9,1790,74.2,14,10.1,109,79
