DISTRICT,YEAR,DA0708DR06R,DA0708DR07R,DA0712DR06R,DA0712DR07R,DA0912DR06R,DA0912DR07R,DA0AD06R,DA0AD07R,DA0AT06R,DA0AT07R,DA0BK06R,DA0BK07R,DA0BS06R,DA0BS07R,DA0BT06R,DA0BT07R,DA0GH06R,DA0GH07R,DB0708DR06R,DB0708DR07R,DB0712DR06R,DB0712DR07R,DB0912DR06R,DB0912DR07R,DB0AD06R,DB0AD07R,DB0AT06R,DB0AT07R,DB0BK06R,DB0BK07R,DB0BS06R,DB0BS07R,DB0BT06R,DB0BT07R,DB0GH06R,DB0GH07R,DE0708DR06R,DE0708DR07R,DE0712DR06R,DE0712DR07R,DE0912DR06R,DE0912DR07R,DE0AD06R,DE0AD07R,DE0AT06R,DE0AT07R,DE0GH06R,DE0GH07R,DF0708DR06R,DF0708DR07R,DF0712DR06R,DF0712DR07R,DF0912DR06R,DF0912DR07R,DF0AD06R,DF0AD07R,DF0AT06R,DF0AT07R,DF0BK06R,DF0BK07R,DF0BS06R,DF0BS07R,DF0BT06R,DF0BT07R,DF0GH06R,DF0GH07R,DH0708DR06R,DH0708DR07R,DH0712DR06R,DH0712DR07R,DH0912DR06R,DH0912DR07R,DH0AD06R,DH0AD07R,DH0AT06R,DH0AT07R,DH0BK06R,DH0BK07R,DH0BS06R,DH0BS07R,DH0BT06R,DH0BT07R,DH0GH06R,DH0GH07R,DI0708DR06R,DI0708DR07R,DI0712DR06R,DI0712DR07R,DI0912DR06R,DI0912DR07R,DI0AD06R,DI0AD07R,DI0AT06R,DI0AT07R,DI0BK06R,DI0BK07R,DI0BS06R,DI0BS07R,DI0BT06R,DI0BT07R,DI0GH06R,DI0GH07R,DL0708DR06R,DL0708DR07R,DL0712DR06R,DL0712DR07R,DL0912DR06R,DL0912DR07R,DL0AD06R,DL0AD07R,DL0AT06R,DL0AT07R,DL0GH06R,DL0GH07R,DM0708DR06R,DM0708DR07R,DM0712DR06R,DM0712DR07R,DM0912DR06R,DM0912DR07R,DM0AD06R,DM0AD07R,DM0AT06R,DM0AT07R,DM0BK06R,DM0BK07R,DM0BS06R,DM0BS07R,DM0BT06R,DM0BT07R,DM0GH06R,DM0GH07R,DP0708DR06R,DP0708DR07R,DP0712DR06R,DP0712DR07R,DP0912DR06R,DP0912DR07R,DP0AD06R,DP0AD07R,DP0AT06R,DP0AT07R,DP0BK06R,DP0BK07R,DP0BS06R,DP0BS07R,DP0BT06R,DP0BT07R,DP0GH06R,DP0GH07R,DR0708DR06R,DR0708DR07R,DR0712DR06R,DR0712DR07R,DR0912DR06R,DR0912DR07R,DR0AD06R,DR0AD07R,DR0AT06R,DR0AT07R,DR0GH06R,DR0GH07R,DS0708DR06R,DS0708DR07R,DS0712DR06R,DS0712DR07R,DS0912DR06R,DS0912DR07R,DS0AD06R,DS0AD07R,DS0AT06R,DS0AT07R,DS0GH06R,DS0GH07R,DW0708DR06R,DW0708DR07R,DW0712DR06R,DW0712DR07R,DW0912DR06R,DW0912DR07R,DW0AD06R,DW0AD07R,DW0AT06R,DW0AT07R,DW0BK06R,DW0BK07R,DW0BS06R,DW0BS07R,DW0BT06R,DW0BT07R,DW0GH06R,DW0GH07R
'001902,2008,0,0,1.3,0,2.2,0,39.4,42.7,96.4,96.1,.,.,.,.,0,0,59.3,63.8,0,0,4,0,6.9,0,37,40,97.9,97.4,.,.,.,.,0,0,80,72.7,0,0,3.1,0,5.8,0,33.3,33.3,95.7,95.3,62.5,46.2,0,0,0,0,0,0,48.1,63.3,96.6,96.3,.,.,.,.,0,0,92.9,81,0,0,0,0,0,0,66.7,50,97,95.6,.,.,.,.,-1,-1,-1,-1,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,0,0,2.6,0,4.3,0,30.4,25,96.2,96,.,.,.,.,0,0,23.1,50,-1,.,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,2.2,0,3.7,0,17.9,31.3,96.2,95.4,-1,41.7,0,0,3.7,0,5,0,3.1,7.1,95.5,94.8,-1,10,0,0,0.9,0,1.4,0,38.6,43.9,96.1,95.9,.,.,.,.,0,0,50,58.8
'001903,2008,0,0,0.6,0.9,0.9,1.3,15.6,18.4,95.9,96.1,28.6,-1,20,40,4.9,3.2,54.3,75,0,0,0,2.1,0,3.7,8,4.2,95.2,96.7,.,.,.,.,0,0,60,-1,0,0,0,1.3,0,2.3,6,12.4,95.3,95.6,38.1,57.1,0,0,0.7,0.8,1,1.1,19.1,20.7,96,96.2,33.3,.,22.2,.,8.2,0,79.4,86.1,0,0,0,7.4,0,11.8,5.9,15.4,95.4,96.5,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,96.1,96.6,.,.,0,0,0.6,1,0.9,1.4,12.6,16.3,95.8,96,-1,-1,-1,40,1.4,6.1,36.2,65,.,-1,0,0,0,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,0,0,2,1.1,2.9,1.7,9.6,9.1,95.4,95.3,40,50,0,0,0.7,0.8,0.9,1,2.3,3.3,94.8,94.3,0,0,0,0,0.8,0.4,1.1,0.6,16.5,19.4,96,96,16.7,-1,11.1,40,4.6,3.5,53.3,77.5
'001904,2008,0,0,0,0,0,0,20.6,18.9,96.3,95.7,12.5,14.8,9.7,16.7,27.9,32.5,72.1,68.6,0,0,0,0,0,0,3.4,8.1,96.4,96,-1,-1,-1,-1,16.7,33.3,60,16.7,0,0,0,0,0,0,12.3,12.8,96.2,95.4,61.1,52.4,0,0,0,0,0,0,23.1,24.3,96.2,95.3,7.7,7.1,6.3,6.7,35.1,38.9,87.5,66.7,0,0,0,0,0,0,8.3,20,96.7,95.8,.,-1,.,-1,0,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,-1,-1,-1,-1,97.4,96.7,.,.,0,0,0,0,0,0,18.7,14.7,96.4,96,18.2,23.1,13.3,26.7,22.4,27.7,62.2,70.4,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,0,0,0,0,0,0,7.3,13.3,96.3,95.4,61.5,66.7,0,0,0,0,0,0,2.3,10.6,95.6,95.1,9.1,11.8,0,0,0,0,0,0,24,20.5,96.3,95.6,13,17.4,10,19.2,31.1,31.5,71.2,73.8
'001906,2008,0,0,1.8,0.7,3,0.9,10.9,12,96.5,96.3,.,.,.,.,0,0,77.3,53.3,0,-1,0,0,0,0,0,0,98,98,.,.,.,.,-1,-1,-1,-1,0,0,1.8,0,2.9,0,0,9.4,95.9,95.9,.,-1,0,0,1.3,1.4,2,2,12.5,19.6,96.5,96.4,.,.,.,.,0,0,90.9,70,-1,-1,0,0,-1,0,-1,0,96.1,95.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2.2,0,3.8,0,9.1,5.6,96.4,96.3,.,.,.,.,0,0,63.6,20,.,.,.,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,3.3,0,4.8,0,0,11.1,95.8,95.1,-1,0,0,0,4.2,2.2,6.5,3,3.6,3.3,95,94.7,-1,-1,0,0,2.1,0.8,3.3,1.1,12,14.8,96.3,96.2,.,.,.,.,0,0,76.2,57.1
'001907,2008,1.9,0,3.1,1.7,3.7,2.5,11.8,12.1,95.1,95.2,67.7,82.6,55.8,65.9,9.8,6.1,80.2,83.3,1.7,0,3.3,1.7,4.1,2.5,3.4,4.8,95.5,95.2,-1,-1,-1,-1,1.4,1,69.8,72.9,1.1,0,2.3,1.6,3.1,2.5,5,5.1,95.3,95.1,71.9,84.2,1.8,0,3.3,2,4.1,2.9,10.4,12.5,95.1,95,64.3,80,41.7,75,8.5,5,87.4,92.1,2.2,0,3.8,1.6,4.9,2.7,12,8.6,95.9,95.8,80,80,40,57.1,6.4,5.3,81.4,95.2,-1,-1,0,0,0,0,40,0,93.3,94.5,.,.,.,.,-1,-1,-1,-1,5,0,8.2,0,10.3,0,7.4,9.5,96.4,97,-1,-1,2.1,0,2.9,1.5,3.4,2.2,13.2,11.8,95.1,95.3,70.6,84.6,67.9,62.1,11.3,7.5,72.8,75.3,-1,0,7.1,0,9.1,0,33.3,54.5,95.7,96.7,.,-1,.,66.7,0,33.3,-1,-1,2.3,0,3.4,3.1,4,4.4,5.9,3.3,94.6,94.7,79.8,82.8,1,0,2.6,1.3,3.4,1.9,0.8,0.8,93,92.5,4.2,6.5,2,0,2.5,1.8,2.8,2.5,16.2,18.2,94.2,94.6,68,86.7,61,66.7,15.9,8.7,84.7,84
'001908,2008,1.4,0.3,1.3,1.9,1.2,2.8,11.1,13,95.5,95.2,44.4,-1,44.4,-1,4.6,0.5,50.5,57,2.2,0,2,3.2,1.9,5,4.3,4.6,96.1,95.8,.,.,.,.,0,0,23.5,40,0.8,0,0.7,2.3,0.6,3.6,5.6,7.1,95.6,94.8,38.9,31.4,0.7,0.7,1.4,2.8,1.7,3.9,13.1,13,95.2,95,57.1,-1,57.1,-1,6.2,1,56.5,67.9,0,0,1.1,1.9,1.7,3.1,3.8,5.5,96.1,95.8,.,.,.,.,0,0,66.7,54.5,-1,.,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,0,-1,0,-1,-1,97,97,.,.,2.1,0,1.1,1.1,0.7,1.7,9.2,13,95.8,95.4,-1,.,-1,.,2.4,0,42.6,46.6,-1,-1,-1,0,-1,0,-1,-1,98.3,96.5,.,.,.,.,-1,.,-1,.,0,0,1.2,2.5,1.5,3.8,6.6,6.1,95.2,94.8,29.8,38.1,3.8,0,1.1,2.9,0,4.7,1,3.7,94.8,94.4,7.4,0,1.5,0.5,1.1,1.6,0.9,2.2,13.5,16.5,95.2,94.9,44.4,-1,44.4,-1,6,0.7,54.1,60.2
'001909,2008,0,0,3.8,1.7,5.5,2.6,4.8,.,97.1,97.2,.,.,.,.,0,0,45.5,40.7,.,-1,-1,-1,-1,-1,-1,.,96.5,-1,.,.,.,.,-1,-1,-1,.,0,0,4.4,1.1,6.9,1.8,1.9,.,96.8,97.1,22.2,33.3,0,0,1.2,0,1.8,0,7.1,.,97.3,97,.,.,.,.,0,0,72.7,52.9,-1,-1,0,12.5,-1,-1,-1,.,96.7,97.5,.,.,.,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,0,0,6,3.6,8.5,4.9,2.9,.,96.9,97.5,.,.,.,.,0,0,18.2,20,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,0,0,2.9,0,3.6,0,0,.,96.4,97.1,33.3,14.3,0,0,7,2.6,9.8,2.9,0,.,96.4,96.7,0,-1,0,0,4,1.2,5.8,1.8,5,.,97.2,97.2,.,.,.,.,0,0,47.6,44
'002901,2008,0.2,0.4,2.3,2.7,3.3,3.7,20.1,22,95.5,95.4,-1,-1,-1,-1,0.3,0.3,68,79.1,0,0,0,11.5,0,17.6,20,20,95.3,95.6,.,.,.,.,0,0,-1,-1,0,1.1,2.2,2.5,3.7,3.5,7.1,11.5,95.2,95.2,42.1,60.9,0.5,0,1,2,1.3,2.9,22.9,25.7,95.5,95.4,-1,.,-1,.,0.6,0,76.8,84,0,0.8,2.5,3.4,3.7,4.5,10.8,13.1,95.5,95.3,.,.,.,.,0,0,62.5,76.8,-1,-1,-1,-1,.,-1,.,-1,95.3,96.3,.,.,.,.,-1,.,.,.,0,0,1.4,6.3,2.6,9.5,0,1.8,95.5,95.6,-1,30,0,0.8,3.4,3.3,5.1,4.5,17.6,18.5,95.4,95.4,.,-1,.,-1,0,0.5,60.6,74,-1,-1,0,0,0,0,70,90,98.7,98.1,.,.,.,.,-1,0,-1,-1,0,0,2.8,3.9,3.9,5.5,7.6,7.2,94.8,94.6,52.3,64.3,0,1.2,3.1,4.2,4.7,5.6,0.7,3.2,94.5,94,4.8,27.3,0.5,0,2.3,1.4,3,2.1,30.1,33.3,95.4,95.6,-1,-1,-1,-1,0.6,0.6,73.2,83.1
'003801,2008,0,0,0,0,.,.,.,.,95.5,95.6,.,.,.,.,.,.,.,.,-1,0,-1,0,.,.,.,.,96,96.9,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,94.9,95.6,.,.,0,0,0,0,.,.,.,.,95.1,95.3,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,.,.,95,95.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,0,0,0,0,.,.,.,.,95.9,95.8,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,94.6,94.8,.,.,0,0,0,0,.,.,.,.,95.6,95.2,.,.,0,0,0,0,.,.,.,.,95.3,94.9,.,.,.,.,.,.,.,.
'003902,2008,0,0.2,1.5,1.9,2.4,2.8,11.3,21.9,96.3,96,37.2,35,39,38.5,16.7,22.5,71,64,0,0,4.4,5.5,7.7,9.1,8.7,16.1,95.9,95.6,-1,-1,-1,-1,9.1,14.3,-1,-1,0,0.5,1,1.7,1.7,2.6,7.3,13.7,95.8,95.7,60.4,57.8,0,0,1.8,0.9,2.7,1.3,13.3,23.5,96.1,95.8,30.8,36.1,32.4,39.5,19.4,26.3,78.9,81.4,0,1.4,1.8,3.3,3,4.3,7.4,15.1,96,95.5,28.6,-1,20,-1,14,8.3,70.8,57.7,.,-1,-1,-1,-1,-1,-1,-1,94,95.9,-1,-1,-1,-1,-1,-1,.,-1,0,9.1,0,10,0,11.1,0,0,96.1,96.4,-1,-1,0,0.5,1.2,3,2,4.4,9.2,20.2,96.5,96.3,47.1,33.3,48,37,13.8,18.5,62.7,48.5,-1,-1,0,0,0,-1,0,-1,97.6,97.7,.,-1,.,-1,-1,-1,-1,-1,0,1.2,2.9,2.7,4.1,3.3,3.1,6.5,95,94.2,48.9,48,0,1.7,1.3,2.5,2,3,1.1,0,94.6,94.7,7.1,0,0,0,1.3,1.4,2,2.1,12.3,23.4,96.4,96.1,41.2,36.5,44.7,40.4,17.6,25,70.6,63.8
