DISTRICT,YEAR,DA0CA08R,DA0CA09R,DA0CC08R,DA0CC09R,DA0CS08R,DA0CS09R,DA0CT08R,DA0CT09R,DACRB08R,DACRB09R,DACRM08R,DACRM09R,DACRR08R,DACRR09R,DB0CA08R,DB0CA09R,DB0CC08R,DB0CC09R,DB0CS08R,DB0CS09R,DB0CT08R,DB0CT09R,DBCRB08R,DBCRB09R,DBCRM08R,DBCRM09R,DBCRR08R,DBCRR09R,DECRB08R,DECRB09R,DECRM08R,DECRM09R,DECRR08R,DECRR09R,DF0CA08R,DF0CA09R,DF0CC08R,DF0CC09R,DF0CS08R,DF0CS09R,DF0CT08R,DF0CT09R,DFCRB08R,DFCRB09R,DFCRM08R,DFCRM09R,DFCRR08R,DFCRR09R,DH0CA08R,DH0CA09R,DH0CC08R,DH0CC09R,DH0CS08R,DH0CS09R,DH0CT08R,DH0CT09R,DHCRB08R,DHCRB09R,DHCRM08R,DHCRM09R,DHCRR08R,DHCRR09R,DI0CA08R,DI0CA09R,DI0CC08R,DI0CC09R,DI0CS08R,DI0CS09R,DI0CT08R,DI0CT09R,DICRB08R,DICRB09R,DICRM08R,DICRM09R,DICRR08R,DICRR09R,DLCRB08R,DLCRB09R,DLCRM08R,DLCRM09R,DLCRR08R,DLCRR09R,DM0CA08R,DM0CA09R,DM0CC08R,DM0CC09R,DM0CS08R,DM0CS09R,DM0CT08R,DM0CT09R,DMCRB08R,DMCRB09R,DMCRM08R,DMCRM09R,DMCRR08R,DMCRR09R,DP0CA08R,DP0CA09R,DP0CC08R,DP0CC09R,DP0CS08R,DP0CS09R,DP0CT08R,DP0CT09R,DPCRB08R,DPCRB09R,DPCRM08R,DPCRM09R,DPCRR08R,DPCRR09R,DRCRB08R,DRCRB09R,DRCRM08R,DRCRM09R,DRCRR08R,DRCRR09R,DSCRB08R,DSCRB09R,DSCRM08R,DSCRM09R,DSCRR08R,DSCRR09R,DW0CA08R,DW0CA09R,DW0CC08R,DW0CC09R,DW0CS08R,DW0CS09R,DW0CT08R,DW0CT09R,DWCRB08R,DWCRB09R,DWCRM08R,DWCRM09R,DWCRR08R,DWCRR09R
'001902,2010,-1,18.4,11.1,36.4,923,993,37.5,42.3,35,59,52,71,52,69,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.5,50,920,1054,53.3,53.3,21,64,36,75,43,86,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,11.1,27.3,56,53,78,67,67,53,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20,-3,20,-3,40,17,-1,-3,-1,-3,-1,-3,-1,-1,11.1,37.5,923,1009,42.9,34.8,40,62,55,75,60,69
'001903,2010,20.4,20.8,19.2,18.8,977,956,45.6,58.2,48,42,59,54,74,58,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-3,44,31,69,15,-1,21.1,25,15,970,930,30.8,66.7,38,43,50,56,71,60,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.7,25,981,996,58.1,48,57,41,67,51,77,56,.,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-3,4,17,14,50,31,-1,7,-1,6,-1,13,20.4,20.5,17.4,17.2,967,957,45.1,56.9,50,44,58,55,77,59
'001904,2010,23.8,19.6,25,22.7,978,959,53.3,44,41,52,68,63,55,67,.,-1,-1,-1,-1,-1,-1,-1,60,-1,80,-1,60,-1,38,58,69,73,56,63,-1,18.2,14.3,16.7,924,933,66.7,57.1,60,71,70,86,75,73,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.7,40,30,1062,988,41.7,34.5,25,37,67,46,38,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,19,11,19,22,53,-1,-1,-1,-1,-1,20,23.8,19.6,31.6,31.3,1007,1015,48.7,38.1,41,50,68,61,54,68
'001906,2010,19.8,18.9,0,9.1,-1,816,41.7,50,25,28,42,52,50,41,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.1,50,29,20,29,30,71,50,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,14.3,-1,-1,20,50,20,32,60,63,20,37,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20,9,20,9,60,18,-1,-3,-1,-3,-1,-3,19.8,18.9,0,10,-1,857,45.5,52.6,27,33,45,58,45,46
'001907,2010,21.1,20.8,27.8,25.4,996,971,43.9,45,38,38,65,51,45,49,16.4,16,6.3,6.3,787,818,36.4,42.1,12,11,49,24,18,22,24,17,60,27,36,30,21.3,21.1,23.3,25.7,972,981,46.2,47.3,41,41,64,51,49,51,-1,-1,25,0,1024,891,21.1,28.1,28,22,56,33,36,34,.,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.6,20.3,34.5,25,1028,958,40.8,42.4,34,35,67,50,40,45,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,12,8,42,11,22,19,-1,-3,-1,-3,-1,9,22.5,22.8,36.2,38.9,1067,1052,58.8,52.9,57,62,79,76,63,70
'001908,2010,17.3,20.7,12.7,13.3,904,879,75.3,80.6,45,48,55,66,64,60,-1,.,0,0,767,725,100,92.3,20,31,20,46,44,33,11,28,40,52,42,37,15.2,20.8,6.9,12.5,928,865,74.4,94.1,42,55,50,65,61,70,-1,.,0,9.1,-1,845,71.4,84.6,33,38,71,62,33,53,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.7,-1,19.2,14.3,879,897,76.5,67.3,49,42,61,67,67,51,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,18,20,28,39,45,38,-3,-1,-3,-1,-3,-3,19.3,20.7,18.4,16.9,954,920,70.4,77.6,54,53,63,70,73,66
'001909,2010,-1,22.8,28.6,33.3,967,971,41.2,52.9,56,55,81,55,56,80,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,67,38,83,38,67,63,-1,21.6,-1,20,-1,-1,66.7,55.6,83,70,83,70,83,80,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.3,50,40,40,80,40,40,80,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,50,14,83,14,50,43,-1,-1,-1,-1,-1,-1,-1,22.8,33.3,33.3,992,971,37.5,52.9,60,55,87,55,60,80
'002901,2010,19.1,19,18.3,16.9,961,931,42.3,42.2,24,33,44,50,35,46,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,5,18,41,34,9,28,20,19.6,17.1,17.5,954,936,53.2,43.5,31,35,47,51,44,55,16.8,16.6,7.7,7.7,895,807,31,30.2,10,20,35,43,16,32,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.4,18,20,16,973,923,33,40.3,18,31,42,48,27,35,.,.,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,10,5,19,25,20,21,-1,-3,-1,17,-1,-3,20.2,20.3,17.9,21.6,966,1009,50.6,56.9,36,48,51,57,52,63
'003801,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2010,19.2,18.7,23,22.7,970,964,58.4,63,45,43,60,69,62,52,.,-1,-1,0,-1,-1,-1,-2,-1,33,-1,83,-1,33,23,38,42,64,43,40,19.5,18.1,17.8,11.9,920,934,57.7,65.6,38,41,51,61,58,55,-1,-1,0,0,811,871,70,45,25,29,45,55,43,38,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.8,20,28.6,36.4,1025,1001,59.2,60,52,46,70,78,65,50,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,20,18,30,31,43,39,-1,-3,-1,18,-1,11,19.7,19.6,27.9,29.8,1005,989,55.3,60.6,48,47,62,72,66,56
'003903,2010,17.5,19.1,22.9,22.1,979,978,61.3,46.1,43,45,60,60,55,56,15.5,16.5,1.5,3.2,812,835,63.6,52.5,23,31,37,44,40,45,24,30,44,46,41,42,18.1,19.5,20.2,23.1,976,985,54.3,42.7,40,47,53,58,57,61,-1,19.1,8.7,24,907,955,25,25.8,25,33,52,46,36,49,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-3,-1,14,-1,-3,17,18.8,25.2,21.2,982,970,68.5,49.5,46,42,67,63,53,52,.,-1,50,42.9,1064,1023,-2,77.8,83,75,83,75,83,75,10,11,23,24,22,32,-3,12,18,23,-3,19,20.2,22.6,32.7,32.3,1046,1046,73.9,50.3,59,58,76,77,70,67
'003904,2010,19.8,17.6,20,18.4,986,949,41.7,35.2,33,33,53,46,41,55,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,6,21,28,35,17,48,19,-1,16.7,5.3,976,922,51.4,36.5,38,29,52,38,48,65,-1,-1,-1,-1,-1,-1,-2,50,-1,14,-1,43,-1,29,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.5,31.6,997,980,34.7,33.9,30,36,53,54,37,46,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,3,6,17,12,18,35,-1,-1,-1,-1,-1,-1,21,17.8,18.8,20.6,981,953,40,34,34,34,53,46,42,57
'003905,2010,17.8,18.3,15.7,14.1,980,924,55.4,64,33,42,51,52,44,58,14.6,17,11.1,0,-1,809,64.3,75,27,43,45,43,33,61,26,32,42,44,35,48,17.8,18.9,12,19,970,916,52.1,66.7,34,42,45,56,52,52,19.6,17.6,17.6,10,997,924,44.7,61.2,33,29,47,46,47,44,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-3,-1,-3,-1,20,17.9,17.3,19.2,6.9,989,958,59.1,60.4,31,40,57,47,35,66,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,8,15,19,19,16,41,-1,-1,-1,-1,-1,-1,18.3,20.6,16,30.4,986,991,62.5,60.5,33,57,56,66,44,75
'003906,2010,19,-1,11.1,5.9,-1,858,47.4,-2,23,37,36,56,35,52,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,29,40,57,20,50,-1,-1,-1,0,-1,857,60,-2,14,33,43,44,38,56,.,.,.,-1,.,-1,.,-2,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9.1,-1,858,42.9,-2,27,39,33,61,33,50,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,21,10,29,20,43,-1,-3,-1,-3,-1,17,19,-1,11.1,6.3,-1,871,47.4,-2,23,36,36,56,35,48
'003907,2010,17.6,-1,31.4,17.2,1033,965,35.7,28.4,31,25,55,49,38,35,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,20,29,61,38,25,35,-1,-1,35.7,5.9,1055,925,30.4,28.8,33,27,60,47,45,42,.,.,.,-1,.,-1,0,40,-3,56,43,67,-3,67,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6,33.3,1016,1026,40.4,27.9,29,23,50,51,33,26,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,-3,23,3,4,13,-1,-3,-1,14,-1,-3,17.6,-1,29.4,16,1024,967,39.5,27.5,32,22,54,48,40,33
'004901,2010,20,19.8,21.7,20.4,983,975,65.4,59.3,45,43,59,55,56,63,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,41,33,47,49,56,48,19.5,20.8,16.7,19.3,956,961,76.9,62.6,48,43,59,54,60,69,17.9,19.6,20.8,12,938,929,64.9,43.9,40,37,50,45,56,60,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.8,18.7,28.3,21.6,1016,990,54.8,56,42,42,60,57,53,57,19.1,-1,12.5,11.1,903,949,72.7,90,55,50,73,80,55,60,16,17,29,27,36,49,-3,-1,-3,-1,11,13,20.9,20,23.6,25.7,1014,998,65.5,62.5,46,45,62,59,58,63
'005901,2010,20.7,21.3,7.1,14.8,985,1023,50,69.2,32,47,43,66,55,51,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,36,-1,55,-1,42,-1,21.6,-1,14.3,-1,1020,40,82.4,22,65,33,65,70,71,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.4,20.9,10,15.4,958,1027,55.6,59.1,37,33,47,67,47,36,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-3,31,11,38,30,43,-1,-1,-1,-1,-1,-1,20.2,21.3,0,14.8,977,1023,48.1,71.1,31,49,42,68,56,53
