DISTRICT,YEAR,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
'001902,2010,14.3,8.5,15,11,18.7,14.1,16.1,13.9,13.7,22,12.5,11,15.4,66.613,14.44,14.048,102.81,2,1.9453,60165.5,32.123,13,12.6446,1.8,14.0572,67,65.166,3.643,3.543,62083.53,0,0,.,12,21.671,34521.3,9,16.253,38151.23,22.36,40.3766,44648.31,12.02,21.699,51155.87,48.66,87.875,0.35,0.637,2,3.612,0,0,13.4624,43.72,78.944,0.324,0.5842,3,5.418,0,0,11.3403,11.66,21.0564,6.71,12.1249,0,0,1.334,2.4082,0,0,0,0,44.89,81.066,5.73,10.3451,6.9396,55.38,53.864,42809.79,1.8096,2.747,4.9596,50.38,90.97,5.98,5.8138,54047.93,3,22.81,22.1893
'001903,2010,13.1,16.2,16.2,18.4,14.8,17,20.9,15.5,15.6,.,12.4,13.8,15.1,66.064,16.43,8.02,204.92,4,1.952,63963.75,0,29.94,14.6107,0,0,128.87,62.887,5.083,2.481,56469.39,2,1.824,28135,21.87,19.949,31194.49,25,22.806,36253.83,39.75,36.2631,43484.9,21,19.157,47760.26,91.78,83.73,0,0,1,0.912,9.511,8.6766,13.664,88.7,80.919,2.309,2.1063,3,2.736,0,0,12.3518,20.92,19.0809,17.83,16.2699,0,0,0,0,0,0,0,0,79.48,72.508,11.2,10.2183,8.288,109.62,53.493,39922.93,9.5613,7.115,6.4908,105.62,96.352,10.17,4.9612,42793.54,0,46.11,22.5024
'001904,2010,10.6,12.3,13.5,13.3,19.3,15,11.8,13,12.3,.,11.9,14.3,12,60.552,6,4.588,130.78,1,0.7647,92995,0,7.96,6.0844,0,0,84.5,64.616,4,3.059,62140,0,0,.,16,22.378,31528.09,16,22.378,39568.3,20,27.9719,43488.13,19.5,27.273,48948.12,61.5,86.014,0,0,2,2.797,3.6,5.0347,13.8443,55,76.922,0,0,1,1.399,0,0,10.6707,16.5,23.0776,10,13.9861,0,0,0,0,0,0,0,0,59.06,82.599,3.69,5.1611,8.4491,71.5,54.676,41423.68,5.6335,5.152,7.2052,68.5,95.804,8,6.1172,52981.38,0,38.32,29.2996
'001906,2010,12.2,6.3,13.5,15.5,13.5,17.9,14.7,17.5,12.5,.,12.6,13.1,13.5,63.155,3.98,7.67,51.87,1,1.9278,83000,0,2,3.8557,0,0,35,67.474,2,3.856,58350,4,13.333,37107.74,9,29.999,33504.82,3,10.001,38940.06,11,36.6674,45340.4,3,10,47548,30,100,0,0,1,3.333,0,0,9.0857,25,83.333,0.381,1.27,0,0,0.9999,3.333,12.5335,5,16.6672,0,0,0,0,0,0,0,0,0,0,26.08,86.935,0.89,2.9554,4.4286,30,57.835,40272.85,16.1291,2.652,8.8401,28,93.334,2,3.8557,41653.5,1.9374,14.87,28.6702
'001907,2010,18.5,16.1,17.3,19.5,20.2,20.4,19.6,21.2,18.5,.,18.1,18.6,20.4,72.879,106.25,23.3,456,8,1.7544,79004.5,0,73.95,16.2164,0,0,297.51,65.244,15.464,3.391,64993.27,20.003,8.188,31763.01,65.51,26.815,33821.43,48.26,19.757,38926.76,49,20.0586,45562.94,61.51,25.181,51788.32,200.31,81.998,11.43,4.679,25.01,10.24,15.089,6.1767,12.4521,192.75,78.902,0,0,8,3.275,0,0,13.2549,51.54,21.0977,42.98,17.593,1,0.409,12.901,5.2812,0,0,0,0,164.32,67.266,30.34,12.4207,7.2485,244.29,53.572,41540.96,25.5034,10.202,4.1761,211.27,86.485,29.76,6.5268,49157.86,0,84.54,18.5392
'001908,2010,13.1,18.9,19.4,17.7,18,19.8,24.6,20.7,18.6,.,15.5,15.1,16.6,63.877,44.41,18.917,234.75,3,1.2779,74491,0,24.39,10.3899,0,0,151.19,64.405,6,2.556,58381.33,11,8.573,30351.96,33.57,26.163,32039.25,14,10.911,37678.43,38.79,30.2282,43638.96,30.96,24.126,47622.07,105.31,82.075,0,0,7,5.455,4.699,3.6622,12.3006,99.85,77.822,0.726,0.5661,2,1.559,0,0,13.21,28.46,22.178,23,17.925,0,0,0.139,0.1083,0,0,0,0,104.01,81.06,13.99,10.9021,6.8644,128.31,54.658,39775.71,19.3582,4.749,3.7011,119.31,92.986,13.88,5.9126,41720.79,0,59.17,25.2052
'001909,2010,12.1,13.4,15.5,20,16,16.5,13.7,13.4,15.5,22,10.5,15.2,17.3,69.068,1,1.65,60.61,2,3.3,67796,0,3.89,6.4148,0,0,43.98,72.567,2,3.3,60427,0,0,.,8.98,23.64,33824.48,7,18.431,40874.41,14,36.863,44718.61,8,21.065,51334.85,36.48,96.051,0.17,0.439,0,0,1,2.6329,14.4704,29.98,78.936,0,0,0,0,1,2.6329,10.795,8,21.0639,1.5,3.9494,0,0,0,0,0,0,0,0,27.25,71.739,5.57,14.6567,8.6259,37.98,62.667,42828.4,0,4,10.5327,36.98,97.367,2,3.3,44653.5,1.715,12.74,21.0178
'002901,2010,13.2,16.4,23.7,17.5,19.2,17.1,15.3,18.3,23.8,.,16.4,16.6,16.1,62.614,136.53,29.527,462.39,7,1.5138,97322.56,0,52.94,11.4494,0,0,271.5,58.716,6.924,1.497,88650.08,5.999,2.611,43534.3,40,17.408,47800.27,40,17.408,52311.84,72.95,31.7472,54934.65,70.83,30.826,66641,189.63,82.528,7.67,3.336,1,0.435,22.129,9.6304,15.0905,173.33,75.434,1.502,0.6538,31.67,13.783,0.9998,0.4351,13.6391,56.45,24.5665,40.15,17.4721,0,0,14.471,6.2978,2,0.8703,0,0,159.26,69.309,15.91,6.9238,10.3004,229.78,49.694,56547.1,6.6375,8.845,3.8493,194.11,84.476,27.79,6.0104,66553.8,0,137.95,29.835
'003801,2010,12.7,13.1,11.3,14.7,16.9,16.5,14.2,19.3,15,.,10.2,12.8,12.8,70.968,5.53,10.638,51.96,1.751,3.3708,65661.76,0,0,0,0,0,41.61,80.089,2.5,4.812,61864.4,3.498,12.719,34622.52,15,54.551,38308.01,4,14.547,39575.15,3,10.9097,46836.67,2,7.273,55149.91,22.5,81.816,0,0,0,0,0,0,6.143,23.86,86.755,0,0,1.5,5.446,0,0,12.2189,3.64,13.2451,5,18.1836,0,0,0,0,0,0,0,0,26.14,95.075,1,3.6373,1.613,27.5,52.924,40178.9,36,0.354,1.2881,26,94.554,9.86,18.9827,41896.08,0,10.35,19.9105
'003902,2010,18.4,22.8,19.5,20.4,20.5,19.7,20.8,23.4,18.7,.,18.9,18.4,20.4,58.729,43.36,12.127,357.57,4,1.1186,92268.25,0,17.88,5.0004,0,0,218.31,61.052,12,3.356,65922.5,7,3.983,34529,43.75,24.894,36410.88,35.5,20.2,39880.23,52.5,29.8709,45743.03,37,21.053,51846.17,152.75,86.913,18,10.242,2,1.138,6.25,3.5559,12.4554,143.5,81.65,17.36,9.8774,3,1.707,1,0.569,14.7652,32.25,18.3499,22,12.5178,1,0.569,1.45,0.8251,0,0,0,0,105.66,60.12,17.75,10.0968,7.7017,175.75,49.151,43073.89,12.6074,9.285,5.2831,169.75,96.586,26.56,7.4267,48109.29,2.0428,121.39,33.9474
'003903,2010,15.8,18.1,17.7,18.3,18.5,19.4,19.9,21.7,20.7,.,18.3,20.3,21.5,62.247,437.27,33.119,1320.28,9,0.6817,97142.22,0,173.26,13.1231,3.2,0,774.71,58.678,37.143,2.813,68239.85,34.985,5.609,36012.67,155.82,24.981,37992.83,109.38,17.536,38693.09,156.53,25.0942,45233.34,167.04,26.78,53616.13,521.56,83.616,56.02,8.981,76.69,12.294,49.607,7.9529,14.0934,508,81.443,25.282,4.0532,42.84,6.868,1,0.1603,13.7891,115.75,18.5571,96.19,15.4217,6,0.962,9.273,1.4866,2,0.3206,0,0,404,64.769,54.18,8.686,10.6709,623.75,47.244,44005.43,8.7007,25.39,4.0705,501.23,80.356,104.82,7.939,50791.28,0.4964,372.3,28.1989
'003904,2010,18.7,15.9,18.7,19.7,21.5,20.2,18.7,23.5,20.3,.,14.6,17,21.1,59.231,7.92,3.056,259.12,5,1.9296,74356.4,0,24.47,9.4438,4,0,157,60.592,8.552,3.301,62703.08,10,7.942,33182.65,34,27.006,32629.3,17.11,13.591,36112.86,34.17,27.1415,42280.14,30.62,24.319,48073.89,111.95,88.917,0,0,0,0,5.122,4.0681,12.4222,95.77,76.067,0,0,0,0,0,0,13.8675,30.13,23.9328,13.95,11.0834,0,0,1.01,0.8019,0,0,0,0,98.97,78.609,12.72,10.099,7.8148,125.91,48.59,39522.04,17.1874,8.085,6.4218,125.91,100,17.55,6.7719,49516.31,0,77.64,29.9639
