DISTRICT,YEAR,DA1C409R,DA1C410R,DA2C409R,DA2C410R,DADC409R,DADC410R,DADC508R,DADC509R,DAEC409R,DAEC410R,DAEC508R,DAEC509R,DAGC409R,DAGC410R,DAGC508R,DAGC509R,DANC409R,DANC410R,DANC508R,DANC509R,DB1C409R,DB1C410R,DB2C409R,DB2C410R,DBDC409R,DBDC410R,DBDC508R,DBDC509R,DBEC409R,DBEC410R,DBEC508R,DBEC509R,DBGC409R,DBGC410R,DBGC508R,DBGC509R,DBNC409R,DBNC410R,DBNC508R,DBNC509R,DE1C409R,DE1C410R,DE2C409R,DE2C410R,DEDC409R,DEDC410R,DEDC508R,DEDC509R,DEEC409R,DEEC410R,DEEC508R,DEEC509R,DEGC409R,DEGC410R,DEGC508R,DEGC509R,DENC409R,DENC410R,DENC508R,DENC509R,DF1C409R,DF1C410R,DF2C409R,DF2C410R,DFDC409R,DFDC410R,DFDC508R,DFDC509R,DFEC409R,DFEC410R,DFEC508R,DFEC509R,DFGC409R,DFGC410R,DFGC508R,DFGC509R,DFNC409R,DFNC410R,DFNC508R,DFNC509R,DH1C409R,DH1C410R,DH2C409R,DH2C410R,DHDC409R,DHDC410R,DHDC508R,DHDC509R,DHEC409R,DHEC410R,DHEC508R,DHEC509R,DHGC409R,DHGC410R,DHGC508R,DHGC509R,DHNC409R,DHNC410R,DHNC508R,DHNC509R,DI1C409R,DI1C410R,DI2C409R,DI2C410R,DIDC409R,DIDC410R,DIDC508R,DIDC509R,DIEC409R,DIEC410R,DIEC508R,DIEC509R,DIGC409R,DIGC410R,DIGC508R,DIGC509R,DINC409R,DINC410R,DINC508R,DINC509R,DL1C409R,DL1C410R,DL2C409R,DL2C410R,DLDC409R,DLDC410R,DLDC508R,DLDC509R,DLEC409R,DLEC410R,DLEC508R,DLEC509R,DLGC409R,DLGC410R,DLGC508R,DLGC509R,DLNC409R,DLNC410R,DLNC508R,DLNC509R,DM1C409R,DM1C410R,DM2C409R,DM2C410R,DMDC409R,DMDC410R,DMDC508R,DMDC509R,DMEC409R,DMEC410R,DMEC508R,DMEC509R,DMGC409R,DMGC410R,DMGC508R,DMGC509R,DMNC409R,DMNC410R,DMNC508R,DMNC509R,DR1C409R,DR1C410R,DR2C409R,DR2C410R,DRDC409R,DRDC410R,DRDC508R,DRDC509R,DREC409R,DREC410R,DREC508R,DREC509R,DRGC409R,DRGC410R,DRGC508R,DRGC509R,DRNC409R,DRNC410R,DRNC508R,DRNC509R,DS1C409R,DS1C410R,DS2C409R,DS2C410R,DSDC409R,DSDC410R,DSDC508R,DSDC509R,DSEC409R,DSEC410R,DSEC508R,DSEC509R,DSGC409R,DSGC410R,DSGC508R,DSGC509R,DSNC409R,DSNC410R,DSNC508R,DSNC509R,DW1C409R,DW1C410R,DW2C409R,DW2C410R,DWDC409R,DWDC410R,DWDC508R,DWDC509R,DWEC409R,DWEC410R,DWEC508R,DWEC509R,DWGC409R,DWGC410R,DWGC508R,DWGC509R,DWNC409R,DWNC410R,DWNC508R,DWNC509R
'001902,2011,100,92.7,100,98.2,0,1.8,3.2,3,0,5.5,0,0,93.9,87.3,96.8,93.9,6.1,5.5,0,3,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,-1,-1,100,-1,-1,-1,0,-1,-1,-1,100,-1,100,-1,0,0,-1,-1,0,0,-1,-1,92.3,100,-1,-1,7.7,0,-1,100,91.7,100,100,0,0,0,0,0,8.3,0,0,100,91.7,100,100,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,93.5,100,96.8,0,3.2,6.7,5.9,0,3.2,0,0,88.2,83.9,93.3,88.2,11.8,9.7,0,5.9,100,70,100,90,0,10,0,0,0,20,0,0,100,50,100,100,0,20,0,0,100,100,100,100,0,0,0,0,0,0,0,0,83.3,85.7,100,83.3,16.7,14.3,0,16.7,100,90,100,97.5,0,2.5,0,3.3,0,7.5,0,0,93.3,85,100,93.3,6.7,5,0,3.3
'001903,2011,95.1,97.6,97.5,97.6,2.5,2.4,1.3,2.5,2.5,0,1.3,2.5,92.6,96.4,97.4,95,2.5,1.2,0,0,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,-1,-1,100,-1,-1,-1,0,-1,-1,88.9,100,94.4,100,5.6,0,3.6,5.9,5.6,0,3.6,5.9,83.3,100,92.9,88.2,5.6,0,0,0,100,97.7,100,97.7,0,2.3,0,0,0,0,2.9,0,100,97.7,97.1,100,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91.1,97.5,95.6,97.5,4.4,2.5,2.3,4.5,4.4,0,0,4.5,86.7,95,97.7,90.9,4.4,2.5,0,0,91.7,96.4,94.4,96.4,5.6,3.6,3.4,5.7,2.8,0,3.4,2.9,86.1,96.4,93.1,91.4,5.6,0,0,0,95.8,90.9,100,90.9,0,9.1,5.6,0,4.2,0,0,4.2,95.8,86.4,94.4,95.8,0,4.5,0,0,95.9,97.2,98.6,97.2,1.4,2.8,1.4,1.4,2.7,0,1.4,2.8,93.2,95.8,97.1,95.8,2.7,1.4,0,0
'001904,2011,98.2,98.4,100,100,0,0,0,0,1.8,1.6,1.8,1.8,98.2,96.8,98.2,98.2,0,1.6,0,0,100,90,100,100,0,0,0,0,0,10,0,0,100,90,100,100,0,0,0,0,96.8,100,100,100,0,0,0,0,3.2,0,0,3.2,96.8,100,100,96.8,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,96,100,100,0,4,0,0,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,-1,-1,100,-1,-1,-1,0,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,97.1,97.3,100,100,0,0,0,0,2.9,2.7,3.3,2.9,97.1,97.3,96.7,97.1,0,0,0,0,94.7,100,100,100,0,0,0,0,5.3,0,7.7,5.3,94.7,100,92.3,94.7,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,97.9,100,100,100,0,0,0,0,2.1,0,2.2,2.1,97.9,97.9,97.8,97.9,0,2.1,0,0
'001906,2011,97,100,100,100,0,0,5.3,0,3,0,10.5,3,97,100,84.2,97,0,0,0,0,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,-1,-1,100,-1,-1,-1,0,-1,-1,-1,100,-1,100,-1,0,16.7,-1,-1,0,33.3,-1,-1,100,50,-1,-1,0,0,-1,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,-1,100,-1,100,-1,0,.,-1,-1,0,.,-1,-1,100,.,-1,-1,0,.,-1,-1,.,-1,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,100,100,100,0,0,9.1,0,4.5,0,18.2,4.5,95.5,100,72.7,95.5,0,0,0,0,100,100,100,100,0,0,9.1,0,0,0,18.2,0,100,100,72.7,100,0,0,0,0,90.9,100,100,100,0,0,20,0,9.1,0,20,9.1,90.9,100,60,90.9,0,0,0,0,96.2,100,100,100,0,0,5.6,0,3.8,0,11.1,3.8,96.2,100,83.3,96.2,0,0,0,0
'001907,2011,92.4,95,95.9,95.5,4.1,4.5,4.9,4.2,3.5,0.5,3.9,3.6,88.4,92.5,91.3,92.2,4.1,2.5,0,0,91.7,96.2,95.8,96.2,4.2,3.8,6.3,4.3,4.2,0,1.6,4.3,89.6,94.3,92.1,91.5,2.1,1.9,0,0,92.5,92.9,94,92.9,6,7.1,6.2,6.1,1.5,0,6.2,1.5,89.6,89.3,87.7,92.4,3,3.6,0,0,94,97,96.4,97,3.6,3,3.7,3.7,2.4,0,2.8,2.4,89.3,94.1,93.6,93.9,4.8,3,0,0,93.2,91.8,95.5,91.8,4.5,8.2,6.4,5,2.3,0,4.3,2.5,81.8,88.5,89.4,92.5,11.4,3.3,0,0,-1,.,-1,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,90.9,92.9,95.5,93.9,4.5,6.1,6.2,4.7,4.5,1,5.2,4.7,87.5,90.9,88.7,90.6,3.4,2,0,0,88.3,91.7,90,92.7,10,7.3,8.8,10.7,1.7,0.9,4.9,1.8,78.3,88.1,86.3,87.5,10,3.7,0,0,95.7,92.6,95.7,92.6,4.3,7.4,12,4.3,0,0,0,0,95.7,85.2,88,95.7,0,7.4,0,0,93.5,96.4,97.4,97.6,2.6,2.4,3.2,2.6,3.9,1.2,5.3,3.9,92.2,94,91.5,93.5,1.3,2.4,0,0
'001908,2011,87.4,94,88.2,94,11.8,6,7.2,10.3,0.8,0,3.6,1.6,86.6,92,88.3,87.3,0.8,2,0.9,0.8,76.2,100,76.2,100,23.8,0,4.8,23.8,0,0,0,0,76.2,100,95.2,76.2,0,0,0,0,72.5,92.9,72.5,92.9,27.5,7.1,10,23.1,0,0,5,2.6,70,90.5,82.5,71.8,2.5,2.4,2.5,2.6,84.4,95.9,84.4,95.9,15.6,4.1,12.3,14.1,0,0,3.5,1.6,82.8,95.9,84.2,82.8,1.6,0,0,1.6,83.3,92.3,83.3,92.3,16.7,7.7,12.5,11.8,0,0,0,0,83.3,92.3,81.3,88.2,0,0,6.3,0,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,90.5,92.2,92.1,92.2,7.9,7.8,1.9,6.5,1.6,0,3.7,1.6,90.5,88.2,92.6,91.9,0,3.9,1.9,0,82.5,94.4,84.2,94.4,15.8,5.6,5.1,14,1.8,0,1.7,3.5,82.5,94.4,93.2,82.5,0,0,0,0,64.7,100,64.7,100,35.3,0,8,29.4,0,0,0,5.9,58.8,100,88,58.8,5.9,0,4,5.9,90.8,93,92,93,8,7,6.8,6.9,1.1,0,5.4,2.3,89.7,91.5,87.8,89.7,1.1,1.4,0,1.1
'001909,2011,85.7,96.7,89.3,100,10.7,0,7.7,10.7,3.6,3.3,7.7,3.6,85.7,93.3,84.6,85.7,0,3.3,0,0,.,-1,.,-1,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,81.8,100,90.9,100,9.1,0,9.1,9.1,9.1,0,0,9.1,81.8,100,90.9,81.8,0,0,0,0,100,100,100,100,0,0,12.5,0,0,0,12.5,0,100,94.4,75,100,0,5.6,0,0,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76.5,91.7,82.4,100,17.6,0,5.6,17.6,5.9,8.3,5.6,5.9,76.5,91.7,88.9,76.5,0,0,0,0,100,100,100,100,0,0,7.1,0,0,0,7.1,0,100,88.9,85.7,100,0,11.1,0,0,66.7,100,77.8,100,22.2,0,0,22.2,11.1,0,0,11.1,66.7,90,100,66.7,0,10,0,0,92.3,96.4,92.3,100,7.7,0,8,7.7,0,3.6,8,0,92.3,92.9,84,92.3,0,3.6,0,0
'002901,2011,88,92.6,89,92.6,11,7.4,16.2,11.1,1,0,0.9,1.5,83,86,81.6,86.4,5,6.5,1.3,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,100,-1,-1,-1,0,-1,90.5,91.2,90.5,91.2,9.5,8.8,35.3,14.3,0,0,3.9,0,83.3,76.5,60.8,85.7,7.1,14.7,0,0,92.6,91.8,92.6,91.8,7.4,8.2,14.9,7.5,0,0,2,0,86.1,88.7,81.2,91.6,6.5,3.1,2,0.9,88.4,89.6,88.4,89.6,11.6,10.4,21.3,12.6,0,0,0,0,82.1,82.1,78,86.5,6.3,7.5,0.8,0.9,.,-1,.,-1,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,-1,80,-1,80,-1,20,50,-1,-1,0,0,-1,-1,80,50,-1,-1,0,0,-1,82.6,93.2,84.8,93.2,15.2,6.8,17.3,15.2,2.2,0,0,3.3,79.3,83.9,82,80.4,3.3,9.3,0.8,1.1,82.9,93.4,84.3,93.4,15.7,6.6,32.3,14.5,1.4,0,2.1,2.9,75.7,84.9,62.5,81.2,7.1,8.5,3.1,1.4,88.9,90,88.9,90,11.1,10,39,11.1,0,0,2.4,0,81.5,86.7,58.5,85.2,7.4,3.3,0,3.7,88,97.4,90.4,97.4,9.6,2.6,11.1,8.4,2.4,0,2,3.6,84.3,92.2,84.8,86.7,3.6,5.2,2,1.2
'003801,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2011,92.6,97.1,93.3,97.7,6.7,2.3,6.6,7.3,0.7,0.6,1.7,0.7,90.6,94.3,91.7,91.3,2,2.9,0,0.7,83.3,100,83.3,100,16.7,0,0,16.7,0,0,0,0,83.3,90.9,100,83.3,0,9.1,0,0,93.3,97,93.3,97,6.7,3,6.1,6.7,0,0,1.5,0,91.7,95.5,92.4,93.3,1.7,1.5,0,0,94.8,95.4,94.8,96.6,5.2,3.4,7.7,5.1,0,1.1,2.2,0,94.8,90.8,90.1,93.6,0,4.6,0,1.3,85.7,100,85.7,100,14.3,0,16.1,14.3,0,0,0,0,85.7,96.3,83.9,85.7,0,3.7,0,0,-1,.,-1,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,-1,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,90.3,98.9,91.7,98.9,8.3,1.1,5.6,9.7,1.4,0,1.1,1.4,86.1,97.7,93.3,88.9,4.2,1.1,0,0,87,93,87,94.7,13,5.3,15.5,12.8,0,1.8,3.4,0,87,87.7,81,85.1,0,5.3,0,2.1,94.7,88.9,94.7,88.9,5.3,11.1,0,5.3,0,0,0,0,89.5,88.9,100,94.7,5.3,0,0,0,94.7,96.3,95.6,97,4.4,3,4.9,5.3,0.9,0.7,2.1,0.9,92,94.1,93,93,2.7,2.2,0,0.9
