DISTRICT,YEAR,DADC4X11R,DAEC4X11R,DAGC410R,DAGC411R,DAGC4X11R,DAGC509R,DAGC510R,DANC4X11R,DBDC4X11R,DBEC4X11R,DBGC410R,DBGC411R,DBGC4X11R,DBGC509R,DBGC510R,DBNC4X11R,DEDC4X11R,DEEC4X11R,DEGC410R,DEGC411R,DEGC4X11R,DEGC509R,DEGC510R,DENC4X11R,DFDC4X11R,DFEC4X11R,DFGC410R,DFGC411R,DFGC4X11R,DFGC509R,DFGC510R,DFNC4X11R,DHDC4X11R,DHEC4X11R,DHGC410R,DHGC411R,DHGC4X11R,DHGC509R,DHGC510R,DHNC4X11R,DIDC4X11R,DIEC4X11R,DIGC410R,DIGC411R,DIGC4X11R,DIGC509R,DIGC510R,DINC4X11R,DLDC4X11R,DLEC4X11R,DLGC410R,DLGC411R,DLGC4X11R,DLGC509R,DLGC510R,DLNC4X11R,DMDC4X11R,DMEC4X11R,DMGC410R,DMGC411R,DMGC4X11R,DMGC509R,DMGC510R,DMNC4X11R,DRDC4X11R,DREC4X11R,DRGC410R,DRGC411R,DRGC4X11R,DRGC509R,DRGC510R,DRNC4X11R,DSDC4X11R,DSEC4X11R,DSGC410R,DSGC411R,DSGC4X11R,DSGC509R,DSGC510R,DSNC4X11R,DWDC4X11R,DWEC4X11R,DWGC410R,DWGC411R,DWGC4X11R,DWGC509R,DWGC510R,DWNC4X11R,D2DC4X11R,D2EC4X11R,D2GC411R,D2GC4X11R,D2NC4X11R,D3DC4X11R,D3EC4X11R,D3GC411R,D3GC4X11R,D3NC4X11R,D4DC4X11R,D4EC4X11R,D4GC411R,D4GC4X11R,D4NC4X11R
'001902,2012,4.1,2,87.3,89.8,89.8,93.9,90.9,4.1,0,0,100,100,100,-1,100,0,5.6,0,92.3,88.9,88.9,-1,100,5.6,9.5,4.8,91.7,85.7,85.7,100,91.7,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,83.9,92.9,92.9,88.2,90.3,7.1,11.1,0,50,77.8,77.8,100,70,11.1,0,0,85.7,100,100,83.3,100,0,5.3,2.6,85,86.8,86.8,93.3,87.5,5.3,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.
'001903,2012,1.4,0,96.4,98.6,98.6,95,96.4,0,16.7,0,100,83.3,83.3,-1,100,0,3.1,0,100,96.9,96.9,88.2,100,0,0,0,97.7,100,100,100,97.7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,2.1,0,95,97.9,97.9,90.9,95,0,5.6,0,96.4,94.4,94.4,91.4,96.4,0,0,0,86.4,100,100,95.8,86.4,0,0,0,95.8,100,100,95.8,95.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904,2012,0,0,96.8,96.5,96.5,98.2,98.4,3.5,0,0,90,100,100,100,90,0,0,0,100,93.3,93.3,96.8,100,6.7,0,0,96,95,95,100,100,5,0,0,100,85.7,85.7,-1,100,14.3,-1,-1,.,-1,-1,.,.,-1,-1,-1,.,-1,-1,-1,.,-1,0,0,97.3,97.3,97.3,97.1,97.3,2.7,0,0,100,91.7,91.7,94.7,100,8.3,0,0,100,100,100,100,100,0,0,0,97.9,97.5,97.5,97.9,100,2.5,.,.,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,.
'001906,2012,0,0,100,100,100,97,100,0,.,.,100,.,.,-1,100,.,0,0,100,100,100,-1,100,0,0,0,100,100,100,100,100,0,-1,-1,100,-1,-1,-1,100,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,0,0,100,100,100,95.5,100,0,0,0,100,100,100,100,100,0,0,0,100,100,100,90.9,100,0,0,0,100,100,100,96.2,100,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907,2012,1.1,0.6,92.5,96.1,96.7,92.2,94.5,1.7,2.2,0,94.3,95.7,97.8,91.5,96.2,0,0,1.1,89.3,96.7,97.8,92.4,92.8,1.1,0,0,94.1,97.8,98.9,93.9,97,1.1,1.7,0,88.5,96.6,96.6,92.5,91.7,1.7,.,.,.,.,.,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,2.2,1.1,90.9,94.4,94.4,90.6,91.9,2.2,1.1,1.1,88.1,95.4,95.4,87.5,90.7,2.3,0,0,85.2,92.3,100,95.7,92.6,0,0,1.4,94,95.9,95.9,93.5,95.2,2.7,.,.,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,.
'001908,2012,4.1,1,92,94.9,94.9,87.3,93,0,6.3,0,100,93.8,93.8,76.2,100,0,5.3,0,90.5,94.7,94.7,71.8,90.5,0,2.3,0,95.9,97.7,97.7,82.8,95.9,0,8.3,0,92.3,91.7,91.7,88.2,92.3,0,.,.,-1,.,.,-1,-1,.,.,.,.,.,.,-1,.,.,5.5,1.8,88.2,92.9,92.7,91.9,90.2,0,3.2,0,94.4,96.9,96.8,82.5,94.4,0,0,0,100,100,100,58.8,100,0,2.9,1.5,91.5,95.7,95.6,89.7,91.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.
'001909,2012,0,0,93.3,100,100,85.7,96.6,0,.,.,-1,.,.,.,-1,.,0,0,100,100,100,81.8,100,0,0,0,94.4,100,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,91.7,100,100,76.5,91.7,0,-1,-1,88.9,-1,-1,100,100,-1,-1,-1,90,-1,-1,66.7,100,-1,0,0,92.9,100,100,92.3,96.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901,2012,1.6,1,86,90.8,91.7,86.4,91.6,5.7,0,0,-1,100,100,-1,-1,0,2.1,0,76.5,89.6,89.6,85.7,91.2,8.3,1.1,2.2,88.7,87.1,87.1,91.6,90.6,9.7,1,0,82.1,91.2,93,86.5,88.7,6,.,.,-1,.,.,.,-1,.,0,0,80,100,100,-1,80,0,2,0,83.9,94.1,96,80.4,92.4,2,0,0,84.9,93.7,95.2,81.2,93.3,4.8,0,0,86.7,90.3,90.3,85.2,90,9.7,2.3,2.3,92.2,89.7,89.7,86.7,96.1,5.7,.,.,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,.
'003801,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2012,4,2,94.3,91.5,92,91.3,96,2,0,0,90.9,100,100,83.3,100,0,6.9,0,95.5,93.1,93.1,93.3,97,0,2.9,2,90.8,92.2,93.1,93.6,93.1,2,6.3,0,96.3,87.5,87.5,85.7,96.3,6.3,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,.,-1,5.2,2.1,97.7,90.7,90.7,88.9,98.9,2.1,10.3,2.6,87.7,87.2,87.2,85.1,91.2,0,18.2,0,88.9,66.7,72.7,94.7,88.9,9.1,4.2,2.8,94.1,91,91.6,93,95.6,1.4,0,0,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
