DISTRICT,YEAR,D22C4X12R,D23C4X12R,D2DC4X11R,D2DC4X12R,D2EC4X11R,D2EC4X12R,D2GC411R,D2GC412R,D2GC4X11R,D2GC4X12R,D2NC4X11R,D2NC4X12R,D32C4X12R,D33C4X12R,D3DC4X11R,D3DC4X12R,D3EC4X11R,D3EC4X12R,D3GC411R,D3GC412R,D3GC4X11R,D3GC4X12R,D3NC4X11R,D3NC4X12R,D42C4X12R,D43C4X12R,D4DC4X11R,D4DC4X12R,D4EC4X11R,D4EC4X12R,D4GC411R,D4GC412R,D4GC4X11R,D4GC4X12R,D4NC4X11R,D4NC4X12R,DA2C4X12R,DA3C4X12R,DADC4X11R,DADC4X12R,DAEC4X11R,DAEC4X12R,DAGC411R,DAGC412R,DAGC4X11R,DAGC4X12R,DANC4X11R,DANC4X12R,DB2C4X12R,DB3C4X12R,DBDC4X11R,DBDC4X12R,DBEC4X11R,DBEC4X12R,DBGC411R,DBGC412R,DBGC4X11R,DBGC4X12R,DBNC4X11R,DBNC4X12R,DE2C4X12R,DE3C4X12R,DEDC4X11R,DEDC4X12R,DEEC4X11R,DEEC4X12R,DEGC411R,DEGC412R,DEGC4X11R,DEGC4X12R,DENC4X11R,DENC4X12R,DF2C4X12R,DF3C4X12R,DFDC4X11R,DFDC4X12R,DFEC4X11R,DFEC4X12R,DFGC411R,DFGC412R,DFGC4X11R,DFGC4X12R,DFNC4X11R,DFNC4X12R,DH2C4X12R,DH3C4X12R,DHDC4X11R,DHDC4X12R,DHEC4X11R,DHEC4X12R,DHGC411R,DHGC412R,DHGC4X11R,DHGC4X12R,DHNC4X11R,DHNC4X12R,DI2C4X12R,DI3C4X12R,DIDC4X11R,DIDC4X12R,DIEC4X11R,DIEC4X12R,DIGC411R,DIGC412R,DIGC4X11R,DIGC4X12R,DINC4X11R,DINC4X12R,DL2C4X12R,DL3C4X12R,DLDC4X11R,DLDC4X12R,DLEC4X11R,DLEC4X12R,DLGC411R,DLGC412R,DLGC4X11R,DLGC4X12R,DLNC4X11R,DLNC4X12R,DM2C4X12R,DM3C4X12R,DMDC4X11R,DMDC4X12R,DMEC4X11R,DMEC4X12R,DMGC411R,DMGC412R,DMGC4X11R,DMGC4X12R,DMNC4X11R,DMNC4X12R,DR2C4X12R,DR3C4X12R,DRDC4X11R,DRDC4X12R,DREC4X11R,DREC4X12R,DRGC411R,DRGC412R,DRGC4X11R,DRGC4X12R,DRNC4X11R,DRNC4X12R,DS2C4X12R,DS3C4X12R,DSDC4X11R,DSDC4X12R,DSEC4X11R,DSEC4X12R,DSGC411R,DSGC412R,DSGC4X11R,DSGC4X12R,DSNC4X11R,DSNC4X12R,DW2C4X12R,DW3C4X12R,DWDC4X11R,DWDC4X12R,DWEC4X11R,DWEC4X12R,DWGC411R,DWGC412R,DWGC4X11R,DWGC4X12R,DWNC4X11R,DWNC4X12R
'001902,2013,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,94.7,4.1,2.6,2,2.6,89.8,92.1,89.8,92.1,4.1,2.6,100,83.3,0,0,0,0,100,83.3,100,83.3,0,16.7,100,100,5.6,0,0,0,88.9,100,88.9,100,5.6,0,100,100,9.5,0,4.8,0,85.7,100,85.7,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,90.9,0,4.5,0,4.5,92.9,86.4,92.9,86.4,7.1,4.5,90,80,11.1,10,0,10,77.8,70,77.8,70,11.1,10,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.8,96.8,5.3,3.2,2.6,3.2,86.8,93.5,86.8,93.5,5.3,0
'001903,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.6,98.6,1.4,1.4,0,0,98.6,98.6,98.6,98.6,0,0,-1,-1,16.7,-1,0,-1,83.3,-1,83.3,-1,0,-1,96.9,96.9,3.1,3.1,0,0,96.9,96.9,96.9,96.9,0,0,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,97.6,2.1,2.4,0,0,97.9,97.6,97.9,97.6,0,0,93.8,93.8,5.6,6.3,0,0,94.4,93.8,94.4,93.8,0,0,100,100,0,0,0,0,100,100,100,100,0,0,98.5,98.5,0,1.5,0,0,100,98.5,100,98.5,0,0
'001904,2013,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,96.5,100,96.5,100,3.5,0,100,100,0,0,0,0,100,100,100,100,0,0,100,100,0,0,0,0,93.3,100,93.3,100,6.7,0,100,100,0,0,0,0,95,100,95,100,5,0,-1,-1,0,-1,0,-1,85.7,-1,85.7,-1,14.3,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,0,0,0,97.3,100,97.3,100,2.7,0,100,100,0,0,0,0,91.7,100,91.7,100,8.3,0,100,100,0,0,0,0,100,100,100,100,0,0,100,100,0,0,0,0,97.5,100,97.5,100,2.5,0
'001906,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,100,94.4,100,100,0,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,100,83.3,100,100,0,0,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,100,0,0,0,0,100,92.3,100,100,0,0
'001907,2013,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,94.9,91.7,1.1,5.1,0.6,1.9,96.1,89.2,96.7,89.7,1.7,3.2,92.3,92.3,2.2,7.7,0,2.6,95.7,89.7,97.8,89.7,0,0,100,94.9,0,0,1.1,0,96.7,94,97.8,94.9,1.1,5.1,94.1,89.7,0,5.9,0,0,97.8,89.7,98.9,89.7,1.1,4.4,93.2,87.7,1.7,6.8,0,0,96.6,86.5,96.6,87.7,1.7,5.5,.,.,.,.,.,.,.,.,.,.,.,.,60,40,-1,40,-1,0,-1,40,-1,40,-1,20,95.5,93.2,2.2,4.5,1.1,3.4,94.4,88.8,94.4,89.8,2.2,2.3,93.3,88.6,1.1,6.7,1.1,0,95.4,88.6,95.4,88.6,2.3,4.8,93.3,93.3,0,6.7,0,0,92.3,93.3,100,93.3,0,0,100,97.5,0,0,1.4,5,95.9,92.5,95.9,92.5,2.7,2.5
'001908,2013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,95.2,4.1,2.9,1,1,94.9,94.2,94.9,94.2,0,1.9,95.2,95.2,6.3,4.8,0,0,93.8,95.2,93.8,95.2,0,0,97.6,95.1,5.3,2.4,0,0,94.7,95.1,94.7,95.1,0,2.4,98.1,96.2,2.3,1.9,0,1.9,97.7,94.2,97.7,94.2,0,1.9,92.3,84.6,8.3,7.7,0,0,91.7,84.6,91.7,84.6,0,7.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,94.2,5.5,3.8,1.8,0,92.9,94.2,92.7,94.2,0,1.9,94.6,89.2,3.2,5.4,0,0,96.9,89.2,96.8,89.2,0,5.4,90.9,90.9,0,9.1,0,0,100,90.9,100,90.9,0,0,98.5,97.1,2.9,1.5,1.5,1.5,95.7,95.6,95.6,95.6,0,1.5
'001909,2013,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,96.6,0,3.4,0,0,100,96.6,100,96.6,0,0,.,.,.,.,.,.,.,.,.,.,.,.,92.3,92.3,0,7.7,0,0,100,92.3,100,92.3,0,0,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,92.9,92.9,0,7.1,0,0,100,92.9,100,92.9,0,0,88.9,88.9,-1,11.1,-1,0,-1,88.9,-1,88.9,-1,0,85.7,85.7,-1,14.3,-1,0,-1,85.7,-1,85.7,-1,0,96.2,96.2,0,3.8,0,0,100,96.2,100,96.2,0,0
'002901,2013,100,100,.,0,.,0,.,100,.,100,.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,93.4,91.6,1.6,6.6,1,0,90.8,91.2,91.7,91.6,5.7,1.8,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,84.9,83,2.1,15.1,0,0,89.6,81.5,89.6,83,8.3,1.9,94.3,92.5,1.1,5.7,2.2,0,87.1,92.5,87.1,92.5,9.7,1.9,90.6,88.3,1,9.4,0,0,91.2,87.6,93,88.3,6,2.3,.,.,.,.,.,.,.,.,.,.,.,.,60,60,0,40,0,0,100,60,100,60,0,0,92.6,90.9,2,7.4,0,0,94.1,90.2,96,90.9,2,1.7,81,76.2,0,19,0,0,93.7,75,95.2,76.2,4.8,4.8,96.2,92.3,0,3.8,0,0,90.3,92.3,90.3,92.3,9.7,3.8,97.8,96.7,2.3,2.2,2.3,0,89.7,96.7,89.7,96.7,5.7,1.1
'003801,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2013,100,100,0,0,0,0,100,100,100,100,0,0,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,96.2,93.6,4,3.8,2,1.3,91.5,91.8,92,92.4,2,2.5,85.7,85.7,0,14.3,0,0,100,85.7,100,85.7,0,0,94.6,91.9,6.9,5.4,0,2.7,93.1,89.2,93.1,89.2,0,2.7,95.9,94.6,2.9,4.1,2,1.4,92.2,93.2,93.1,93.2,2,1.4,100,100,6.3,0,0,0,87.5,100,87.5,100,6.3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,96.4,92.8,5.2,3.6,2.1,1.2,90.7,90.5,90.7,91.6,2.1,3.6,87.5,84.4,10.3,12.5,2.6,3.1,87.2,78.8,87.2,81.3,0,3.1,81,71.4,18.2,19,0,0,66.7,71.4,72.7,71.4,9.1,9.5,95.8,93.3,4.2,4.2,2.8,1.7,91,90.8,91.6,91.6,1.4,2.5
