DISTRICT,D22C4X12R,D22C4X13R,D23C4X12R,D23C4X13R,D2DC4X12R,D2DC4X13R,D2EC4X12R,D2EC4X13R,D2GC412R,D2GC413R,D2GC4X12R,D2GC4X13R,D2NC4X12R,D2NC4X13R,D32C4X12R,D32C4X13R,D33C4X12R,D33C4X13R,D3DC4X12R,D3DC4X13R,D3EC4X12R,D3EC4X13R,D3GC412R,D3GC413R,D3GC4X12R,D3GC4X13R,D3NC4X12R,D3NC4X13R,D42C4X12R,D42C4X13R,D43C4X12R,D43C4X13R,D4DC4X12R,D4DC4X13R,D4EC4X12R,D4EC4X13R,D4GC412R,D4GC413R,D4GC4X12R,D4GC4X13R,D4NC4X12R,D4NC4X13R,DA2C4X12R,DA2C4X13R,DA3C4X12R,DA3C4X13R,DADC4X12R,DADC4X13R,DAEC4X12R,DAEC4X13R,DAGC412R,DAGC413R,DAGC4X12R,DAGC4X13R,DANC4X12R,DANC4X13R,DB2C4X12R,DB2C4X13R,DB3C4X12R,DB3C4X13R,DBDC4X12R,DBDC4X13R,DBEC4X12R,DBEC4X13R,DBGC412R,DBGC413R,DBGC4X12R,DBGC4X13R,DBNC4X12R,DBNC4X13R,DE2C4X12R,DE2C4X13R,DE3C4X12R,DE3C4X13R,DEDC4X12R,DEDC4X13R,DEEC4X12R,DEEC4X13R,DEGC412R,DEGC413R,DEGC4X12R,DEGC4X13R,DENC4X12R,DENC4X13R,DF2C4X12R,DF2C4X13R,DF3C4X12R,DF3C4X13R,DFDC4X12R,DFDC4X13R,DFEC4X12R,DFEC4X13R,DFGC412R,DFGC413R,DFGC4X12R,DFGC4X13R,DFNC4X12R,DFNC4X13R,DH2C4X12R,DH2C4X13R,DH3C4X12R,DH3C4X13R,DHDC4X12R,DHDC4X13R,DHEC4X12R,DHEC4X13R,DHGC412R,DHGC413R,DHGC4X12R,DHGC4X13R,DHNC4X12R,DHNC4X13R,DI2C4X12R,DI2C4X13R,DI3C4X12R,DI3C4X13R,DIDC4X12R,DIDC4X13R,DIEC4X12R,DIEC4X13R,DIGC412R,DIGC413R,DIGC4X12R,DIGC4X13R,DINC4X12R,DINC4X13R,DL2C4X12R,DL2C4X13R,DL3C4X12R,DL3C4X13R,DLDC4X12R,DLDC4X13R,DLEC4X12R,DLEC4X13R,DLGC412R,DLGC413R,DLGC4X12R,DLGC4X13R,DLNC4X12R,DLNC4X13R,DM2C4X12R,DM2C4X13R,DM3C4X12R,DM3C4X13R,DMDC4X12R,DMDC4X13R,DMEC4X12R,DMEC4X13R,DMGC412R,DMGC413R,DMGC4X12R,DMGC4X13R,DMNC4X12R,DMNC4X13R,DR2C4X12R,DR2C4X13R,DR3C4X12R,DR3C4X13R,DRDC4X12R,DRDC4X13R,DREC4X12R,DREC4X13R,DRGC412R,DRGC413R,DRGC4X12R,DRGC4X13R,DRNC4X12R,DRNC4X13R,DS2C4X12R,DS2C4X13R,DS3C4X12R,DS3C4X13R,DSDC4X12R,DSDC4X13R,DSEC4X12R,DSEC4X13R,DSGC412R,DSGC413R,DSGC4X12R,DSGC4X13R,DSNC4X12R,DSNC4X13R,DW2C4X12R,DW2C4X13R,DW3C4X12R,DW3C4X13R,DWDC4X12R,DWDC4X13R,DWEC4X12R,DWEC4X13R,DWGC412R,DWGC413R,DWGC4X12R,DWGC4X13R,DWNC4X12R,DWNC4X13R
'001902,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,96.1,94.7,94.1,2.6,3.9,2.6,0,92.1,94.1,92.1,94.1,2.6,2,100,100,83.3,100,0,0,0,0,83.3,100,83.3,100,16.7,0,100,83.3,100,83.3,0,16.7,0,0,100,83.3,100,83.3,0,0,100,89.5,100,89.5,0,10.5,0,0,100,89.5,100,89.5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,95.5,100,90.9,96.9,4.5,0,4.5,0,86.4,96.9,86.4,96.9,4.5,3.1,90,94.4,80,94.4,10,5.6,10,0,70,94.4,70,94.4,10,0,-1,100,-1,90,-1,0,-1,0,-1,90,-1,90,-1,10,96.8,94.9,96.8,92.3,3.2,5.1,3.2,0,93.5,92.3,93.5,92.3,0,2.6
'001903,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.6,97.6,98.6,97.6,1.4,2.4,0,0,98.6,95.3,98.6,97.6,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,96.9,96.7,96.9,96.7,3.1,3.3,0,0,96.9,90.6,96.9,96.7,0,0,100,100,100,100,0,0,0,0,100,97.1,100,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,96,97.6,96,2.4,4,0,0,97.6,94.1,97.6,96,0,0,93.8,100,93.8,100,6.3,0,0,0,93.8,100,93.8,100,0,0,100,85.7,100,85.7,0,14.3,0,0,100,85.7,100,85.7,0,0,98.5,97.1,98.5,97.1,1.5,2.9,0,0,98.5,94.3,98.5,97.1,0,0
'001904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,96.2,100,94.2,0,3.8,0,0,100,94.2,100,94.2,0,1.9,100,88.9,100,88.9,0,11.1,0,0,100,88.9,100,88.9,0,0,100,92,100,92,0,8,0,0,100,92,100,92,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,94.3,100,91.4,0,5.7,0,0,100,91.4,100,91.4,0,2.9,100,100,100,80,0,0,0,0,100,80,100,80,0,20,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,97.2,100,94.4,0,2.8,0,0,100,94.4,100,94.4,0,2.8
'001906,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,95,0,0,0,0,94.4,95,100,95,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,91.7,0,0,0,0,83.3,91.7,100,91.7,0,8.3,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,0,92.3,100,100,100,0,0
'001907,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,94.9,94.4,91.7,91.1,5.1,5.6,1.9,0,89.2,91.1,89.7,91.1,3.2,3.3,92.3,92.4,92.3,84.8,7.7,7.6,2.6,0,89.7,84.8,89.7,84.8,0,7.6,100,93.2,94.9,89.7,0,6.8,0,0,94,89.8,94.9,89.7,5.1,3.4,94.1,93.9,89.7,90.9,5.9,6.1,0,0,89.7,90.9,89.7,90.9,4.4,3,93.2,94.9,87.7,93.6,6.8,5.1,0,0,86.5,93.7,87.7,93.6,5.5,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,33.3,40,33.3,40,66.7,0,0,40,33.3,40,33.3,20,0,95.5,94.7,93.2,91.2,4.5,5.3,3.4,0,88.8,91.3,89.8,91.2,2.3,3.5,93.3,90.6,88.6,89.7,6.7,9.4,0,0,88.6,89.8,88.6,89.7,4.8,0.9,93.3,100,93.3,93.3,6.7,0,0,0,93.3,93.3,93.3,93.3,0,6.7,100,96.9,97.5,95.4,0,3.1,5,0,92.5,95.4,92.5,95.4,2.5,1.5
'001908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,97.8,95.2,97.8,2.9,2.2,1,0,94.2,96.7,94.2,97.8,1.9,0,95.2,100,95.2,100,4.8,0,0,0,95.2,95.5,95.2,100,0,0,97.6,100,95.1,100,2.4,0,0,0,95.1,100,95.1,100,2.4,0,98.1,95.7,96.2,95.7,1.9,4.3,1.9,0,94.2,95.7,94.2,95.7,1.9,0,92.3,100,84.6,100,7.7,0,0,0,84.6,100,84.6,100,7.7,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,100,94.2,100,3.8,0,0,0,94.2,97.8,94.2,100,1.9,0,94.6,95.5,89.2,95.5,5.4,4.5,0,0,89.2,95.5,89.2,95.5,5.4,0,90.9,92.3,90.9,92.3,9.1,7.7,0,0,90.9,92.3,90.9,92.3,0,0,98.5,95.8,97.1,95.8,1.5,4.2,1.5,0,95.6,95.8,95.6,95.8,1.5,0
'001909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,92.6,96.6,92.6,3.4,7.4,0,0,96.6,92.6,96.6,92.6,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.3,80,92.3,80,7.7,20,0,0,92.3,80,92.3,80,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,92.9,86.7,92.9,86.7,7.1,13.3,0,0,92.9,86.7,92.9,86.7,0,0,88.9,-1,88.9,-1,11.1,-1,0,-1,88.9,-1,88.9,-1,0,-1,85.7,66.7,85.7,66.7,14.3,33.3,0,0,85.7,66.7,85.7,66.7,0,0,96.2,92,96.2,92,3.8,8,0,0,96.2,92,96.2,92,0,0
'002901,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.4,93.7,91.6,92.7,6.6,6.3,0,0.5,91.2,91.8,91.6,92.2,1.8,1,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,84.9,88.9,83,87,15.1,11.1,0,0,81.5,85.5,83,87,1.9,1.9,94.3,96,92.5,96,5.7,4,0,0,92.5,96,92.5,96,1.9,0,90.6,92.1,88.3,90.5,9.4,7.9,0,0,87.6,89.8,88.3,90.5,2.3,1.6,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,60,-1,60,-1,40,-1,0,-1,60,-1,60,-1,0,-1,92.6,91.5,90.9,89.6,7.4,8.5,0,0.9,90.2,87.9,90.9,88.7,1.7,1.9,81,83.3,76.2,80,19,16.7,0,0,75,78.7,76.2,80,4.8,3.3,96.2,100,92.3,100,3.8,0,0,0,92.3,100,92.3,100,3.8,0,97.8,95.7,96.7,95.7,2.2,4.3,0,1.4,96.7,94.3,96.7,94.3,1.1,0
'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,94.7,93.6,94.1,3.8,5.3,1.3,0.6,91.8,90.9,92.4,93.5,2.5,0.6,85.7,100,85.7,100,14.3,0,0,0,85.7,100,85.7,100,0,0,94.6,92.1,91.9,92.1,5.4,7.9,2.7,1.6,89.2,86.4,89.2,90.5,2.7,0,95.9,92.7,94.6,92.7,4.1,7.3,1.4,1.2,93.2,89.3,93.2,91.5,1.4,0,100,96,100,92,0,4,0,0,100,85.2,100,92,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,96.4,96.6,92.8,95.5,3.6,3.4,1.2,0,90.5,92.3,91.6,95.5,3.6,1.1,87.5,86,84.4,86,12.5,14,3.1,2,78.8,76.4,81.3,84,3.1,0,81,92.3,71.4,92.3,19,7.7,0,0,71.4,85.7,71.4,92.3,9.5,0,95.8,94,93.3,94,4.2,6,1.7,0.8,90.8,91.2,91.6,93.2,2.5,0
